firstname,total_male,total_female,prob_male,prob_female,total_names,male_75,female_75,male_95,female_95
"ANU",6,23,.2068966,.7931035,29,0,1,0,0
"CELINA",0,36,0,1,36,0,1,0,1
"CHIARA",0,28,0,1,28,0,1,0,1
"JOANA",0,26,0,1,26,0,1,0,1
"LEV",34,1,.9714286,.0285714,35,1,0,1,0
"LEYLA",0,32,0,1,32,0,1,0,1
"LINCOLN",38,0,1,0,38,1,0,1,0
"SACHA",9,16,.36,.64,25,0,0,0,0
"SADIE",0,33,0,1,33,0,1,0,1
"SHAQUANA",0,43,0,1,43,0,1,0,1
"YESSENIA",0,36,0,1,36,0,1,0,1
"ADITYA",31,0,1,0,31,1,0,1,0
"BRIGID",0,26,0,1,26,0,1,0,1
"DRE",36,0,1,0,36,1,0,1,0
"ESTELLE",0,42,0,1,42,0,1,0,1
"FLORIAN",29,0,1,0,29,1,0,1,0
"GIDEON",34,0,1,0,34,1,0,1,0
"GISELA",0,34,0,1,34,0,1,0,1
"INA",0,35,0,1,35,0,1,0,1
"JONATHON",41,0,1,0,41,1,0,1,0
"LUCIANO",47,0,1,0,47,1,0,1,0
"NOLAN",28,0,1,0,28,1,0,1,0
"RAINA",0,25,0,1,25,0,1,0,1
"RAJA",32,1,.969697,.030303,33,1,0,1,0
"SAMIRA",0,35,0,1,35,0,1,0,1
"SEBASTIEN",32,0,1,0,32,1,0,1,0
"SIERRA",0,28,0,1,28,0,1,0,1
"YOKO",0,31,0,1,31,0,1,0,1
"ZINA",0,31,0,1,31,0,1,0,1
"ALECIA",0,30,0,1,30,0,1,0,1
"AMAN",27,4,.8709677,.1290323,31,1,0,0,0
"ANKUR",35,0,1,0,35,1,0,1,0
"ANTONY",38,0,1,0,38,1,0,1,0
"ARTUR",36,0,1,0,36,1,0,1,0
"BRENDON",36,0,1,0,36,1,0,1,0
"CALLIE",0,34,0,1,34,0,1,0,1
"CHEYENNE",4,21,.16,.84,25,0,1,0,0
"CLEMENT",39,0,1,0,39,1,0,1,0
"DIVYA",1,25,.0384615,.9615384,26,0,1,0,1
"GABI",2,19,.0952381,.9047619,21,0,1,0,0
"JENELLE",0,33,0,1,33,0,1,0,1
"JOLIE",0,22,0,1,22,0,1,0,1
"KEIKO",0,33,0,1,33,0,1,0,1
"KIMMY",1,29,.0333333,.9666666,30,0,1,0,1
"LUCIE",0,24,0,1,24,0,1,0,1
"MARCIN",38,0,1,0,38,1,0,1,0
"MILLY",1,35,.0277778,.9722222,36,0,1,0,1
"MISTY",1,25,.0384615,.9615384,26,0,1,0,1
"RODOLFO",40,0,1,0,40,1,0,1,0
"SOO",4,20,.1666667,.8333333,24,0,1,0,0
"ADRIEN",28,5,.8484849,.1515152,33,1,0,0,0
"ALAINA",0,27,0,1,27,0,1,0,1
"BARNEY",40,0,1,0,40,1,0,1,0
"DAVIDE",35,0,1,0,35,1,0,1,0
"EJ",23,7,.7666667,.2333333,30,1,0,0,0
"ELAINA",0,26,0,1,26,0,1,0,1
"HALLIE",1,20,.047619,.952381,21,0,1,0,1
"JAMI",0,30,0,1,30,0,1,0,1
"JOHANA",1,33,.0294118,.9705882,34,0,1,0,1
"KESHA",1,36,.027027,.972973,37,0,1,0,1
"KHALIL",32,0,1,0,32,1,0,1,0
"KIN",26,4,.8666667,.1333333,30,1,0,0,0
"KOFI",41,0,1,0,41,1,0,1,0
"LU",18,24,.4285714,.5714286,42,0,0,0,0
"NOAM",24,0,1,0,24,1,0,1,0
"ROBB",26,0,1,0,26,1,0,1,0
"SACHIN",36,0,1,0,36,1,0,1,0
"SALMAN",31,0,1,0,31,1,0,1,0
"SANDRO",33,0,1,0,33,1,0,1,0
"SKYE",8,25,.2424242,.7575758,33,0,1,0,0
"SMITH",25,17,.5952381,.4047619,42,0,0,0,0
"TOMER",25,0,1,0,25,1,0,1,0
"TOVA",0,24,0,1,24,0,1,0,1
"VARUN",38,0,1,0,38,1,0,1,0
"YANIV",28,0,1,0,28,1,0,1,0
"YULIA",0,34,0,1,34,0,1,0,1
"ANNABELLE",0,32,0,1,32,0,1,0,1
"ARTEM",32,0,1,0,32,1,0,1,0
"COLBY",28,6,.8235294,.1764706,34,1,0,0,0
"CORINA",0,25,0,1,25,0,1,0,1
"CÃ‰CILE",0,29,0,1,29,0,1,0,1
"DEVORAH",0,24,0,1,24,0,1,0,1
"EDGARDO",40,0,1,0,40,1,0,1,0
"EDMOND",38,0,1,0,38,1,0,1,0
"ENRICO",34,0,1,0,34,1,0,1,0
"ESMERALDA",0,39,0,1,39,0,1,0,1
"GENA",3,30,.0909091,.9090909,33,0,1,0,0
"HAYDEN",22,14,.6111111,.3888889,36,0,0,0,0
"IRENA",0,32,0,1,32,0,1,0,1
"KAROL",10,17,.3703704,.6296296,27,0,0,0,0
"KRISHNA",20,8,.7142857,.2857143,28,0,0,0,0
"LIOR",27,3,.9,.1,30,1,0,0,0
"LITTLE",23,17,.575,.425,40,0,0,0,0
"LUKAS",36,0,1,0,36,1,0,1,0
"LUNA",1,30,.0322581,.9677419,31,0,1,0,1
"MURIEL",0,36,0,1,36,0,1,0,1
"NABIL",28,0,1,0,28,1,0,1,0
"NAN",5,33,.131579,.8684211,38,0,1,0,0
"NANETTE",0,29,0,1,29,0,1,0,1
"NIC",24,6,.8,.2,30,1,0,0,0
"PASTOR",33,9,.7857143,.2142857,42,1,0,0,0
"PRIYANKA",0,30,0,1,30,0,1,0,1
"SAMSON",31,0,1,0,31,1,0,1,0
"SU",4,33,.1081081,.8918919,37,0,1,0,0
"YAAKOV",24,0,1,0,24,1,0,1,0
"YOSEF",31,0,1,0,31,1,0,1,0
"ARLEEN",0,45,0,1,45,0,1,0,1
"BEA",2,26,.0714286,.9285714,28,0,1,0,0
"BENNETT",29,0,1,0,29,1,0,1,0
"BRADFORD",30,1,.9677419,.0322581,31,1,0,1,0
"CATE",0,23,0,1,23,0,1,0,1
"CHESTER",37,2,.948718,.0512821,39,1,0,0,0
"DERICK",30,2,.9375,.0625,32,1,0,0,0
"DONNELL",39,2,.9512195,.0487805,41,1,0,1,0
"EUN",4,27,.1290323,.8709677,31,0,1,0,0
"GIULIA",0,21,0,1,21,0,1,0,1
"JARROD",40,0,1,0,40,1,0,1,0
"JELENA",0,25,0,1,25,0,1,0,1
"LEONA",0,33,0,1,33,0,1,0,1
"MARNIE",0,24,0,1,24,0,1,0,1
"MOIRA",0,24,0,1,24,0,1,0,1
"ORLY",2,22,.0833333,.9166667,24,0,1,0,0
"PASCALE",0,29,0,1,29,0,1,0,1
"SCARLETT",0,25,0,1,25,0,1,0,1
"THIERRY",36,0,1,0,36,1,0,1,0
"TONIANN",0,31,0,1,31,0,1,0,1
"TOYA",1,29,.0333333,.9666666,30,0,1,0,1
"ALIA",0,29,0,1,29,0,1,0,1
"ARIANE",0,21,0,1,21,0,1,0,1
"AXEL",35,0,1,0,35,1,0,1,0
"CHANELLE",0,26,0,1,26,0,1,0,1
"CHAZ",37,0,1,0,37,1,0,1,0
"DELPHINE",0,23,0,1,23,0,1,0,1
"DEON",24,11,.6857143,.3142857,35,0,0,0,0
"GEO",29,2,.9354839,.0645161,31,1,0,0,0
"HERB",33,0,1,0,33,1,0,1,0
"HUI",11,23,.3235294,.6764706,34,0,0,0,0
"IRWIN",40,1,.9756098,.0243902,41,1,0,1,0
"ISA",13,20,.3939394,.6060606,33,0,0,0,0
"JESENIA",0,31,0,1,31,0,1,0,1
"KALI",3,22,.12,.88,25,0,1,0,0
"KYRA",0,26,0,1,26,0,1,0,1
"MAXÃçM",33,0,1,0,33,1,0,1,0
"MERCY",4,32,.1111111,.8888889,36,0,1,0,0
"NELL",2,16,.1111111,.8888889,18,0,1,0,0
"NITIN",31,0,1,0,31,1,0,1,0
"NOELIA",0,37,0,1,37,0,1,0,1
"RAM",33,1,.9705882,.0294118,34,1,0,1,0
"ROXY",1,37,.0263158,.9736842,38,0,1,0,1
"SHAN",17,10,.6296296,.3703704,27,0,0,0,0
"TAE",22,7,.7586207,.2413793,29,1,0,0,0
"ZARA",1,22,.0434783,.9565217,23,0,1,0,1
"ABBIE",0,20,0,1,20,0,1,0,1
"ALEKSANDR",35,0,1,0,35,1,0,1,0
"ANABEL",0,32,0,1,32,0,1,0,1
"ANIA",0,24,0,1,24,0,1,0,1
"BROWN",16,18,.4705882,.5294118,34,0,0,0,0
"CATERINA",0,25,0,1,25,0,1,0,1
"CECELIA",0,39,0,1,39,0,1,0,1
"CECILY",0,30,0,1,30,0,1,0,1
"CLIVE",39,0,1,0,39,1,0,1,0
"CYNDI",0,30,0,1,30,0,1,0,1
"DANILO",37,0,1,0,37,1,0,1,0
"ELLY",7,24,.2258064,.7741935,31,0,1,0,0
"EWA",0,29,0,1,29,0,1,0,1
"FALLON",0,31,0,1,31,0,1,0,1
"FAUSTO",45,0,1,0,45,1,0,1,0
"HAN",25,6,.8064516,.1935484,31,1,0,0,0
"IKE",33,0,1,0,33,1,0,1,0
"IVELISSE",0,33,0,1,33,0,1,0,1
"JENA",0,26,0,1,26,0,1,0,1
"KADEEM",38,0,1,0,38,1,0,1,0
"MARIKO",0,26,0,1,26,0,1,0,1
"MASSIEL",0,28,0,1,28,0,1,0,1
"MATHIEU",32,0,1,0,32,1,0,1,0
"MEHDI",38,0,1,0,38,1,0,1,0
"MICK",32,1,.969697,.030303,33,1,0,1,0
"MINNIE",0,32,0,1,32,0,1,0,1
"NEW",15,7,.6818182,.3181818,22,0,0,0,0
"PARKER",29,5,.8529412,.1470588,34,1,0,0,0
"RANDOLPH",37,0,1,0,37,1,0,1,0
"SHERMAN",33,2,.9428571,.0571429,35,1,0,0,0
"STEFANIA",0,30,0,1,30,0,1,0,1
"STERLING",31,3,.9117647,.0882353,34,1,0,0,0
"URI",34,1,.9714286,.0285714,35,1,0,1,0
"YUAN",13,18,.4193548,.5806451,31,0,0,0,0
"ANJA",0,24,0,1,24,0,1,0,1
"BASIL",39,0,1,0,39,1,0,1,0
"BLUE",17,9,.6538461,.3461539,26,0,0,0,0
"BOBBIE",10,27,.2702703,.7297297,37,0,0,0,0
"BRADY",25,0,1,0,25,1,0,1,0
"BRENNA",0,21,0,1,21,0,1,0,1
"CHAN",22,5,.8148148,.1851852,27,1,0,0,0
"DASHA",0,20,0,1,20,0,1,0,1
"DELORES",0,42,0,1,42,0,1,0,1
"ESTER",0,26,0,1,26,0,1,0,1
"FRANKLYN",36,0,1,0,36,1,0,1,0
"JOANIE",0,36,0,1,36,0,1,0,1
"JOON",24,0,1,0,24,1,0,1,0
"KATHIE",0,35,0,1,35,0,1,0,1
"LIVIA",0,29,0,1,29,0,1,0,1
"LORD",40,1,.9756098,.0243902,41,1,0,1,0
"LYN",2,35,.0540541,.9459459,37,0,1,0,0
"NATALYA",0,26,0,1,26,0,1,0,1
"RONNI",3,32,.0857143,.9142857,35,0,1,0,0
"STARR",3,33,.0833333,.9166667,36,0,1,0,0
"THALIA",0,27,0,1,27,0,1,0,1
"AURA",0,28,0,1,28,0,1,0,1
"BEE",8,17,.32,.68,25,0,0,0,0
"CONSTANTINE",32,0,1,0,32,1,0,1,0
"CORA",0,30,0,1,30,0,1,0,1
"DAVINA",0,22,0,1,22,0,1,0,1
"GARTH",27,0,1,0,27,1,0,1,0
"JADA",4,30,.1176471,.8823529,34,0,1,0,0
"JIE",16,16,.5,.5,32,0,0,0,0
"JOÃƒO",34,1,.9714286,.0285714,35,1,0,1,0
"LANE",20,6,.7692308,.2307692,26,1,0,0,0
"LESLY",12,20,.375,.625,32,0,0,0,0
"LIZBETH",0,37,0,1,37,0,1,0,1
"MAHMOUD",31,0,1,0,31,1,0,1,0
"MARLENA",0,26,0,1,26,0,1,0,1
"MAT",30,0,1,0,30,1,0,1,0
"OSMAN",29,0,1,0,29,1,0,1,0
"OTTO",33,0,1,0,33,1,0,1,0
"RONY",27,1,.9642857,.0357143,28,1,0,1,0
"SADIA",1,23,.0416667,.9583333,24,0,1,0,1
"SAMMI",2,24,.0769231,.9230769,26,0,1,0,0
"SHMUEL",29,0,1,0,29,1,0,1,0
"SOLANGE",0,33,0,1,33,0,1,0,1
"UNIQUE",12,25,.3243243,.6756757,37,0,0,0,0
"ASHTON",26,5,.8387097,.1612903,31,1,0,0,0
"CEM",32,0,1,0,32,1,0,1,0
"DUKE",32,0,1,0,32,1,0,1,0
"ERAN",25,0,1,0,25,1,0,1,0
"FARHAN",29,1,.9666666,.0333333,30,1,0,1,0
"GALE",4,34,.1052632,.8947368,38,0,1,0,0
"HARLEY",17,9,.6538461,.3461539,26,0,0,0,0
"JAVON",33,2,.9428571,.0571429,35,1,0,0,0
"JOSEFINA",0,31,0,1,31,0,1,0,1
"KARINE",0,22,0,1,22,0,1,0,1
"KATI",0,27,0,1,27,0,1,0,1
"LUCINDA",0,19,0,1,19,0,1,0,1
"LYNDSEY",0,25,0,1,25,0,1,0,1
"PAULIE",33,1,.9705882,.0294118,34,1,0,1,0
"RAKESH",31,0,1,0,31,1,0,1,0
"REYNA",0,31,0,1,31,0,1,0,1
"ROMAIN",23,2,.92,.08,25,1,0,0,0
"ROMY",5,17,.2272727,.7727273,22,0,1,0,0
"SHARA",0,22,0,1,22,0,1,0,1
"XIN",19,9,.6785714,.3214286,28,0,0,0,0
"Ä°SMAIL",29,0,1,0,29,1,0,1,0
"ADEL",21,4,.84,.16,25,1,0,0,0
"AGATA",0,27,0,1,27,0,1,0,1
"CARMEL",3,27,.1,.9,30,0,1,0,0
"CLARIBEL",0,29,0,1,29,0,1,0,1
"DAVIS",27,7,.7941176,.2058824,34,1,0,0,0
"ELLIS",22,4,.8461539,.1538462,26,1,0,0,0
"HUBERT",32,0,1,0,32,1,0,1,0
"JAI",22,8,.7333333,.2666667,30,0,0,0,0
"JANINA",0,32,0,1,32,0,1,0,1
"KESHIA",0,34,0,1,34,0,1,0,1
"MARIELLE",0,21,0,1,21,0,1,0,1
"MAURIZIO",35,0,1,0,35,1,0,1,0
"NATACHA",0,29,0,1,29,0,1,0,1
"OSVALDO",35,0,1,0,35,1,0,1,0
"PIOTR",35,0,1,0,35,1,0,1,0
"ROWENA",0,27,0,1,27,0,1,0,1
"RUI",24,10,.7058824,.2941177,34,0,0,0,0
"SALVADOR",37,0,1,0,37,1,0,1,0
"SHA",10,18,.3571429,.6428571,28,0,0,0,0
"SHERRIE",0,30,0,1,30,0,1,0,1
"SHERWIN",27,2,.9310345,.0689655,29,1,0,0,0
"SYLVIE",0,27,0,1,27,0,1,0,1
"THELMA",0,34,0,1,34,0,1,0,1
"VIVIEN",1,25,.0384615,.9615384,26,0,1,0,1
"ALYSE",0,23,0,1,23,0,1,0,1
"ANNAMARIA",0,29,0,1,29,0,1,0,1
"BUDDY",32,1,.969697,.030303,33,1,0,1,0
"CHANI",0,24,0,1,24,0,1,0,1
"CURT",34,0,1,0,34,1,0,1,0
"DEEPA",2,24,.0769231,.9230769,26,0,1,0,0
"DOMENICO",38,0,1,0,38,1,0,1,0
"DULCE",1,23,.0416667,.9583333,24,0,1,0,1
"ELIOT",29,0,1,0,29,1,0,1,0
"EYAL",28,0,1,0,28,1,0,1,0
"HORACE",34,0,1,0,34,1,0,1,0
"ISIS",1,28,.0344828,.9655172,29,0,1,0,1
"JONELLE",1,30,.0322581,.9677419,31,0,1,0,1
"JUST",25,10,.7142857,.2857143,35,0,0,0,0
"KAMIL",34,0,1,0,34,1,0,1,0
"KASHIF",35,0,1,0,35,1,0,1,0
"KYLA",0,25,0,1,25,0,1,0,1
"LAKEISHA",0,37,0,1,37,0,1,0,1
"LEIDY",1,28,.0344828,.9655172,29,0,1,0,1
"LYLE",27,0,1,0,27,1,0,1,0
"MADDIE",0,22,0,1,22,0,1,0,1
"MATTHIAS",37,0,1,0,37,1,0,1,0
"MIRNA",0,29,0,1,29,0,1,0,1
"MURRAY",30,1,.9677419,.0322581,31,1,0,1,0
"NILSA",0,33,0,1,33,0,1,0,1
"NOA",2,27,.0689655,.9310345,29,0,1,0,0
"PASQUALE",34,0,1,0,34,1,0,1,0
"RIC",28,0,1,0,28,1,0,1,0
"ROMINA",0,22,0,1,22,0,1,0,1
"ROMMEL",31,0,1,0,31,1,0,1,0
"SELMA",0,27,0,1,27,0,1,0,1
"XIMENA",0,27,0,1,27,0,1,0,1
"ADOLFO",37,0,1,0,37,1,0,1,0
"ANGELIKA",1,27,.0357143,.9642857,28,0,1,0,1
"ANNE-MARIE",0,17,0,1,17,0,1,0,1
"BURAK",24,0,1,0,24,1,0,1,0
"CYRIL",21,0,1,0,21,1,0,1,0
"DANIA",0,24,0,1,24,0,1,0,1
"DEIDRA",0,34,0,1,34,0,1,0,1
"DOMENICK",35,0,1,0,35,1,0,1,0
"DOMINGO",37,1,.9736842,.0263158,38,1,0,1,0
"DONG",33,3,.9166667,.0833333,36,1,0,0,0
"EITAN",25,1,.9615384,.0384615,26,1,0,1,0
"EMI",2,24,.0769231,.9230769,26,0,1,0,0
"FLAVIA",0,35,0,1,35,0,1,0,1
"GEORGETTE",0,28,0,1,28,0,1,0,1
"GRACIE",0,31,0,1,31,0,1,0,1
"HAILEY",0,20,0,1,20,0,1,0,1
"HYUN",18,13,.5806451,.4193548,31,0,0,0,0
"JACKLYN",0,26,0,1,26,0,1,0,1
"JUSTYNA",0,26,0,1,26,0,1,0,1
"LEI",10,15,.4,.6,25,0,0,0,0
"LISSA",0,27,0,1,27,0,1,0,1
"LONNIE",24,4,.8571429,.1428571,28,1,0,0,0
"NALINI",0,34,0,1,34,0,1,0,1
"ONUR",32,1,.969697,.030303,33,1,0,1,0
"RONIT",3,16,.1578947,.8421053,19,0,1,0,0
"RÃ„Ã‘Ã…",7,15,.3181818,.6818182,22,0,0,0,0
"SAGE",15,13,.5357143,.4642857,28,0,0,0,0
"SAURABH",30,0,1,0,30,1,0,1,0
"SUZAN",0,25,0,1,25,0,1,0,1
"TANESHA",0,24,0,1,24,0,1,0,1
"YANIRA",0,31,0,1,31,0,1,0,1
"YUN",7,19,.2692308,.7307692,26,0,0,0,0
"ADE",21,6,.7777778,.2222222,27,1,0,0,0
"AMAURY",31,1,.96875,.03125,32,1,0,1,0
"ANGELINE",0,32,0,1,32,0,1,0,1
"ANN-MARIE",0,32,0,1,32,0,1,0,1
"ARIF",20,0,1,0,20,1,0,1,0
"ASIM",22,0,1,0,22,1,0,1,0
"BILLIE",3,22,.12,.88,25,0,1,0,0
"CHANIE",0,19,0,1,19,0,1,0,1
"COOPER",24,2,.9230769,.0769231,26,1,0,0,0
"CORRINE",0,29,0,1,29,0,1,0,1
"ERICH",28,0,1,0,28,1,0,1,0
"ETHEL",0,30,0,1,30,0,1,0,1
"FRANZ",39,0,1,0,39,1,0,1,0
"JENI",0,22,0,1,22,0,1,0,1
"JOLENE",0,18,0,1,18,0,1,0,1
"KEILA",0,30,0,1,30,0,1,0,1
"LALA",2,28,.0666667,.9333333,30,0,1,0,0
"LAURI",1,27,.0357143,.9642857,28,0,1,0,1
"MIRI",4,17,.1904762,.8095238,21,0,1,0,0
"NAIMA",0,30,0,1,30,0,1,0,1
"NATALY",0,30,0,1,30,0,1,0,1
"NAVIN",33,0,1,0,33,1,0,1,0
"NEVILLE",30,0,1,0,30,1,0,1,0
"OMARI",29,0,1,0,29,1,0,1,0
"PREETI",0,26,0,1,26,0,1,0,1
"ROZ",0,31,0,1,31,0,1,0,1
"SARINA",0,17,0,1,17,0,1,0,1
"SAVANNAH",0,25,0,1,25,0,1,0,1
"SHALINI",0,22,0,1,22,0,1,0,1
"SHAMIKA",0,32,0,1,32,0,1,0,1
"SHIVANI",0,16,0,1,16,0,1,0,1
"SONDRA",0,44,0,1,44,0,1,0,1
"TORY",12,11,.5217391,.4782609,23,0,0,0,0
"VIKTOR",30,0,1,0,30,1,0,1,0
"YAKOV",31,0,1,0,31,1,0,1,0
"AKI",5,18,.2173913,.7826087,23,0,1,0,0
"CLEO",4,24,.1428571,.8571429,28,0,1,0,0
"CONCETTA",0,29,0,1,29,0,1,0,1
"DAKOTA",18,11,.6206896,.3793103,29,0,0,0,0
"DALLAS",23,5,.8214286,.1785714,28,1,0,0,0
"ELIEZER",33,0,1,0,33,1,0,1,0
"FABIANA",0,27,0,1,27,0,1,0,1
"FABRIZIO",30,0,1,0,30,1,0,1,0
"FATIH",29,0,1,0,29,1,0,1,0
"FERN",2,31,.0606061,.9393939,33,0,1,0,0
"FLOYD",33,0,1,0,33,1,0,1,0
"FRANCHESCA",0,30,0,1,30,0,1,0,1
"JOHANN",25,4,.862069,.137931,29,1,0,0,0
"JOSETTE",0,26,0,1,26,0,1,0,1
"JOSIAH",28,0,1,0,28,1,0,1,0
"KRISTYN",0,14,0,1,14,0,1,0,1
"LUKASZ",32,0,1,0,32,1,0,1,0
"MARGE",0,35,0,1,35,0,1,0,1
"NAVEEN",28,1,.9655172,.0344828,29,1,0,1,0
"NEREIDA",0,28,0,1,28,0,1,0,1
"PALOMA",0,24,0,1,24,0,1,0,1
"REGINE",0,21,0,1,21,0,1,0,1
"REN",17,9,.6538461,.3461539,26,0,0,0,0
"REZA",31,1,.96875,.03125,32,1,0,1,0
"RONA",0,26,0,1,26,0,1,0,1
"SAMIA",0,29,0,1,29,0,1,0,1
"SHANELL",0,34,0,1,34,0,1,0,1
"SHARYN",0,30,0,1,30,0,1,0,1
"WILMA",0,35,0,1,35,0,1,0,1
"YUMI",0,23,0,1,23,0,1,0,1
"YUVAL",20,0,1,0,20,1,0,1,0
"ZAIDA",0,28,0,1,28,0,1,0,1
"ABDULLAH",26,0,1,0,26,1,0,1,0
"AGUSTÃçN",30,0,1,0,30,1,0,1,0
"ALINE",0,29,0,1,29,0,1,0,1
"ANAIS",0,28,0,1,28,0,1,0,1
"CEE",14,17,.4516129,.5483871,31,0,0,0,0
"CHE",18,9,.6666667,.3333333,27,0,0,0,0
"CHRISTI",0,23,0,1,23,0,1,0,1
"GRACIELA",0,28,0,1,28,0,1,0,1
"KIANA",0,30,0,1,30,0,1,0,1
"KRISTAL",0,28,0,1,28,0,1,0,1
"LILIA",1,22,.0434783,.9565217,23,0,1,0,1
"LÃ_",15,18,.4545455,.5454546,33,0,0,0,0
"MATEO",28,0,1,0,28,1,0,1,0
"ORIT",0,19,0,1,19,0,1,0,1
"PORTIA",0,29,0,1,29,0,1,0,1
"REINALDO",34,0,1,0,34,1,0,1,0
"RUSTY",27,3,.9,.1,30,1,0,0,0
"SIVAN",5,20,.2,.8,25,0,1,0,0
"VALENTIN",28,1,.9655172,.0344828,29,1,0,1,0
"VITA",1,24,.04,.96,25,0,1,0,1
"ZEV",22,0,1,0,22,1,0,1,0
"AKIL",33,1,.9705882,.0294118,34,1,0,1,0
"ASAD",26,0,1,0,26,1,0,1,0
"CHARITY",0,27,0,1,27,0,1,0,1
"CHARLEY",19,5,.7916667,.2083333,24,1,0,0,0
"CHRISTAL",0,23,0,1,23,0,1,0,1
"CHRISTIANE",0,24,0,1,24,0,1,0,1
"EDIE",1,20,.047619,.952381,21,0,1,0,1
"EVERETT",29,0,1,0,29,1,0,1,0
"FAHAD",18,0,1,0,18,1,0,1,0
"GREEN",15,10,.6,.4,25,0,0,0,0
"GRIFFIN",22,2,.9166667,.0833333,24,1,0,0,0
"IMAN",5,14,.2631579,.7368421,19,0,0,0,0
"KATINA",1,28,.0344828,.9655172,29,0,1,0,1
"KEV",26,0,1,0,26,1,0,1,0
"KHADIJAH",0,27,0,1,27,0,1,0,1
"KIERA",0,14,0,1,14,0,1,0,1
"KIRBY",21,4,.84,.16,25,1,0,0,0
"MACK",26,3,.8965517,.1034483,29,1,0,0,0
"MAKEDA",0,23,0,1,23,0,1,0,1
"MENACHEM",19,0,1,0,19,1,0,1,0
"RASHEED",31,0,1,0,31,1,0,1,0
"REGAN",12,9,.5714286,.4285714,21,0,0,0,0
"SCOTTY",23,0,1,0,23,1,0,1,0
"SHAMEEKA",0,27,0,1,27,0,1,0,1
"WENDI",0,22,0,1,22,0,1,0,1
"WILLIAMS",16,12,.5714286,.4285714,28,0,0,0,0
"ALIYA",0,19,0,1,19,0,1,0,1
"AMIN",26,0,1,0,26,1,0,1,0
"ANASTASIYA",0,22,0,1,22,0,1,0,1
"ANISSA",0,23,0,1,23,0,1,0,1
"ANNIKA",0,19,0,1,19,0,1,0,1
"ARJUN",23,0,1,0,23,1,0,1,0
"ARNAUD",29,0,1,0,29,1,0,1,0
"CAN",22,3,.88,.12,25,1,0,0,0
"CHRISTIANA",0,17,0,1,17,0,1,0,1
"CRISTAL",0,32,0,1,32,0,1,0,1
"DI",14,8,.6363636,.3636364,22,0,0,0,0
"DIRK",20,0,1,0,20,1,0,1,0
"ESTEE",0,12,0,1,12,0,1,0,1
"GERRI",0,23,0,1,23,0,1,0,1
"HENRI",24,1,.96,.04,25,1,0,1,0
"JACQUIE",0,26,0,1,26,0,1,0,1
"JANELL",0,15,0,1,15,0,1,0,1
"JEANMARIE",0,29,0,1,29,0,1,0,1
"JONES",15,9,.625,.375,24,0,0,0,0
"KINGSLEY",31,0,1,0,31,1,0,1,0
"MEENA",1,21,.0454545,.9545454,22,0,1,0,1
"NADYA",0,24,0,1,24,0,1,0,1
"NICHELLE",0,27,0,1,27,0,1,0,1
"PAWEL",29,0,1,0,29,1,0,1,0
"PERLA",0,30,0,1,30,0,1,0,1
"RHODA",0,31,0,1,31,0,1,0,1
"ROSALIA",0,31,0,1,31,0,1,0,1
"SALIM",23,1,.9583333,.0416667,24,1,0,1,0
"SARITA",1,20,.047619,.952381,21,0,1,0,1
"SEAMUS",29,0,1,0,29,1,0,1,0
"SEUNG",19,5,.7916667,.2083333,24,1,0,0,0
"SLAVA",28,1,.9655172,.0344828,29,1,0,1,0
"TIFFANIE",0,22,0,1,22,0,1,0,1
"TOMASZ",23,0,1,0,23,1,0,1,0
"VIKAS",28,0,1,0,28,1,0,1,0
"VINAY",27,1,.9642857,.0357143,28,1,0,1,0
"VIOLETA",0,29,0,1,29,0,1,0,1
"WALLACE",27,1,.9642857,.0357143,28,1,0,1,0
"WANG",23,7,.7666667,.2333333,30,1,0,0,0
"ZENA",0,23,0,1,23,0,1,0,1
"AKASH",26,0,1,0,26,1,0,1,0
"ALEKSEY",24,0,1,0,24,1,0,1,0
"AMRITA",0,19,0,1,19,0,1,0,1
"ANI",5,18,.2173913,.7826087,23,0,1,0,0
"ANNALISA",0,21,0,1,21,0,1,0,1
"ARYEH",21,0,1,0,21,1,0,1,0
"ASHANTI",4,28,.125,.875,32,0,1,0,0
"AUGUSTO",27,0,1,0,27,1,0,1,0
"CHANTELLE",0,27,0,1,27,0,1,0,1
"CHELSEY",0,25,0,1,25,0,1,0,1
"CORNELIA",0,25,0,1,25,0,1,0,1
"DANNI",3,18,.1428571,.8571429,21,0,1,0,0
"DANY",26,8,.7647059,.2352941,34,1,0,0,0
"DESHAWN",30,4,.8823529,.1176471,34,1,0,0,0
"DEV",23,0,1,0,23,1,0,1,0
"EDUARD",30,0,1,0,30,1,0,1,0
"ELEONORA",0,20,0,1,20,0,1,0,1
"ESPERANZA",0,33,0,1,33,0,1,0,1
"GENEVA",0,23,0,1,23,0,1,0,1
"JOI",1,19,.05,.95,20,0,1,0,0
"JULI",0,23,0,1,23,0,1,0,1
"KHALED",30,0,1,0,30,1,0,1,0
"KRYSTINA",0,22,0,1,22,0,1,0,1
"LEENA",0,19,0,1,19,0,1,0,1
"LIAT",0,22,0,1,22,0,1,0,1
"LUBA",1,21,.0454545,.9545454,22,0,1,0,1
"NIR",26,0,1,0,26,1,0,1,0
"OLA",6,12,.3333333,.6666667,18,0,0,0,0
"PATRICIO",24,0,1,0,24,1,0,1,0
"RESHMA",0,19,0,1,19,0,1,0,1
"SAHAR",2,21,.0869565,.9130435,23,0,1,0,0
