"author"
"Patricia I. Ritter"
"Shifrah Aron-Dine"
"Tomaz Cajner"
"Adrian Hamins-Puertolas"
"Xuelin Li"
"Tamás Fleiner"
"C.J. Libassi"
"Bocar Ba"
"Hyunseok Jung"
"Hongzhe Shan"
"Stanimir Markov"
"Chenhao Tan"
"Qinghai Wang"
"Huaizhi Chen"
"Ruidi Huang"
"Shiyang Huang"
"Cheuk Shing Leung"
"Tingyu Zhou"
"Chongyu Wang"
"Keyang Li"
"Hyun-Soo Choi"
"Xiangyu Guo"
"Daxuan Zhao"
"Pierre-Guillaume Méon"
"Saravana Ravindran"
"Tae-Hee Jo"
"Zdravka Todorova"
"René Bekkers"
"Haoming Liu"
"Jingfeng Lu"
"Liguo Lin"
"Guosong Xu"
"Zhigang Tao"
"Hanbin Yang"
"Robertas Zubrickas"
"Cassiano Alves"
"Perihane Badr"
"Racha Ramadan"
"Swarnava Biswas"
"Balint Horvath"
"Yalin Gunduz"
"Fafanyo Asiseh"
"Monica Garcia-Perez"
"Liping Lu"
"Kassu Hossiso"
"Zhandos Ybrayev"
"Louis-Philippe Morin"
"Ottmar Edenhofer"
"Simon Quemin"
"Nagore Iriberri"
"Johanna Posch"
"Miguel Boucinha"
"Sanni Breining"
"Alemayehu Seyoum Taffesse"
"Victor Orozco"
"Gharad Bryan"
"Chenxi Lu"
"Chenyue Hu"
"Hartmut Egger"
"Shuting (Sophia) Hu"
"Goeun Choi"
"Oguzhan Karakas"
"Sugata Ray"
"Ines Chaieb"
"Vihang Errunza"
"Fangzhou Lu"
"Selale Tuzel"
"Shuyao Yang"
"Jianan Liu"
"Boqian Jiang"
"Tadeja Gracner"
"Xiaofang Dong"
"Shihe Fu"
"Wangyang Lai"
"Naoka Hara"
"Balasz Egert"
"Ariaster Baumgratz Chimeli"
"Qinyi Liu"
"Haizheng Li"
"Huanan Xu"
"Xiaobo He"
"Yatang Lin"
"Nahim Zahur"
"Pierre-André Chiappori"
"Yeon-Koo Che"
"Yinghua He"
"Simon Board"
"Zhengyu Cai"
"Ivan Petrella"
"Goncalo Faria"
"Sudipta Basu"
"Michalis Nikiforos"
"Joao Paulo de Souza"
"Narayani Sritharan"
"Jerry Hausman"
"Zareh Asatryan"
"Stéphane Lavertu"
"Sriya Anbil"
"Jorrit Zwijnenburg"
"L. Rachel Ngai"
"Julia Cajal-Grossi"
"Junjian Yi"
"Songfa Zhong"
"Alois Stutzer"
"Jörg Kalbfuss"
"Adrian Chadi"
"Leeat Yariv"
"Iacopo Morchio"
"Monica Costa-Dias"
"Simon Franklin"
"Jotikasthira Chotibhak"
"Xinyan Yan"
"Yoshio Nozawa"
"Allaudeen Hameed"
"Wenting Ma"
"Jean-David Sigaux"
"Soohun Kim"
"Shihao Gu"
"Yufeng Han"
"Guofu Zhou"
"Simon Smith"
"Zhenguo Lin"
"Yingchun Liu"
"Xiangou Deng"
"Lingxiao Li"
"Yannan (Lily) Shen"
"Yiqiang Han"
"Thies Lindenthal"
"Schery Bokhari"
"Yinuo Zhang"
"Orkun Saka"
"Lekha Chakraborty"
"Yadawendra Singh"
"Stijn van Weezel"
"Yongqiang Chu"
"Wenyu Wang"
"Luis Opazo"
"Xiaoqing Zhou"
"Yicheng Wang"
"Qingqing Cao"
"Renata Narita"
"Patricia Triunfo"
"Hongmei Yi"
"Maxim Massenkoff"
"Nicolas Lepage-Saucier"
"JJ Arias"
"Phanindra V. Wunnava"
"Jevay Grooms"
"Lorissa Pagán"
"Zoë Cullen"
"Erdogan Bakir"
"Armagan Gezici"
"Ozgur Orhangazi"
"Jean-Charles Rochet"
"Mounu Prem"
"Uros Petronijevic"
"Mengjie Pan"
"Aureo de Paula"
"Qiongda Zhao"
"Zhenyu Gao"
"Alpaslan Akay"
"Clément Bellet"
"Sofoklis Goulas"
"Lelys Ileana Dinarte"
"Meradee Tangvatcharapong"
"Andres Silva"
"Huacheng Zhang"
"Nikanor Volkov"
"Yaqing Xiao"
"Hongjun Yan"
"Kee-Hong Bae"
"Zhaoran Gong"
"Keyang Yang"
"Jiekun Huang"
"Huijun Wang"
"Haoyang Liu"
"Weijia Li"
"Gérard Roland"
"Shiyu Bo"
"Liuchun Deng"
"Yufeng Sun"
"Boqun Wang"
"Xueying Lu"
"Haoyang Li"
"Justinas Pelenis"
"Molin Zhong"
"Jung-Hyun Ahn"
"Toru Kitagawa"
"Zhengfei Yu"
"Ivan Canay"
"Indivar Dutta-Gupta"
