author,firstname,gender
"ROSALIE LICCARDO PACULA","ROSALIE","Female"
"HENRY WECHSLER","HENRY","Male"
"JENNY WILLIAMS","JENNY","Female"
"FRANK J. CHALOUPKA","FRANK","Male"
"CHRISTOPHER J. RUHM","CHRISTOPHER","Male"
"NBER WILLIAM BLACK","NBER","Male"
"NBER","NBE","Unknown"
"ADRIANA LLERAS-MUNEY","ADRIANA","Female"
"ALAN MATHIOS","ALAN","Male"
"DEAN LILLARD","DEAN","Male"
"DONALD KENKEL","DONALD","Male"
"JESS BENHABIB","JESS","Male"
"STEFANIE SCHMITT-GROHE","STEFANIE","Female"
"MARCO BASSETTO","MARCO","Male"
"RAVI BANSAL","RAVI","Male"
"ALEX MONGE","ALEX","Male"
"WILLIAM DUPOR","WILLIAM","Male"
"ANDREAS LEHNERT","ANDREAS","Male"
"CHARLES CARLSTROM","CHARLES","Male"
"TIM FUERST","TIM","Male"
"BOYAN JOVANOVIC","BOYAN","Male"
"PETER L. ROUSSEAU","PETER","Male"
"J. DAVID LOPEZ-SALIDO","DAVID","Male"
"JORDI GALI","JORDI","Male"
"MARK GERTLER","MARK","Male"
"SEVIN YELTEKIN","SEVIN","Female"
"CHRISTOPHER SLEET","CHRISTOPHER","Male"
"BENJAMIN EDEN","BENJAMIN","Male"
"GADI BARLEVY","GADI","Male"
"JEFFREY CAMPBELL","JEFFREY","Male"
"ROBERT KING","ROBERT","Male"
"ALEXANDER WOLMAN","ALEXANDER","Male"
"AUBHIK KHAN","AUBHIK","Male"
"CHRISTIAN HAEFKE","CHRISTIAN","Male"
"WOUTER DEN HAAN","WOUTER","Male"
"GAREY RAMEY","GAREY","Male"
"PER KRUSELL","PER","Male"
"JOSE VICTOR RIOS-RULL","JOSE","Male"
"PAUL KLEIN","PAUL","Male"
"CHRIS ERCEG","CHRIS","Male"
"ANDY LEVIN","ANDY","Male"
"YONA RUBINSTEIN","YONA","Male"
"JAMES FEYRER","JAMES","Male"
"GILLES SAINT PAUL","GILLES","Male"
"MEHMET YORUKOGLU","MEHMET","Male"
"JEREMY GREENWOOD","JEREMY","Male"
"ANANTH SHESHADRI","ANANTH","Male"
"RAQUEL FERNANDEZ","RAQUEL","Female"
"OLIVIER BLANCHARD","OLIVIER","Male"
"FRANCESCO GIAVAZZI","FRANCESCO","Male"
"ODED GALOR","ODED","Male"
"OMER MOAV","OMER","Male"
"STEVEN DURLAUF","STEVEN","Male"
"ALBERTO ALESINA","ALBERTO","Male"
"ELIANA LAFERRARA","ELIANA","Female"
"JAMES ROBINSON","JAMES","Male"
"SIMON JOHNSON","SIMON","Male"
"HENRY OVERMAN","HENRY","Male"
"YANNIS IOANNIDES","YANNIS","Male"
"PETER HOWITT","PETER","Male"
"DAVID MAYER-FOULKES","DAVID","Male"
"WILLIAM EASTERLY","WILLIAM","Male"
"JOHN HASSLER","JOHN","Male"
"KJETIL STORESLETEN","KJETIL","Male"
"FABRIZIO ZILIBOTTI","FABRIZIO","Male"
"JOSE VINCENTE RODRIGUEZ MORA","JOSE","Male"
"JEFFREY SACHS","JEFFREY","Male"
"JORDAN RAPPAPORT","JORDAN","Male"
"JESUS FERNADEZ-VILLAVERDE","JESUS","Male"
"MICHAEL WHINSTON","MICHAEL","Male"
"ARIEL PAKES","ARIEL","Male"
"RON SHACHAR","RON","Male"
"BHARAT ANAND","BHARAT","Male"
"DENNIS CARLTON","DENNIS","Male"
"FIONA SCOTT MORTON","FIONA","Female"
"PINELOPI GOLDBERG","PINELOPI","Female"
"FLORIAN ZETTELMEYER","FLORIAN","Male"
"SCOTT STERN","SCOTT","Male"
"TOSHIAKI IIZUKA","TOSHIAKI","Male"
"CHRISTOPHER KNITTEL","CHRISTOPHER","Male"
"SHARON OSTER","SHARON","Female"
"VICTOR STANGO","VICTOR","Male"
"ROBERT GERTNER","ROBERT","Male"
"GLENN ELLISON","GLENN","Male"
"SARA FISHER ELLISON","SARA","Female"
"GREG CRAWFORD","GREG","Male"
"AMIL PETRIN","AMIL","Male"
"PETER REISS","PETER","Male"
"CHRISTOPHER MAYER","CHRISTOPHER","Male"
"TODD SINAI","TODD","Male"
"BRONWYN HALL","BRONWYN","Female"
"DIETMAR HARHOFF","DIETMAR","Male"
"DAVID MOWERY","DAVID","Male"
"RICHARD NELSON","RICHARD","Male"
"JENNY LANJOUW","JENNY","Female"
"CHRISTOPHER UDRY","CHRISTOPHER","Male"
"TIMOTHY BRESNAHAN","TIMOTHY","Male"
"SHANE GREENSTEIN","SHANE","Male"
"BRENT GOLDFARB","BRENT","Male"
"SCOTT SHANE","SCOTT","Male"
"LINDA GOLDBERG","LINDA","Female"
"GERARD DAGES","GERARD","Male"
"JENNIFER CRYSTAL","JENNIFER","Female"
"CARMEN REINHART","CARMEN","Female"
"MENZIE CHINN","MENZIE","Male"
"GRACIELA KAMINSKY","GRACIELA","Female"
"PABLE ANDRES NEUMEYER","PABLE","Male"
"FERNANDO ALVAREZ","FERNANDO","Male"
"KRISTIN FORBES","KRISTIN","Female"
"MICO LORETAN","MICO","Male"
"DAVID SEKIGUCHI","DAVID","Male"
"MARCOS ANTONIO DA SILVEIRA","MARCOS","Male"
"FERNANDO BRONER","FERNANDO","Male"
"ILAN GOLDFAJN","ILAN","Male"
"LORENZA MARTINEZ","LORENZA","Female"
"ALEJANDRO WERNER","ALEJANDRO","Male"
"MARK AGUIAR","MARK","Male"
"LUIS SERVEN","LUIS","Male"
"MICHAEL KUMHOF","MICHAEL","Male"
"SERGIO SCHMUKLER","SERGIO","Male"
"OYA CELASUN","OYA","Female"
"GUILLERMO CALVO","GUILLERMO","Male"
"LARS SVENSSON","LARS","Male"
"CARLO COTARELLI","CARLO","Male"
"STEVE RADELET","STEVE","Male"
"JOYCE CHANG","JOYCE","Female"
"RICHARD MARSTON","RICHARD","Male"
"JOSE CAMPA","JOSE","Male"
"GIANCARLO CORSETTI","GIANCARLO","Male"
"PAOLO PESENTI","PAOLO","Male"
"LUISA LAMBERTINI","LUISA","Female"
"MICHAEL DEPPLER","MICHAEL","Male"
"PETER GARBER","PETER","Male"
"ERIK NIELSEN","ERIK","Male"
"GEORGE HOGUET","GEORGE","Male"
"CAROLINE ATKINSON","CAROLINE","Female"
"TED TRUMAN","TED","Male"
"MOHAMED EL-ERIAN","MOHAMED","Male"
"DAVID HALE","DAVID","Male"
"FEDERICO STURZENEGGER","FEDERICO","Male"
"SHANG-JIN WEI","SHAN","Male"
"NINA PAVCNIK","NINA","Female"
"WOLFGANG KELLER","WOLFGANG","Male"
"SONIA PEREIRA","SONIA","Female"
"JONATHAN HASKEL","JONATHAN","Male"
"MATTHEW SLAUGHTER","MATTHEW","Male"
"JOHN ROMALIS","JOHN","Male"
"GENE GROSSMAN","GENE","Male"
"ELHANAN HELPMAN","ELHANAN","Male"
"LEE BRANSTETTER","LEE","Male"
"SANGIN PARK","SANGIN","Male"
"ALAN DEARDORFF","ALAN","Male"
"JOHN MCLAREN","JOHN","Male"
"SHUBHAM CHAUDHURI","SHUBHAM","Female"
"STEPHEN CAMERON","STEPHEN","Male"
"RAYMOND ROBERTSON","RAYMOND","Male"
"ROBERT STAIGER","ROBERT","Male"
"KYLE BAGWELL","KYLE","Male"
"DAVID HUMMELS","DAVID","Male"
"KALA KRISHNA","KALA","Female"
"CEMILE YAVAS","CEMILE","Unknown"
"DANI RODRIK","DANI","Male"
"ANNA MARIA MAYDA","ANNA","Female"
"PETRA TODD","PETRA","Female"
"JAMES J. HECKMAN","JAMES","Male"
"LANCE LOCHNER","LANCE","Male"
"STEVEN RIVKIN","STEVEN","Male"
"JOHN KAIN","JOHN","Male"
"ERIC HANUSHEK","ERIC","Male"
"SUSUMU IMAI","SUSUMU","Male"
"GARY BECKER","GARY","Male"
"EDWARD GLAESER","EDWARD","Male"
"JAMES R. WALKER","JAMES","Male"
"JOHN KENNAN","JOHN","Male"
"MARKUS MOBIUS","MARKUS","Male"
"MARIANNE BERTRAND","MARIANNE","Female"
"ESTHER DUFLO","ESTHER","Female"
"CAROLINE HOXBY","CAROLINE","Female"
"LOWELL TAYLOR","LOWELL","Male"
"JAMES REBITZER","JAMES","Male"
"MARTIN GAYNOR","MARTIN","Male"
"MOSHE BUCHINSKY","MOSHE","Male"
"DEREK NEAL","DEREK","Male"
"ROBERT TOPEL","ROBERT","Male"
"LISA LYNCH","LISA","Female"
"SANDRA E. BLACK","SANDRA","Female"
"ANYA KRIVELYOVA","ANYA","Female"
"STEVEN LEVITT","STEVEN","Male"
"BRIAN JACOB","BRIAN","Male"
"DAVID AUTOR","DAVID","Male"
"JOHN J. DONOHUE","JOHN","Male"
"RUEBEN GRONAU","RUEBEN","Male"
"DANIEL HAMERMESH","DANIEL","Male"
"ENRICO MORETTI","ENRICO","Male"
"JOHN DINARDO","JOHN","Male"
"DAVID LEE","DAVID","Male"
"SCOTT SCHAEFER","SCOTT","Male"
"PAUL OYER","PAUL","Male"
"JOSEPH ALTONJI","JOSEPH","Male"
"KENNETH TROSKE","KENNETH","Male"
"JENNIFER REINGANUM","JENNIFER","Female"
"MITCH POLINSKY","MITCH","Male"
"DANIEL RUBINFELD","DANIEL","Male"
"ROBERTA ROMANO","ROBERTA","Female"
"LUCIAN BEBCHUK","LUCIAN","Male"
"JOHN C. COATES","JOHN","Male"
"GUHAN SUBRAMANIAN","GUHAN","Male"
"W. KIP VISCUSI","KIP","Male"
"DANIEL KLERMAN","DANIEL","Male"
"ALAN SCHWARTZ","ALAN","Male"
"JOEL WATSON","JOEL","Male"
"KATHRYN SPIER","KATHRYN","Female"
"JENS LUDWIG","JENS","Male"
"PHILIP COOK","PHILIP","Male"
"AVNER BAR-ILAN","AVNER","Male"
"BRUCE SACERDOTE","BRUCE","Male"
"JOEL WALDFOGEL","JOEL","Male"
"SUZANNE SCOTCHMER","SUZANNE","Female"
"KEITH HYLTON","KEITH","Male"
"VIKRAMADITYA KHANNA","VIKRAMADITYA","Male"
"IAN AYRES","IAN","Male"
"BARRY ADLER","BARRY","Male"
"RICARDO LAGOS","RICARDO","Male"
"CHRISTOPHER PISSARIDES","CHRISTOPHER","Male"
"IAN KING","IAN","Male"
"EVA NAGYPAL","EVA","Female"
"JONAS FISHER","JONAS","Male"
"ALAIN DELACROIX","ALAIN","Male"
"GILLES ST. PAUL","GILLES","Male"
"RASMUS LENTZ","RASMUS","Male"
"TORBEN TRANAES","TORBEN","Male"
"ROBERT SHIMER","ROBERT","Male"
"SATYAJIT CHATTERJEE","SATYAJIT","Male"
"MICHAEL PRIES","MICHAEL","Male"
"MARCELO VERACIERTO","MARCELO","Male"
"ARGIA SBORDONE","ARGIA","Female"
"IGNAZION ANGELONI","IGNAZION","Male"
"AVINASH DIXIT","AVINASH","Male"
"MICHAEL DOTSEY","MICHAEL","Male"
"ANDREAS HORNSTEIN","ANDREAS","Male"
"LAURENCE BALL","LAURENCE","Male"
"ROBERT MOFFITT","ROBERT","Male"
"N. GREGORY MANKIW","GREGORY","Male"
"RICARDO REIS","RICARDO","Male"
"CARL WALSH","CARL","Male"
"SHARON KOZICKI","SHARON","Female"
"P.A. TINSLEY","TINSLE","Male"
"LARS E. O. SVENSSON","LARS","Male"
"JOSH LERNER","JOSH","Male"
"DIEGO COMIN","DIEGO","Male"
"JOHN G. FERNALD","JOHN","Male"
"JAMES LEVINSOHN","JAMES","Male"
"MARC MELITZ","MARC","Male"
"TOR JAKOB KLETTE","TOR","Male"
"PLUTARCHOS SAKELLARIS","PLUTARCHOS","Male"
"RUSSELL COOPER","RUSSELL","Male"
"C. J. KRIZAN","KRIZA","Unknown"
"JOHN HALTIWANGER","JOHN","Male"
"LUCIA FOSTER","LUCIA","Female"
"SANGHOON AHN","SANGHOON","Male"
"PIERRE MOHNEN","PIERRE","Male"
"JACQUES MAIRESSE","JACQUES","Male"
"KEVIN STIROH","KEVIN","Male"
"BARBARA FRAUMENI","BARBARA","Female"
"ROBERT GORDON","ROBERT","Male"
"ERNST BERNDT","ERNST","Male"
"MATTHEW SHAPIRO","MATTHEW","Male"
"MARTIN BAILY","MARTIN","Male"
"SUSANTO BASU","SUSANTO","Male"
"JOHN FERNALD","JOHN","Male"
"WILLIAM NORDHAUS","WILLIAM","Male"
"ROBERT GIBBONS","ROBERT","Male"
"MASSIMO RICCABONI","MASSIMO","Male"
"FABIO PAMMOLLI","FABIO","Male"
"ASHISH ARORA","ASHISH","Male"
"SHARON NOVAK","SHARON","Female"
"PETER KLIBANOFF","PETER","Male"
"DIANE BURTON","DIANE","Female"
"JARLE MOEN","JARLE","Male"
"DARREN FILSON","DARREN","Male"
"BENJAMIN GOMES-CASSERES","BENJAMIN","Male"
"ROSA MORALES","ROSA","Female"
"YU XIAOYUN","YU","Female"
"GARY JEFFERSON","GARY","Male"
"GUAN ZIAOJING","GUAN","Male"
"BAI HUAMAO","BAI","Unknown"
"PIERRE AZOULAY","PIERRE","Male"
"ANTONIO MERLO","ANTONIO","Male"
"FRANCOIS ORTALO-MAGNE","FRANCOIS","Male"
"STUART ROSENTHAL","STUART","Male"
"PATRIC HENDERSHOTT","PATRIC","Male"
"RICHARD GREEN","RICHARD","Male"
"FRANK STAFFORD","FRANK","Male"
"MATT KAHN","MATT","Male"
"ERIK HURST","ERIK","Male"
"JON SKINNER","JON","Male"
"MAURICE LUCAS","MAURICE","Male"
"DAVID FIGLIO","DAVID","Male"
"KARL CASE","KARL","Male"
"ED GLAESER","ED","Male"
"JOSEPH GYOURKO","JOSEPH","Male"
"JAN BRUECKNER","JAN","Male"
"PETER ORSZAG","PETER","Male"
"JAN WALLISER","JAN","Male"
"KENT SMETTERS","KENT","Male"
"LAURENCE KOTLIKOFF","LAURENCE","Male"
"PETER DIAMOND","PETER","Male"
"LOUISE SHEINER","LOUISE","Female"
"DOUGLAS ELMENDORF","DOUGLAS","Male"
"MARK DUGGAN","MARK","Male"
"MICHAEL HALIASSSOS","MICHAEL","Male"
"MICHAEL REITER","MICHAEL","Male"
"MAKOTO NAKAJIMA","MAKOTO","Male"
