author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Mayo Fuster Morell,Cooperation in a Peer Production Economy: Experimental Evidence from Wikipedia,Autonomous University of Barcelona,Jan 04 2016,12:30 PM,"Hilton Union Square, Union Square 23 & 24",Industrial Organization Society,"New Empirical Findings in Platform Economics (L1, M1)",,Shane Greenstein,Harvard Business School,Judith Chevalier,Yale University,Marit Hinnosaar,Collegio Carlo Alberto,Scott Savage,University of Colorado,Steven Tadelis,University of California-Berkeley,,,Mayo Fuster Morell,Female,,,,,,NA,NA,NA,NA,NA
Melanie Morten,Migration and Consumption Insurance in Bangladesh,Stanford University,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 13",Econometric Society,"Insurance, Migration and Economic Growth",A1,Mark Rosenzweig,Yale University,John Kennan,University of Wisconsin-Madison,Todd Schoellman,Arizona State University,Clement Imbert,University of Warwick,Mushfiq Mobarak,Yale University,,,Melanie Morten,Female,,,,,,NA,NA,NA,NA,NA
Melissa S. Kearney,Early Childhood Education by MOOC: Lessons from Sesame Street,University of Maryland,Jan 05 2016,1:00 PM,"Hilton Union Square, Continental – Parlor 1",American Economic Association,"Educational Innovations and Social Mobility (I2, I3)",,Marianne Page,University of California-Davis,Elizabeth Cascio,Dartmouth College,Diane W. Schanzenbach,Northwestern University,Marianne Page,University of California-Davis,,,,,MELISSA S. KEARNEY,Female,MELISSA KEARNEY,,,,,NA,NA,NA,NA,NA
Menzie Chinn,Uncovered Interest Parity and Monetary Policy Near and Far from the Zero Lower Bound,University of Wisconsin,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 16",Econometric Society,Exchange Rates and Adjustment,A1,Laura Veldkamp,New York University,,,,,,,,,,,MENZIE CHINN,Male,"Menzie Chinn, University of Wisconsin",Menzie D. Chinn,MENZIED. CHINN,,,NA,NA,NA,NA,NA
Michael B. Devereux,Real Exchange Rates and Sectoral Productivity in the Eurozone,University of British Columbia,Jan 05 2016,10:15 AM,"Hilton Union Square, Yosemite B",American Economic Association,"Real Exchange Rates in the Long Run: Revisiting the Penn Effect and the Balassa-Samuelson Hypothesis (F4, F3)",,Fadi Hassan,Trinity College Dublin,Robert C. Feenstra,University of California-Davis,Andrew K Rose,Berkeley University,Paul R. Bergin,University of California-Davis,Giancarlo Corsetti,University of Cambridge,,,Michael B. Devereux,Male,MICHAEL DEVEREUX,Michael P. Devereux,,,,NA,NA,NA,NA,NA
Michael B. Devereux,"Exchange Rate Pass-Through, Currency of Invoicing and Market Share",University of British Columbia,Jan 05 2016,1:00 PM,"Hilton Union Square, Golden Gate 5",American Economic Association,Exchange Rates and Trade,F3,Robert A. Driskill,Vanderbilt University,,,,,,,,,,,Michael B. Devereux,Male,MICHAEL DEVEREUX,Michael P. Devereux,,,,NA,NA,NA,NA,NA
Michael D. Bordo,The Real Exchange Rate in the Long Run: Balassa-Samuelson Effects Reconsidered,Rutgers University,Jan 05 2016,10:15 AM,"Hilton Union Square, Yosemite B",American Economic Association,"Real Exchange Rates in the Long Run: Revisiting the Penn Effect and the Balassa-Samuelson Hypothesis (F4, F3)",,Fadi Hassan,Trinity College Dublin,Robert C. Feenstra,University of California-Davis,Andrew K Rose,Berkeley University,Paul R. Bergin,University of California-Davis,Giancarlo Corsetti,University of Cambridge,,,Michael D. Bordo,Male,Michael D Bordo,MICHAEL BORDO,,,,NA,NA,NA,NA,NA
Michael D. Whinston,The Welfare Effects of Vertical Integration in Multichannel Television Markets,Massachusetts Institute of Technology,Jan 05 2016,1:00 PM,"Hilton Union Square, Yosemite B",American Economic Association,"Welfare and Mergers in Vertical Relationships: Theory, Evidence and Policy Implications (L1, L4)",,Gautam Gowrisankaran,University of Arizona,Sofia Villas-Boas,University of California-Berkeley,Gautam Gowrisankaran,University of Arizona,Michael Riordan,Columbia University,Aviv Nevo,Northwestern University,,,Michael D. Whinston,Male,MICHAEL WHINSTON,,,,,NA,NA,NA,NA,NA
Michael Ewens,Inside Rounds and Venture Capital Returns,California Institute of Technology,Jan 05 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 10 & 11",American Finance Association,Entrepreneurial Finance and Crowdfunding,G2,Yael Hochberg,Massachusetts Institute of Technology,David Robinson,Duke University,Shai Bernstein,Stanford University,Ramana Nanda,Harvard University,,,,,Michael Ewens,Male,,,,,,NA,NA,NA,NA,NA
Michael Gordy,Counterparty Risk and Counterparty Choice in the Credit Default Swap Market,Federal Reserve Board,Jan 05 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 3 & 4",American Finance Association,Credit Risk,G1,Hui Chen,Massachusetts Institute of Technology,Francis Longstaff,University of California-Los Angeles,Nicolae Garleanu,University of California-Berkeley,Antje Berndt,North Carolina State University,George Pennacchi,University of Illinois,,,MICHAEL GORDY,Male,,,,,,NA,NA,NA,NA,NA
Michael Greenstone,Harberger Meets McKinsey: Measuring the Welfare Effects of Energy Efficiency Programs,University of Chicago,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 3 & 4",American Economic Association,Evaluating Energy Efficiency Programs,Q4,Hunt Allcott,New York University,Paulina Oliva Vallejo,University of California-Santa Barbara,Lucas Davis,University of California-Berkeley,Koichiro Ito,Boston University,Arik Levinson,Georgetown University,,,Michael Greenstone,Male,NBER Michael Greenstone,,,,,NA,NA,NA,NA,NA
Michael Hurwitz,"College Access, Initial College Choice and Degree Completion",College Board,Jan 05 2016,10:15 AM,"Hilton Union Square, Franciscan D",American Economic Association,"The Demand For and Effects of College Quality (I2, J2)",,Lesley Turner,University of Maryland,Seth Zimmerman,University of Chicago,Kevin Stange,University of Michigan,,,,,,,Michael Hurwitz,Male,,,,,,NA,NA,NA,NA,NA
Michael Katz,Risky Value,AQR Capital Management LLC,Jan 04 2016,2:30 PM,"Marriott Marquis, Yerba Buena Salons 14 & 15",American Finance Association,The Cross-Section of Expected Returns,G1,Ralph Koijen,London Business School,Motohiro Yogo,Princeton University,Stijn Van Nieuwerburgh,New York University,Anna Cieslak,Duke University,,,,,MICHAEL KATZ,Male,Michael Katz,,,,,NA,NA,NA,NA,NA
Michael Kiley,Mapping Heat in the U.S. Financial System,Federal Reserve Board,Jan 05 2016,10:15 AM,"Marriott Marquis, Sierra J","International Banking, Economics and Finance Association","Measuring and Managing Financial Stability (G2, E5)",,John Krainer,Federal Reserve Bank of San Francisco,Roland Meeks,Bank of England,Andreas Lehnert,Federal Reserve Board,Lawrence Schmidt,University of Chicago,Scott Brave,Federal Reserve Bank of Chicago,,,MICHAEL KILEY,Male,,,,,,NA,NA,NA,NA,NA
Michael Kremer,Vocational Education Voucher Delivery and Labor Market Returns: A Randomized Evaluation Among Kenyan Youth,Harvard University,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 22",American Economic Association,"Experimental Impacts of Vocational Education in Low and Middle Income Countries (J1, O1)",,Adriana Debora Kugler,Georgetown University,Ofer Malamud,University of Chicago,Erica Field,Duke University,Rebecca Thornton,University of Illinois-Urbana-Champaign,Ahmed Mushfiq Mobarak,Yale University,,,MICHAEL KREMER,Male,,,,,,NA,NA,NA,NA,NA
Michael Kremer,"Joint Liability, Asset Collateralization, and Credit Access: Evidence from Rainwater Harvesting Tanks in Kenya",Harvard University,Jan 03 2016,8:00 AM,"Hilton Union Square, Continental – Parlor 3",American Economic Association,"Contractual Issues in Developing Countries (O1, D8)",,Supreet Kaur,Columbia University,Rocco Macchiavello,Warwick University,Jessica Goldberg,University of Maryland,Xiao Yu Wang,Duke University,Jeremy Magruder,University of California-Berkeley,,,MICHAEL KREMER,Male,,,,,,NA,NA,NA,NA,NA
Michael Kremer,Public and Private Infrastructure,Harvard University,Jan 05 2016,10:15 AM,"Hilton Union Square, Continental Parlors 7 & 8",American Economic Association,Infrastructure and Development,O1,Paul Joskow,Massachusetts Institute of Technology,Seema Jayachandran,Northwestern University,David Weil,Brown University,Hunt Allcott,New York University,,,,,MICHAEL KREMER,Male,,,,,,NA,NA,NA,NA,NA
Michael Kumhof,Income Inequality and Current Account Imbalances,International Monetary Fund,Jan 05 2016,8:00 AM,"Hilton Union Square, Continental – Parlor 3",American Economic Association,"Inequality, Redistribution and Macroeconomic Instability (E1, E2)",,Romain Ranciere,Paris School of Economics,Kevin J. Lansing,Federal Reserve Bank of San Francisco,Juan M. Sanchez,Federal Reserve Bank of St Louis,Alessandro Dovis,Pennsylvania State University,Thomas Theobald,Macroeconomic Policy Institute,,,MICHAEL KUMHOF,Male,,,,,,NA,NA,NA,NA,NA
Michael Kumhof,The Macroeconomics of Central Bank-Issued Digital Currency,Bank of England,Jan 04 2016,10:15 AM,"Hilton Union Square, Yosemite A",American Economic Association,Digital Currencies,E4,Andrew K. Rose,University of California-Berkeley,Andrew K. Rose,University of California-Berkeley,Paolo Tasca,Deutsche Bundesbank,,,,,,,MICHAEL KUMHOF,Male,,,,,,NA,NA,NA,NA,NA
Michael Kumhof,Inequality and Indebtedness: Domestic and International Considerations,Bank of England,Jan 03 2016,2:30 PM,"Marriott Marquis, Pacific B",Association for Social Economics,"Financialisation and Inequality (E4, D6)",,Philip Arestis,University of Cambridge,,,,,,,,,,,MICHAEL KUMHOF,Male,,,,,,NA,NA,NA,NA,NA
Michael Luca,Using Wide Data to Target Crime Control,Harvard University,Jan 05 2016,8:00 AM,"Hilton Union Square, Imperial B",American Economic Association,"Predictive Cities (H7, C1)",,Edward L. Glaeser,Harvard University,Susan Athey,Stanford University,,,,,,,,,Michael Luca,Male,,,,,,NA,NA,NA,NA,NA
Michael Luca,Complex Disclosure,Harvard Business School,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 23 & 24",Industrial Organization Society,"Empirics of Markets with Information and Learning (L1, M1)",,Kenneth Hendricks,University of Wisconsin,Michael Dickstein,Stanford University,Marc Rysman,Boston University,Ali Hortaçsu,University of Chicago,Timothy Simcoe,Boston University,,,Michael Luca,Male,,,,,,NA,NA,NA,NA,NA
Michael Luca,Crowdsourcing City Government: Using Tournaments to Improve Inspection Accuracy,Harvard University,Jan 05 2016,8:00 AM,"Hilton Union Square, Imperial B",American Economic Association,"Predictive Cities (H7, C1)",,Edward L. Glaeser,Harvard University,Susan Athey,Stanford University,,,,,,,,,Michael Luca,Male,,,,,,NA,NA,NA,NA,NA
Michael Ostrovsky,Full Substitutability in Trading Networks,Stanford University,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 20",Econometric Society,Advances in Matching Theory,A1,Alessandro Pavan,Northwestern University,,,,,,,,,,,MICHAEL OSTROVSKY,Male,,,,,,NA,NA,NA,NA,NA
Michael Peters,Lack of Selection and Limits to Delegation: Firms Dynamics in Developing Countries,Yale University,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 19",Econometric Society,Firms and the Aggregate Economy,A1,Ufuk Akcigit,University of Chicago,,,,,,,,,,,Michael Peters,Male,,,,,,NA,NA,NA,NA,NA
Michael Siemer,A Missing Generation of Firms? Aggregate Effects of the Decline in New Business Formation,Federal Reserve Board,Jan 05 2016,10:15 AM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"New Developments in Firm Dynamics in Understanding Business Dynamism (J2, E3)",,Fatih Karahan,Federal Reserve Bank of New York,Ruediger Bachmann,University of Notre Dame,Ryan Michaels,Federal Reserve Bank of Philadelphia,Manuel Adelino,Duke University,Mu-Jeung Yang,University of Washington-Seattle,,,Michael Siemer,Male,,,,,,NA,NA,NA,NA,NA
Michael Siemer,Uncertainty and International Capital Flows,Federal Reserve Board,Jan 03 2016,8:00 AM,"Marriott Marquis, Nob Hill C & D",American Finance Association,Aggregate Volatility Shocks: Real and Financial Effects,G1,Stefano Giglio,University of Chicago,Helene Rey,London Business School,Eric Ghysels,University of North Carolina,Ian Dew-Becker,Northwestern University,,,,,Michael Siemer,Male,,,,,,NA,NA,NA,NA,NA
Michael Sockin,Housing Speculation and Housing Cycles,Princeton University,Jan 04 2016,10:15 AM,"Hilton Union Square, Continental Parlors 7 & 8",American Economic Association,"Behavioral Models of Housing Cycles (G1, R2)",,Charles G. Nathanson,Northwestern University,Nicholas C. Barberis,Yale University,Alvin Murphy,Arizona State University,Christopher J. Mayer,Columbia University,Ulrike Malmendier,University of California-Berkeley,,,Michael Sockin,Male,,,,,,NA,NA,NA,NA,NA
Michael Weber,The Term Structure of Equity Returns: Risk or Mispricing?,University of Chicago,Jan 04 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 1 & 2",American Finance Association,Behavioral Finance,G1,Christopher Parsons,University of California-San Diego,Yuval Rottenstreich,University of California-San Diego,John Beshears,Harvard University,Malcolm Baker,Harvard Business School,Richard Townsend,Dartmouth College,,,Michael Weber,Male,,,,,,NA,NA,NA,NA,NA
Michael Weber,Inflation Expectations and Consumption Behavior,University of Chicago,Jan 04 2016,10:15 AM,"Hilton Union Square, Continental – Parlor 1",American Economic Association,"Inflation Experience and Inflation Expectations (E3, E5)",,Michael Weber,University of Chicago,Oleksiy Kryvtsov,Bank of Canada,Ruediger Bachmann,University of Notre Dame,Ricardo Reis,Columbia University,John Leahy,New York University,,,Michael Weber,Male,,,,,,NA,NA,NA,NA,NA
Michele Ruta,Trade Slowdown and Economic Growth,World Bank,Jan 04 2016,12:30 PM,"Hilton Union Square, Yosemite A",Society of Policy Modeling,"Growth Prospects for Developing Countries (F4, F4)",,Fred Campano,Fordham University,Dominick Salvatore,Fordham University,,,,,,,,,Michele Ruta,Female,,,,,,NA,NA,NA,NA,NA
Michele Tertilt,Asymmetric Information in Couples,University of Mannheim,Jan 05 2016,10:15 AM,"Hilton Union Square, Golden Gate 3 & 4",American Economic Association,Micro and Macro Perspectives on Families and Development,O1,Michele Tertilt,University of Mannheim,Erica Field,Duke University,Alice Schoonbroodt,University of Iowa,Nava Ashraf,Harvard University,Marianne Bertrand,University of Chicago,,,Michele Tertilt,Female,,,,,,NA,NA,NA,NA,NA
Miguel Almunia,The Price Elasticity of Charitable Giving: Evidence from U.K. Tax Records,University of Warwick,Jan 04 2016,2:30 PM,"Marriott Marquis, Walnut",Association for the Study of Generosity in Economics,"Taxation and Charitable Giving (D6, H2)",,Sarah Smith,University of Bristol,Marit Rehavi,University of British Columbia,Bradley Heim,Indiana University,Caroline Weber,University of Oregon,,,,,Miguel Almunia,Male,,,,,,NA,NA,NA,NA,NA
Miguel Ferreira,The Economic Effects of Public Financing: Evidence from Municipal Bond Ratings Recalibration,Nova School of Business and Economics,Jan 04 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 5 & 6",American Finance Association,Financial Markets and Government Interactions,G3,Francisco Perez-Gonzalez,Instituto Tecnológico Autónomo de México,Benjamin Hermalin,University of California-Berkeley,Sebastien Michenaud,DePaul University,Gabriel Chodorow-Reich,Harvard University,,,,,Miguel Ferreira,Male,Miguel A. Ferreira,,,,,NA,NA,NA,NA,NA
Miguel Ferreira,The Real Effects of Credit Ratings: The Sovereign Ceiling Channel,Nova School of Business and Economics,Jan 04 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 5 & 6",American Finance Association,"Investment Policy, Risk Taking and Hedging",G3,Kelly Shue,University of Chicago,Bo Becker,Stockholm School of Economics,Gordon Phillips,Dartmouth College,Hayong Yun,Michigan State University,Marcin Kacperczyk,Imperial College London,,,Miguel Ferreira,Male,Miguel A. Ferreira,,,,,NA,NA,NA,NA,NA
Miguel Ferreira,Are Foreign Investors Locusts? The Long-Term Effects of Foreign Institutional Ownership,Nova School of Business and Economics,Jan 05 2016,1:00 PM,"Marriott Marquis, Nob Hill C & D",American Finance Association,"Transparency, Corporate Governance, and Firm Value",G3,Margarita Tsoutsoura,University of Chicago,I. J. Alexander Dyck,University of Toronto,Michelle Hanlon,Massachusetts Institute of Technology,Olga Kuzmina,New Economic School,,,,,Miguel Ferreira,Male,Miguel A. Ferreira,,,,,NA,NA,NA,NA,NA
Miguel Urquiola,The Big Sort: College Reputation and Labor Market Outcomes,Columbia University,Jan 05 2016,10:15 AM,"Hilton Union Square, Franciscan D",American Economic Association,"The Demand For and Effects of College Quality (I2, J2)",,Lesley Turner,University of Maryland,Seth Zimmerman,University of Chicago,Kevin Stange,University of Michigan,,,,,,,MIGUEL URQUIOLA,Male,,,,,,NA,NA,NA,NA,NA
Mike Burkart,Hedge Fund Activism versus Hostile Takeover Bids,Stockholm School of Economics & Swedish,Jan 05 2016,1:00 PM,"Marriott Marquis, Nob Hill A & B",American Finance Association,Shareholder Activism and the Market for Corporate Control,G3,Doron Levit,University of Pennsylvania,Laura Starks,University of Texas-Austin,Nickolay Gantchev,University of North Carolina,Robert Marquez,University of California-Davis,Andrey Malenko,Massachusetts Institute of Technology,,,Mike Burkart,Male,,,,,,NA,NA,NA,NA,NA
Mikhail Golosov,"Taxes, Debts, and Redistributions with Aggregate Shocks",Princeton University and NBER,Jan 03 2016,10:15 AM,"Hilton Union Square, Golden Gate 1 & 2",American Economic Association,"Social Insurance Policy Over the Business Cycle: New Advances (E6, E3)",,Fatih Guvenen,"University of Minnesota, Federal Reserve Bank of Minneapolis, and NBER",,,,,,,,,,,MIKHAIL GOLOSOV,Male,,,,,,NA,NA,NA,NA,NA
Mikhail Golosov,Medicaid Expansions and Health Spending Growth,Princeton University,Jan 05 2016,8:00 AM,"Hilton Union Square, Union Square 3 & 4",Health Economics Research Organization/American Economic Association,"Evidence on Health Spending Growth and Slowdown Using Medicaid, Medicare, and Household Data (I1, H5)",,Donald E. Yett,University of Southern California,Martin Gaynor,Carnegie Mellon University,Joshua Gottlieb,University of British Columbia,M. Kate Bundorf,Stanford University,,,,,MIKHAIL GOLOSOV,Male,,,,,,NA,NA,NA,NA,NA
Milton Harris,The system-wide effects of bank capital regulation on credit supply and risk-taking,"Booth School of Business, University of Chicago",Jan 05 2016,10:15 AM,"Hilton Union Square, Union Square 3 & 4",Econometric Society,Financial Regulation,A1,Amit Seru,University of Chicago,,,,,,,,,,,MILTON HARRIS,Male,,,,,,NA,NA,NA,NA,NA
Missaka Warusawitharana,Mapping Heat in the U.S. Financial System,Federal Reserve Board,Jan 05 2016,10:15 AM,"Marriott Marquis, Sierra J","International Banking, Economics and Finance Association","Measuring and Managing Financial Stability (G2, E5)",,John Krainer,Federal Reserve Bank of San Francisco,Roland Meeks,Bank of England,Andreas Lehnert,Federal Reserve Board,Lawrence Schmidt,University of Chicago,Scott Brave,Federal Reserve Bank of Chicago,,,MISSAKA WARUSAWITHARANA,Male,,,,,,NA,NA,NA,NA,NA
Mo Xiao,Reputation Premium and Reputation Management: Evidence from the Largest eCommerce Platform in China,University of Arizona,Jan 04 2016,12:30 PM,"Marriott Marquis, Sierra J",Chinese Economists Society,China's eCommerce Development,M1,Xiaobo Zhang,Peking University and International Food Policy Research Institute,Ying Fan,University of Michigan,Ruochen Dai,Peking University,Mo Xiao,University of Arizona,Ginger Zhe Jin,University of Maryland and NBER,,,Mo Xiao,Female,,,,,,NA,NA,NA,NA,NA
Mohamed Saleh,The Cotton Boom and Slavery in Nineteenth-Century Rural Egypt,Toulouse School of Economics,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 25",American Economic Association,Economic History,N1,David F. Weiman,Barnard College and Columbia University,,,,,,,,,,,Mohamed Saleh,Male,,,,,,NA,NA,NA,NA,NA
Molly Lipscomb,"Electrification, Agricultural Productivity and Deforestation in Brazil",University of Virginia,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 5 & 6",Association of Environmental & Resource Economists,"Management of Natural Resources: Theory and Applications (Q2, Q3)",,Harrison Fell,Colorado School of Mines,Harrison Fell,Colorado School of Mines,Michael Hanemann,Arizona State University,Eduardo Souza-Rodrigues,University of Toronto,Christopher Costello,University of California-Santa Barbara,,,MOLLY LIPSCOMB,Female,,,,,,NA,NA,NA,NA,NA
Monika Piazzesi,"Payments, Credit and Asset Prices",Stanford University,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 13",American Economic Association,"Credit, Frictions, and the Macroeconomy",E2,Andrew Jalil,Occidental College,,,,,,,,,,,MONIKA PIAZZESI,Female,,,,,,NA,NA,NA,NA,NA
Morris Kleiner,Analyzing the Duration of Occupational Licensing on the Labor Market,University of Minnesota and NBER,Jan 05 2016,10:15 AM,"Hilton Union Square, Union Square 20",American Economic Association,"Assessing the Costs and Benefits of Occupational Licensing and Certification (J1, K2)",,Edward Timmons,Saint Francis University,Mindy Marks,University of California-Riverside,Robert Thornton,Lehigh University,David Harrington,Kenyon College,Marek Zapletal,Brattle Group,Edward Timmons,Saint Francis University,MORRIS KLEINER,Male,,,,,,NA,NA,NA,NA,NA
Morris Kleiner,Is Occupational Licensing a Barrier to Interstate Migration?,University of Minnesota,Jan 04 2016,2:30 PM,"Hilton Union Square, Golden Gate 8",American Economic Association,Occupations of the Past and Future,J1,Peter McHenry,College of William and Mary,,,,,,,,,,,MORRIS KLEINER,Male,,,,,,NA,NA,NA,NA,NA
Morris M. Kleiner,Battling over Jobs: Occupational Licensing in Health Care,University of Minnesota,Jan 05 2016,8:00 AM,"Hilton Union Square, Plaza B",American Economic Association,Labor Markets with Occupational Licensing: Their Economic Effects,J4,Alexandre Mas,Princeton University,Paul Joskow,Sloan Foundation and Massachusetts Institute of Technology,Jesse Rothstein,University of California-Berkeley,,,,,,,Morris M. Kleiner,Male,,,,,,NA,NA,NA,NA,NA
Morten Bennedsen,Corporate Tax Havens and Transparency,INSEAD,Jan 05 2016,1:00 PM,"Marriott Marquis, Nob Hill C & D",American Finance Association,"Transparency, Corporate Governance, and Firm Value",G3,Margarita Tsoutsoura,University of Chicago,I. J. Alexander Dyck,University of Toronto,Michelle Hanlon,Massachusetts Institute of Technology,Olga Kuzmina,New Economic School,,,,,MORTEN BENNEDSEN,Male,,,,,,NA,NA,NA,NA,NA
Motohiro Yogo,An Equilibrium Model of Institutional Demand and Asset Prices,Princeton University,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 16",Econometric Society,Advances in Asset Pricing,A1,Peter Kondor,London School of Economics,,,,,,,,,,,MOTOHIRO YOGO,Male,,,,,,NA,NA,NA,NA,NA
Murat Iyigun,Agricultural Productivity and Conflict: Evidence from the Diffusion of Potatoes to the Old World,University of Colorado,Jan 03 2016,8:00 AM,"Hilton Union Square, Imperial A",American Economic Association,"The Economics of Violence (O1, Q1)",,Solomon M. Hsiang,University of California-Berkeley,Suresh Naidu,Columbia University,Michael Callen,Harvard University,Melissa Dell,Harvard University,Edward Miguel,University of California-Berkeley,,,Murat Iyigun,Male,,,,,,NA,NA,NA,NA,NA
Murat Iyigun,"Why Wait? A Century of Education, Marriage Timing and Gender Roles",University of Colorado,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 17 & 18",American Economic Association,"The Evolution of Earnings Inequality, Property Laws and Educational Attainment on Marital Behavior",J1,Aloysius Siow,University of Toronto,Jeanne Lafortune,Catholic University of Chile,Aloysius Siow,University of Toronto,Kirsten Cornelson,University of Toronto,Murat Iyigun,University of Colorado,,,Murat Iyigun,Male,,,,,,NA,NA,NA,NA,NA
Muriel Niederle,The Importance of Fuzzy Beliefs,Stanford University,Jan 04 2016,10:15 AM,"Marriott Marquis, Walnut",Association for the Study of Generosity in Economics/International Association for Feminist Economics,"Gender and Altruistic Decisions (D6, J1)",,Catherine Eckel,Texas A&M University,Jonathan Meer,Texas A&M University,,,,,,,,,MURIEL NIEDERLE,Female,,,,,,NA,NA,NA,NA,NA
Muriel Niederle,Knowing When to Ask: The Cost of Leaning In,Stanford University,Jan 04 2016,8:00 AM,"Hilton Union Square, Continental Ballroom 4",American Economic Association,"Gender at Work: Evidence from Experimental Economics (C9, J7)",,Catherine Eckel,Texas A&M University,Christine Exley,Stanford University,Anat Bracha,Federal Reserve Bank of Boston,Katherine Coffman,Ohio State University,Alexandra van Geen,Erasmus University,,,MURIEL NIEDERLE,Female,,,,,,NA,NA,NA,NA,NA
Murillo Campello,The Market for Equity Lending and Corporate Cash,Cornell University and NBER,Jan 03 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 1 & 2",American Finance Association,The Influence of Markets on Corporate Policy,G3,Amy Dittmar,University of Michigan,Ran Duchin,University of Washington,Taylor Begley,London Business School,Hui Chen,Massachusetts Institute of Technology,,,,,MURILLO CAMPELLO,Male,,,,,,NA,NA,NA,NA,NA
Nadja Dwenger,From Financial to Real Economic Crisis – Evidence from Individual Firm-Bank Relationships in Germany,Max Planck Institute for Tax Law and Public Finance,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 13",American Economic Association,Financial Stability,G2,Chiara Scotti,Federal Reserve Board,,,,,,,,,,,Nadja Dwenger,Female,,,,,,NA,NA,NA,NA,NA
Nancy Qian,Agricultural Productivity and Conflict: Evidence from the Diffusion of Potatoes to the Old World,Yale University,Jan 03 2016,8:00 AM,"Hilton Union Square, Imperial A",American Economic Association,"The Economics of Violence (O1, Q1)",,Solomon M. Hsiang,University of California-Berkeley,Suresh Naidu,Columbia University,Michael Callen,Harvard University,Melissa Dell,Harvard University,Edward Miguel,University of California-Berkeley,,,Nancy Qian,Female,Yale University Nancy Qian,,,,,NA,NA,NA,NA,NA
Natalia Ramondo,The Dynamics of Multinational Activity: Evidence from the U.S,University of California-San Diego,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 13",American Economic Association,"New Theory and Evidence on the Dynamics of Multinational Corporations (F1, F6)",,Stefania Garetto,Boston University,Stephen Yeaple,Pennsylvania State University,Javier Cravino,University of Michigan,Andres Rodriguez-Clare,University of California-Berkeley,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,,,NATALIA RAMONDO,Female,,,,,,NA,NA,NA,NA,NA
Natalia Ramondo,Multinational Firms and Exporters Dynamics,University of California-San Diego,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 13",American Economic Association,"New Theory and Evidence on the Dynamics of Multinational Corporations (F1, F6)",,Stefania Garetto,Boston University,Stephen Yeaple,Pennsylvania State University,Javier Cravino,University of Michigan,Andres Rodriguez-Clare,University of California-Berkeley,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,,,NATALIA RAMONDO,Female,,,,,,NA,NA,NA,NA,NA
Natalia Zinovyeva,Does Gender Matter for Academic Promotion? Evidence from Two Large Scale Randomized Natural Experiments,Aalto University Helsinki,Jan 05 2016,8:00 AM,"Hilton Union Square, Continental – Parlor 9",American Economic Association,"Gender Differences in Career Outcomes (J1, J7)",,Lise Vesterlund,University of Pittsburgh,Katherine Coffman,Ohio State University,Scott Carrell,University of California-Davis,Eszter Czibor,University of Chicago,Johanna Mollerstrom,George Mason University,,,Natalia Zinovyeva,Female,,,,,,NA,NA,NA,NA,NA
Natalie Bau,Bride Price and the Returns to Education for Women,Harvard University,Jan 05 2016,10:15 AM,"Hilton Union Square, Golden Gate 3 & 4",American Economic Association,Micro and Macro Perspectives on Families and Development,O1,Michele Tertilt,University of Mannheim,Erica Field,Duke University,Alice Schoonbroodt,University of Iowa,Nava Ashraf,Harvard University,Marianne Bertrand,University of Chicago,,,Natalie Bau,Female,,,,,,NA,NA,NA,NA,NA
