author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Daniel Paravisini,Adverse Selection and Maturity Choice in Consumer Credit Markets: Evidence from an Online Lender,London School of Economics,Jan 03 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 14 & 15",American Finance Association,Innovations and Behavior in Household Finance,G0,Adair Morse,University of California-Berkeley,Brad Barber,University of California-Davis,Mitchell Petersen,Northwestern University,Justine Hastings,Brown University,,,,,DANIEL PARAVISINI,Male,,,,,,NA,NA,NA,NA,NA
Daniel Phaneuf,Does Water Quality Matter? Evidence from Micro Panel Data,University of Wisconsin,Jan 05 2016,8:00 AM,"Hilton Union Square, Union Square 5 & 6",Association of Environmental & Resource Economists,The Economics of Water Pollution,Q5,Joseph S. Shapiro,Yale University,Sheila Olmstead,University of Texas-Austin,Michael Hanemann,Arizona State University,Maureen Cropper,University of Maryland,Maximilian Auffhammer,University of California-Berkeley,,,DANIEL PHANEUF,Male,,,,,,NA,NA,NA,NA,NA
Daniel Phaneuf,What the Frac? Sand Mining and Transport-Induced Externalities,University of Wisconsin-Madison,Jan 03 2016,8:00 AM,"Hilton Union Square, Sutter A & B",Association of Environmental & Resource Economists,"Hedonic Models of Land Value and Amenities: Methods and Applications (Q5, Q4)",,Nicolai Kuminoff,Arizona State University,Jaren C. Pope,Brigham Young University,Lucija Muehlenbachs,University of Calgary,Wolfram Schlenker,Columbia University,Ralph Mastromonaco,University of Oregon,,,DANIEL PHANEUF,Male,,,,,,NA,NA,NA,NA,NA
Daniel Silverman,Dynamic Inconsistencies: A Revealed Preference Approach,Arizona State University,Jan 04 2016,12:30 PM,"Hilton Union Square, Union Square 1 & 2",Korea-America Economic Association/American Economic Association,"Advances in Behavioral Economics (C9, D9)",,Yeon-Koo Che,Columbia University,Daniel Silverman,Arizona State University,James Andreoni,University of California-San Diego,Lawrence Jin,California Institute of Technology,Emir Kamenica,University of Chicago,,,DANIEL SILVERMAN,Male,,,,,,NA,NA,NA,NA,NA
Daniel Silverman,"Do Employers Consider Unemployment Duration, Low-Quality Interim Employment, and Age in Hiring? Evidence from an Audit Study",Arizona State University,Jan 03 2016,2:30 PM,"Hilton Union Square, Yosemite B",American Economic Association,"Evidence from Lab and Field Experiments on Discrimination (J7, J2)",,Patrick Button,Tulane University and NBER,Mathew J. Notowidigdo,Northwestern University and NBER,Christian Manger,University of Tuebingen,Catherine Eckel,Texas A&M University,,,,,DANIEL SILVERMAN,Male,,,,,,NA,NA,NA,NA,NA
Danny Yagan,Capital Tax Reform and the Real Economy: The Effects of the 2003 Dividend Tax Cut,University of California-Berkeley,Jan 03 2016,8:00 AM,"Hilton Union Square, Franciscan D",American Economic Association,"Empirics of Capital Taxation (H2, G3)",,Marshall Steinbaum,Washington Center for Equitable Growth,Ruud De Mooij,International Monetary Fund,Paul Burnham,Congressional Budget Office,Katherine Cuff,McMaster University,,,,,Danny Yagan,Male,,,,,,NA,NA,NA,NA,NA
Daphne Chen,Use It or Lose It: Efficiency Gains from Wealth Taxation,Florida State University,Jan 04 2016,2:30 PM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"Wealth Taxation (E1, H1)",,Burhan Kuruscu,University of Toronto,,,,,,,,,,,Daphne Chen,Female,,,,,,NA,NA,NA,NA,NA
Daron Acemoglu,Microeconomic Origins of Macroeconomic Tail Risks,Massachusetts Institute of Technology,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 19",Econometric Society,Firms and the Aggregate Economy,A1,Ufuk Akcigit,University of Chicago,,,,,,,,,,,DARON ACEMOGLU,Male,"DARON ACEMOGLU,",,,,,NA,NA,NA,NA,NA
Daron Acemoglu,The Power of the Street: Evidence from Egypt's Arab Spring,Massachusetts Institute of Technology,Jan 04 2016,2:30 PM,"Marriott Marquis, Yerba Buena Salons 12 & 13",American Finance Association,Social Media and Textual Analysis in Finance,G1,Lily Fang,Massachusetts Institute of Technology,Justin Wolfers,University of Michigan,David Lucca,Federal Reserve Bank of New York,Eugene Soltes,Harvard Business School,Joseph Engelberg,University of California-San Diego,,,DARON ACEMOGLU,Male,"DARON ACEMOGLU,",,,,,NA,NA,NA,NA,NA
Darrell Duffie,Benchmarks in Search Markets,Stanford University,Jan 04 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 14 & 15",American Finance Association,Security and Market Mechanism Design,G1,Tomasz Piskorski,Columbia University,Marzena Rostek,University of Wisconsin-Madison,William Fuchs,University of California-Berkeley,Emiliano Pagnotta,Imperial College London,Brett Green,University of California-Berkeley,,,DARRELL DUFFIE,Male,,,,,,NA,NA,NA,NA,NA
David Aikman,UK Monetary and Credit Policy around the Radcliffe Report,Bank of England,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 24",Cliometric Society,Money and Banking: Local and Global,N2,Claude Diebolt,University of Strasbourg,Vincent Bignon,Banque of France,Eric Monnet,Bank of France,Sumner La Croix,University of Hawaii,Gary Richardson,University of California-Irvine,,,David Aikman,Male,,,,,,NA,NA,NA,NA,NA
David Aikman,Mapping Heat in the U.S. Financial System,Bank of England,Jan 05 2016,10:15 AM,"Marriott Marquis, Sierra J","International Banking, Economics and Finance Association","Measuring and Managing Financial Stability (G2, E5)",,John Krainer,Federal Reserve Bank of San Francisco,Roland Meeks,Bank of England,Andreas Lehnert,Federal Reserve Board,Lawrence Schmidt,University of Chicago,Scott Brave,Federal Reserve Bank of Chicago,,,David Aikman,Male,,,,,,NA,NA,NA,NA,NA
David Albouy,The Distribution of Urban Land Values: Evidence from Market Transactions,University of Illinois,Jan 04 2016,8:00 AM,"Parc 55, Mission I",American Real Estate & Urban Economic Association,"Land Values and Housing Production (R3, R1)",,Morris Davis,Rutgers University,Stephen Oliner,American Enterprise Institute,Anna Scherbina,University of California-Davis,William D. Larson,Federal Housing Finance Agency,Gabriel Ehrlich,Congressional Budget Office,,,DAVID ALBOUY,Male,,,,,,NA,NA,NA,NA,NA
David Atkin,Exporting and Firm Performance: Evidence from a Randomized Trial,Massachusetts Institute of Technology,Jan 05 2016,1:00 PM,"Hilton Union Square, Continental – Parlor 2",American Economic Association,"Globalization, Organization, and Management: Empirical Evidence from Micro Level Data (F2, F6)",,Laura Alfaro,Harvard Business School,Raffaella Sadun,Harvard Business School,David Atkin,Massachusetts Institute of Technology,Claudia Steinwender,Harvard Business School,David Donaldson,Stanford University,,,David Atkin,Male,,,,,,NA,NA,NA,NA,NA
David Atkin,"Volatility, Insurance and the Gains from Trade",UCLA,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 14",Econometric Society,Internal Trade and Economic Integration,A1,Stephen J. Redding,Princeton University,,,,,,,,,,,David Atkin,Male,,,,,,NA,NA,NA,NA,NA
David Autor,"The Labor Market and the Marriage Market: How Adverse Employment Shocks Affect Marriage, Fertility, and Children's Living Circumstances",Massachusetts Institute of Technology,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 19",Econometric Society,Inequality and Education,A1,David Autor,Massachusetts Institute of Technology,,,,,,,,,,,DAVID AUTOR,Male,,,,,,NA,NA,NA,NA,NA
David Autor,Family Disadvantage and the Gender Gap in Behavioral and Educational Outcomes,Massachusetts Institute of Technology,Jan 03 2016,10:15 AM,"Hilton Union Square, Imperial A",American Economic Association,"Gender Gaps in Childhood: Skills, Behavior, and Labor Market Preparedness",I2,David Autor,Massachusetts Institute of Technology,David Figlio,Northwestern University,Melissa S. Kearney,University of Maryland,Abigail Payne,McMaster University,,,,,DAVID AUTOR,Male,,,,,,NA,NA,NA,NA,NA
David Autor,Leveling Up: Early Results from a Randomized Evaluation of Post-Secondary Aid,Massachusetts Institute of Technology,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 19",Econometric Society,Inequality and Education,A1,David Autor,Massachusetts Institute of Technology,,,,,,,,,,,DAVID AUTOR,Male,,,,,,NA,NA,NA,NA,NA
