,author,year,gender
62,Pierre-Guillaume Méon,2011,M
298,Pingfan Hong,2015,M
339,Prakarsh Singh,2015,M
197,Pushkar Maitra,2013,M
82,Qianqian Du,2011,F
498,Qianqian Yu,2019,F
90,Qingqing Chang,2012,F
175,Qingyuan Du,2013,M
478,Qingyun Wu,2018,M
384,Quamrul H. Ashraf,2016,M
400,Quanlin Gu,2016,M
52,Qun Bao,2011,M
333,Qun Zhang,2015,F
391,R. Kelley Pace,2016,M
261,R.J. Briggs,2014,M
315,R.V. Bhavani,2015,F
438,Radhakrishnan Gopalan,2018,M
31,Rafat Fazeli,2011,F
373,Ragan Petrie,2016,F
39,Raghuram G. Rajan,2011,M
389,Raimond Maurer,2016,M
40,Rajashri Chakrabarti,2011,F
185,Ranadeb Chaudhuri,2013,M
218,Rangarajan K. Sundaram,2014,M
514,Ranoua Bouchouicha,2019,F
118,Raul Caruso,2012,M
195,Raul Caruso,2013,M
542,René Bekkers,2019,M
409,Reshad N. Ahsan,2016,M
522,Ririn Purnamasari,2019,F
296,Risikat Oladoyin S. Dauda,2015,F
191,Risto Herrala,2013,M
539,Robel Alemu,2019,M
385,Rodney Stevenson,2016,M
69,Rosmy J. Louis,2011,M
232,Rozina Haque,2014,
227,Rudiger Bachman,2014,M
8,Rudiger von Arnim,2011,M
2,Ruiqing Miao,2011,M
535,Ruiqing Miao,2019,M
377,Rukmini Banerji,2016,F
183,Rulof Burger,2013,M
140,Sadao Nagaoka,2012,M
372,Sainan Jin,2016,F
208,Sanjai Bhagat,2013,M
33,Sanjukta Chaudhuri,2011,F
132,Sanjukta Chaudhuri,2012,F
546,Sanni Breining,2019,F
506,Santanu Chatterjee,2019,M
395,Saptarshi Mukherjee,2016,M
379,Sarianna M Lundan,2016,F
125,Sarmistha Pal,2012,F
89,Seow Eng Ong,2012,M
392,Seow Eng Ong,2016,M
239,Seung-Gyu (Andrew) Sim,2014,M
119,Seung-Hyun Hong,2012,M
177,Shahe Emran,2013,M
508,Shandre Thangavelu,2019,M
20,Shangjin Wei,2011,M
343,Sheen S. Levine,2015,M
381,Shenghao Zhu,2016,M
322,Shian-Yu Liao,2015,M
190,Shihe Fu,2013,M
463,Shihe Fu,2018,M
548,Shihe Fu,2019,M
162,Shin-O Hiraki,2013,
255,Shinichi Kamiya,2014,M
206,Shisong Qing,2013,M
128,Shrabani Saha,2012,F
303,Shuichiro Nishioka,2015,M
341,Shunsuke Managi,2015,M
138,Simon Firestone,2012,M
212,Simon Halphen Boserup,2014,M
445,Simon Hollands,2018,M
9,Simon Ville,2011,M
416,So-Yeon Lim,2018,F
116,Sokbae Lee,2012,M
435,Somnath Das,2018,M
423,Songqing Jin,2018,M
274,Soohyung Lee,2014,F
430,Sriya L. Anbil,2018,F
374,Stephan Kranner,2016,M
137,Stephan Lauermann,2012,M
312,Stephan Lauermann,2015,M
455,Stephan Lauermann,2018,M
135,Sturla Lyngnes Fjesme,2012,M
321,Sudipta Sarangi,2015,M
122,Sugato Bhattacharyya,2012,M
297,Sunčica Vujić,2015,F
393,Sunčica Vujić,2016,F
213,Sunjin Kim,2014,M
440,Suryadipta Roy,2018,M
14,Sushanta Mallick,2011,M
127,Sushanta Mallick,2012,M
316,Suting Hong,2015,F
512,Syon Bhanot,2019,M
18,Tack Yun,2011,M
67,Taeyoung Doh,2011,M
111,Takatoshi Ito,2012,M
271,Tanju Yorulmazer,2014,M
61,Tanmoy Mukherjee,2011,M
12,Tansel Yilmazer,2011,F
112,Tareque Nasser,2012,M
309,Tarjei Havnes,2015,M
531,Tendai Zawaira,2019,
536,Tengyuan Liang,2019,M
3,Tewodaj Mogues,2011,F
436,Théophile Azomahou,2018,M
103,Thouraya H. Amor,2012,
85,Toke Fosgaard,2012,M
447,Tomaz Cajner,2018,M
270,Tomoé Bourdier,2014,F
358,Trivellore Raghunathan,2016,M
523,Tsur Somerville,2019,M
242,Tsutomu Watanabe,2014,M
257,Tunay Oguz,2014,F
310,Tuomas Pekkarinen,2015,M
286,Ugur Lel,2015,M
250,University of Kansas,2014,
263,University of Memphis,2014,
53,University of Wisconsin,2011,
462,V. Brian Viard,2018,M
32,Vai-Lam Mui,2011,M
106,Vallapuzha Sandhya,2012,F
151,Veronica Santarosa,2013,F
278,Vesile Kutlu-Koc,2014,F
284,Victor Aguirregabiria,2015,M
258,Victor Matheson,2014,M
477,Victor Ronda,2018,M
215,Viplav Saini,2014,M
441,Vis Taraz,2018,F
44,W. Bentley Macleod,2011,M
230,W.C.M. van Veen,2014,M
29,Wanchuan Lin,2011,F
105,Wassim Daher,2012,M
207,Weining Wang,2013,F
104,Wenhua Di,2012,F
169,Wenyu Wang,2013,M
404,Wifag Adnan,2016,F
431,Woan Foong Wong,2018,F
5,Wolfram Elsner,2011,M
147,Xianghong (Shirley) Wang,2012,F
513,Xiangting Hu,2019,
468,Xianjue Wang,2018,M
471,Xiaohui Gao Bakshi,2018,F
417,Xiaoxia Lou,2018,F
171,Xiaoxia Shi,2013,F
267,Xiaoxia Shi,2014,F
164,Xiaoxin Zhang,2013,M
97,Xiaoyi Mu,2012,M
360,Xingfei Liu,2016,M
362,Xintong Zhan,2016,F
552,Xinyan Yan,2019,F
561,Xueying Lu,2019,F
485,Xuguang Sheng,2018,M
355,Xunzhou Ma,2016,
444,Yanghao Wang,2018,M
15,Yanmin Qian,2011,M
114,Yaohui Zhao,2012,F
527,Yasuke Kuroishi,2019,M
449,Yatang Lin,2018,F
279,Yeejin Jang,2014,F
424,Yichen Christy Zhou,2018,F
80,Yifu Lin,2011,M
332,Yildiray Yildirim,2015,M
179,Yin-Chi Wang,2013,
290,Yin-Wong Cheung,2015,M
251,Yingdi Wang,2014,F
50,Yingmei Cheng,2011,F
276,Yingmei Cheng,2014,F
456,Yingni Guo,2018,F
66,Yingyao Hu,2011,M
130,Yiting NA Li,2012,F
43,Yongheng Deng,2011,M
371,Yongheng Deng,2016,M
507,Yongheng Deng,2019,M
346,Yonghong An,2015,M
294,Yongzheng Liu,2015,M
236,Yothin Jinjarak,2014,M
120,Yoto Yotov,2012,M
245,Youchang Wu,2014,M
530,Youchang Wu,2019,M
318,Yougou Zhang,2015,M
60,Young-Joo Kim,2011,
93,Youngki Shin,2012,M
301,Youqing Fan,2015,M
189,Yu-Chieh Hsu,2013,
129,Yu-Chin Chen,2012,F
143,Yu-Chu Shen,2012,F
142,Yu-min Yen,2012,M
156,Yu-Wei Hsieh,2013,M
56,Yujie Cai,2011,M
262,Yulai Wan,2014,F
491,Yushi Peng,2019,F
534,Yuxin Su,2019,M
420,Yyannú Cruz-Aguayo,2018,F
398,Zelealem Yiheyis,2016,M
560,Zhaoran Gong,2019,
550,Zhengyu Cai,2019,M
489,Zhentong Lu,2018,M
450,Zhenyu Gao,2018,M
221,Zhenyu Lai,2014,M
349,Zhenyu Wang,2016,M
461,Zhenyu Wang,2018,M
247,Zhenzhen Sun,2014,F
210,Zhichuan Li,2013,M
497,Zhihong Chen,2019,F
282,Zhihong Yu,2015,M
126,Zhimin Li,2012,M
319,Zhongzhi Song,2015,M
150,Zinovyeva Natalia,2013,F
131,Zulal Denaux,2012,F
