"","author","year"
"353","Clas Wihlborg","2016"
"354","Malokele Nanivazo","2016"
"355","Xunzhou Ma","2016"
"356","Fengwei Sun","2016"
"357","Minjoon Lee","2016"
"358","Trivellore Raghunathan","2016"
"359","Mehtap Akgüҫ","2016"
"360","Xingfei Liu","2016"
"361","Imke Reimers","2016"
"362","Xintong Zhan","2016"
"363","María Bernedo","2016"
"364","Pei-Ju Liao","2016"
"365","Nirvikar Singh","2016"
"366","Manwo Ng","2016"
"367","Kristien Behrens","2016"
"368","Ghazel Zulfiqar","2016"
"369","Dileep K. Birur","2016"
"370","Ekkehart Boehmer","2016"
"371","Yongheng Deng","2016"
"372","Sainan Jin","2016"
"373","Ragan Petrie","2016"
"374","Stephan Kranner","2016"
"375","D. Andrew Austin","2016"
"376","Nanneh Chehras","2016"
"377","Rukmini Banerji","2016"
"378","Lingxiao Zhao","2016"
"379","Sarianna M Lundan","2016"
"380","Jijun Tan","2016"
"381","Shenghao Zhu","2016"
"382","Harjoat Bhamra","2016"
"383","D. Wade Hands","2016"
"384","Quamrul H. Ashraf","2016"
"385","Rodney Stevenson","2016"
"386","Efthymios Pavlidis","2016"
"387","Miguel Gómez","2016"
"388","Jussi Keppo","2016"
"389","Raimond Maurer","2016"
"390","Janne Tukiainen","2016"
"391","R. Kelley Pace","2016"
"392","Seow Eng Ong","2016"
"393","Sunčica Vujić","2016"
"394","Çaglar Özden","2016"
"395","Saptarshi Mukherjee","2016"
"396","Luise Görges","2016"
"397","Chamna Yoon","2016"
"398","Zelealem Yiheyis","2016"
"399","Louis-Philippe Rochon","2016"
"400","Quanlin Gu","2016"
"401","Ambrus Kecskes","2016"
"402","Badi Baltagi","2016"
"403","Iikka Korhonen","2016"
"404","Wifag Adnan","2016"
"405","Carsten A. Holz","2016"
"406","Jinhyuk Yoo","2016"
"407","Hung-Kun Chen","2016"
"408","A Gallant","2016"
"409","Reshad N. Ahsan","2016"
"410","Junsen Zhang","2016"
"411","Aubhik Khan","2016"
"412","Jose Carrasco-gallego","2016"
"413","Junmin Liao","2016"
"414","I. J. Alexander Dyck","2016"
"415","Jinfei Sheng","2018"
"416","So-Yeon Lim","2018"
"417","Xiaoxia Lou","2018"
