author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,
Luigi Paciello,"Monetary Policy, Doubts and Asset Prices",Einaudi Institute for Economics and Finance,Jan 08 2012,8:00 AM,"Hyatt Regency, Columbus G",American Economic Association,Implications of Nonstandard Models of Decision Making (E),,Lars Peter Hansen,University of Chicago,,,,,,,,,,,Luigi Paciello,Male,,,,,,NA,NA,NA,NA,NA,
Luigi Zingales,Inefficient Provision of Inside Money,University of Chicago,Jan 07 2012,2:30 PM,"Hyatt Regency, Field",Econometric Society,Liquidity and Financial Crises,G0,Veronica Guerrieri,University of Chicago,,,,,,,,,,,LUIGI ZINGALES,Male,,,,,,NA,NA,NA,NA,NA,
Luigi Zingales,Economists' Capture,University of Chicago,Jan 06 2012,2:30 PM,"Hyatt Regency, Grand Ballroom CD North",American Economic Association,The Political Economy of Macroeconomic Crisis Response,E6,Steven Davis,University of Chicago,,,,,,,,,,,LUIGI ZINGALES,Male,,,,,,NA,NA,NA,NA,NA,
Luis Cabral,The Determinants of Geographic Concentration of Industry: A Quantitative Analysis,New York University and IESE Business School,Jan 08 2012,1:00 PM,"Hyatt Regency, Columbus G",American Economic Association,Institutions and Geography (Y),,Joachim Voth,Universitat Pompeu Fabra,,,,,,,,,,,LUIS CABRAL,Male,,,,,,NA,NA,NA,NA,NA,
Luis M. Viceira,An Empirical Decomposition of Risk and Liquidity in Nominal and Inflation-Indexed Government Bonds,Harvard Business School,Jan 08 2012,10:15 AM,"Hyatt Regency, Buckingham",Econometric Society,Bonds and CDS Markets,G1,Pierre Collin-Dufresne,Columbia University,Michael Fleming,Federal Reserve Bank of New York,Rene Stulz,Ohio State University,Torben Andersen,Northwestern University,,,,,Luis M. Viceira,Male,LUIS VICEIRA,,,,,NA,NA,NA,NA,NA,
Lukas Schmid,A Quantitative Dynamic Agency Model of Financing Constraints,Duke University,Jan 07 2012,2:30 PM,"Hyatt Regency, Gold Coast",American Economic Association,Macroeconomics and Corporate Finance,G3,Roc Armenter,Federal Reserve Bank of Philadelphia,Lars-Alexander Kuehn,Carnegie Mellon University,Vincenzo Quadrini,University of Southern California,Toni Whited,University of Rochester,François Gourio,Boston University,,,Lukas Schmid,Male,NBER Lukas Schmid,,,,,NA,NA,NA,NA,NA,
Lukas Schmid,"Innovation, Growth, and Asset Pricing",Duke University,Jan 08 2012,10:15 AM,"Swissotel, Zurich C",American Finance Association,Macro Finance,G1,Amir Yaron,University of Pennsylvania,Stavros Panageas,University of Chicago,Stijn Van Nieuwerburgh,New York University,Lars Lochstoer,Columbia University,Hanno Lustig,University of California-Los Angeles,,,Lukas Schmid,Male,NBER Lukas Schmid,,,,,NA,NA,NA,NA,NA,
Luminita Stevens,Price Adjustment in a Model with Multiple-Price Policies,Columbia University,Jan 08 2012,1:00 PM,"Hyatt Regency, Water Tower",American Economic Association,Inattentiveness in Pricing Models and Beyond,D8,Christian Hellwig,Toulouse School of Economics,Mirko Wiederholt,Northwestern University,Filip Matejka,CERGE-EI,Alisdair McKay,Boston University,Jakub Steiner,Northwestern University and CERGE-EI,,,Luminita Stevens,Female,,,,,,NA,NA,NA,NA,NA,
Lutz Kilian,Do Energy Prices Respond to U.S. Macroeconomic News? A Test of the Hypothesis of Predetermined Energy Prices,University of Michigan,Jan 07 2012,2:30 PM,"Hyatt Regency, Columbus CD",American Economic Association,"Macroeconomic Surprises, Measurement and Spill-overs",E4,Alan Blinder,Princeton University,Eli Remolona,Bank of International Settlements,Jonathan Kearns,Reserve Bank of Australia,Dean Scrimgeour,Colgate University,,,,,LUTZ KILIAN,Male,,,,,,NA,NA,NA,NA,NA,
Lutz Kilian,The Role of Inventories and Speculative Trading in the Global Market for Crude Oil,University of Michigan,Jan 08 2012,8:00 AM,"Hyatt Regency, McCormick",Econometric Society,"Trade, FDI and Recessions",F3,Peter Schott,Yale University,,,,,,,,,,,LUTZ KILIAN,Male,,,,,,NA,NA,NA,NA,NA,
M. Deniz Yavuz,Investor Networks in the Stock Market,Purdue University,Jan 08 2012,10:15 AM,"Swissotel, Zurich B",American Finance Association,Portfolio Choice,G1,Nicolae Garleanu,University of California-Berkeley,Christopher Malloy,Harvard Business School,Tobias Moskowitz,University of Chicago,Joel Hasbrouck,New York University,,,,,M. Deniz Yavuz,Male,,,,,,NA,NA,NA,NA,NA,
Magnus Lofstrom,Temporary Immigrant Worker Programs in the U.S,Public Policy Institute of California,Jan 07 2012,10:15 AM,"Hyatt Regency, Wright",American Society of Hispanic Economists,"Topics in Immigration, Employment, and Health",J3,Ronald Oaxaca,University of Arizona,Marie Mora,University of Texas-Pan American,Alberto Davila,University of Texas-Pan American,David J Molina,University of North Texas,Andres Vargas,Texas Tech University,,,MAGNUS LOFSTROM,Male,,,,,,NA,NA,NA,NA,NA,
Magnus Lofstrom,Employment Effects of Arizona’s 2007 Legislation Against the Hiring of Unauthorized Immigrants,Public Policy Institute of California,Jan 06 2012,2:30 PM,"Hyatt Regency, Grand Ballroom B",American Economic Association,Employment Effects of Arizona’s 2007 Legislation Against the Hiring of Unauthorized Immigrants,F2,Steven Raphael,University of California-Berkeley,Fernando Lozano,Pomona College,Pia Orrenius,Federal Reserve Bank of Dallas,Todd Sorenson,University of California-Riverside,Madeline Zavodny,Agnes Scott College,,,MAGNUS LOFSTROM,Male,,,,,,NA,NA,NA,NA,NA,
Maisy Wong,Improving Educational Quality through Enhancing Community Participation: Results from a Randomized Field Experiment in Indonesia”,University of Pennsylvania,Jan 08 2012,8:00 AM,"Hyatt Regency, Columbus H",American Economic Association,Including Communities in the Development Process,O1,Rema Hanna,Harvard University,Chris Blattman,Yale University,Sandip Sukhtankar,Dartmouth College,Martina Bjorkman-Nyqvist,Universita Bocconi,Rema Hanna,Harvard University,,,Maisy Wong,Female,,,,,,NA,NA,NA,NA,NA,
Makoto Nakajima,A Quantitative Analysis of Unemployment Benefit Extensions,Federal Reserve Bank of Philadelphia,Jan 07 2012,8:00 AM,"Hyatt Regency, Gold Coast",American Economic Association,Macroeconomic Effects of Households Heterogeneity,E2,Marco Cozzi,Queen's University,Josep Pijoan Mas,CEMFI,Marco Cozzi,Queen's University,Makoto Nakajima,Federal Reserve Bank of Philadelphia,Eric French,Federal Reserve Bank of Chicago,,,MAKOTO NAKAJIMA,Male,,,,,,NA,NA,NA,NA,NA,
Malcolm Baker,Dividends as Reference Points: A Behavioral Signaling Model,Harvard University,Jan 07 2012,2:30 PM,"Hyatt Regency, Wrigley",Association of Financial Economists,Anchoring and Reference Points,G1,Jeffrey Wurgler,New York University,Stefan Nagel,Stanford University,Roni Michaely,Cornell University,Markku Kaustia,Aalto University School of Economics,,,,,MALCOLM BAKER,Male,,,,,,NA,NA,NA,NA,NA,
Manuel Adelino,Credit Supply and House Prices: Evidence from Mortgage Market Segmentation,Dartmouth College,Jan 08 2012,10:15 AM,"Hyatt Regency, Regency A",American Economic Association,Household Finance and the Macro Economy,G1,Antoinette Schoar,Massachusetts Institute of Technology,Ivan Werning,Massachusetts Institute of Technology,Nicholas Souleles,University of Pennsylvania,Annette Vissing Jorgensen,Northwestern University,,,,,MANUEL ADELINO,Male,,,,,,NA,NA,NA,NA,NA,
Manuel Amador,Tariff Revenue and Tariff Caps,Stanford University,Jan 06 2012,10:15 AM,"Hyatt Regency, Regency D",American Economic Association,New Directions in Trade Policy,F1,Chad Bown,World Bank,Santanu Roy,Southern Methodist University,Arnaud Costinot,Massachusetts Institute of Technology,Michele Ruta,World Trade Organization,,,,,MANUEL AMADOR,Male,9.00 AMMANUEL AMADOR,,,,,NA,NA,NA,NA,NA,
Manuel Amador,The Theory Of Optimal Delegation With An Application To Tariﬀ Caps,Stanford University,Jan 08 2012,10:15 AM,"Hyatt Regency, Regency C",American Economic Association,International Trade Agreements,F1,Mostafa Beshkar,University of New Hampshire,Meredith Crowly,Federal Reserve Bank of Chicago,Jee-Hyeong Park,Seoul National University,Taiji Furusawa,Hitotsubashi University,Mostafa Beshkar,University of New Hampshire,,,MANUEL AMADOR,Male,9.00 AMMANUEL AMADOR,,,,,NA,NA,NA,NA,NA,
Manuel Bagues,Does Gender Matter for Academic Promotion? Evidence from a Randomized Natural Experiment,Carlos III University,Jan 07 2012,8:00 AM,"Hyatt Regency, Regency B",American Economic Association,Exploiting Experiments and Quasi-Experiments to Identify Gender Related Outcomes,Y9,Tracy Regan,University of Arizona,Catalina Almuedo-Dorantes,San Diego State University,Martha Bailey,University of Michigan,Todd Sorensen,University of California-Riverside,Dina Shatnawi,U.S. Naval Postgraduate School,,,Manuel Bagues,Male,,,,,,NA,NA,NA,NA,NA,
Manuela Angelucci,Insurance and Investment within Family Networks,University of Michigan,Jan 08 2012,10:15 AM,"Hyatt Regency, Acapulco",American Economic Association,Family and Finance,D1,Pierre-André Chiappori,Columbia University,,,,,,,,,,,MANUELA ANGELUCCI,Female,,,,,,NA,NA,NA,NA,NA,
Mar Reguant,The Welfare Effects of Complementary Bidding Mechanisms: An Empirical Analysis of the Spanish Wholesale Electricity Market,Stanford University,Jan 06 2012,12:30 PM,"Swissotel, Vevey 2",Industrial Organization Society,IOS Young Researchers Session,L1,Daniel Ackerberg,University of Michigan,Matthew S. Lewis,Ohio State University,Mark R. Jacobsen,University of California-San Diego,Kei Kawai,University of Pennsylvania,Shaun McRae,University of Michigan,,,Mar Reguant,Female,,,,,,NA,NA,NA,NA,NA,
Marcel Fratzscher,130 Years of Fiscal Vulnerabilities and Currency Crashes in Advanced Economies,European Central Bank,Jan 07 2012,8:00 AM,"Hyatt Regency, Grand Suite 5",American Economic Association,Insights from Financial History,N2,Michael Bordo,Rutgers,,,,,,,,,,,MARCEL FRATZSCHER,Male,,,,,,NA,NA,NA,NA,NA,
Marcel Fratzscher,Quantitative Easing and Capital Flows,European Central Bank,Jan 06 2012,10:15 AM,"Hyatt Regency, Grand Suite 3",American Economic Association,"International Capital Allocation, Portfolio Choice and Capital Flows",F3,Marcel Fratzscher,European Central Bank,Gian Maria Milesi-Ferretti,International Monetary Fund,Philipp Schnabl,New York University,Galina Hale,Federal Reserve Bank of San Francisco,Marianne Baxter,Boston University,,,MARCEL FRATZSCHER,Male,,,,,,NA,NA,NA,NA,NA,
Marcel Fratzscher,"Asset Prices, News Shocks and the Current Account",European Central Bank,Jan 07 2012,2:30 PM,"Hyatt Regency, Grand Suite 5",American Economic Association,News,E3,Jae Won Lee,Rutgers University,,,,,,,,,,,MARCEL FRATZSCHER,Male,,,,,,NA,NA,NA,NA,NA,
Marcel Fratzscher,"Capital Flows, Push versus Pull Factors and the Global Financial Crisis",European Central Bank,Jan 06 2012,2:30 PM,"Hyatt Regency, Water Tower",American Economic Association,The Global Financial Crisis: Contagion and Cross-Country Linkages,F3,Kristin J. Forbes,Massachusetts Institute of Technology,,,,,,,,,,,MARCEL FRATZSCHER,Male,,,,,,NA,NA,NA,NA,NA,
Marcela Eslava,The Costs of Worker Displacement under Trade Liberalization in Colombia,Universidad de los Andes,Jan 08 2012,1:00 PM,"Hyatt Regency, Gold Coast",American Economic Association,Labor Market Impacts of Trade,F1,Adriana Kugler,Georgetown University,Petia Topalova,International Monetary Fund,Daniel Lederman,World Bank,Sebastian Galiani,Washington University in St. Louis,Nicholas Sly,University of Oregon,,,MARCELA ESLAVA,Female,,,,,,NA,NA,NA,NA,NA,
Marcela Eslava,Scarring Recessions and Credit Constraints: Evidence from Colombian Firm Dynamics,Universidad de Los Andes,Jan 08 2012,10:15 AM,"Swissotel, Vevey 2",Association for Comparative Economic Studies/American Economic Association,"Institutions, Crises, and Creative Destruction",O1,John Haltiwanger,University of Maryland and NBER,Jonathan Haskel,Imperial College London,John J. Stevens,Federal Reserve Board,Francis Kramarz,CREST,Eric J. Bartelsman,Free University of Amsterdam,,,MARCELA ESLAVA,Female,,,,,,NA,NA,NA,NA,NA,
Marcelo Medeiros,Estimating Strategic Complementarity in a State-Dependent Pricing Model,Pontifical Catholic University of Rio de Janeiro,Jan 08 2012,1:00 PM,"Hyatt Regency, Columbus H",American Economic Association,Price-Setting and Macroeconomic Adjustment,E6,Klaus Adam,University of Mannheim,,,,,,,,,,,Marcelo Medeiros,Male,,,,,,NA,NA,NA,NA,NA,
Marco Bonomo,Estimating Strategic Complementarity in a State-Dependent Pricing Model,Getulio Vargas Foundation,Jan 08 2012,1:00 PM,"Hyatt Regency, Columbus H",American Economic Association,Price-Setting and Macroeconomic Adjustment,E6,Klaus Adam,University of Mannheim,,,,,,,,,,,MARCO BONOMO,Male,,,,,,NA,NA,NA,NA,NA,
Marco Del Negro,Incorporating External Information into DSGE Model Forecasts,Federal Reserve Bank of New York,Jan 08 2012,1:00 PM,"Hyatt Regency, Columbus IJ",American Economic Association,DSGE Model Forecasts,E3,Mark Watson,Princeton University,Marco Del Negro,Federal Reserve Bank of New York,Mark Watson,Princeton University,Keith Sill,Federal Reserve Bank of Philadelphia,Jonathan H. Wright,Johns Hopkins University,,,MARCO DEL NEGRO,Male,,,,,,NA,NA,NA,NA,NA,
Marco Pagano,Seeking Alpha: Excess Risk Taking and Competition for Managerial Talent,University of Naples Federico II,Jan 06 2012,8:00 AM,"Swissotel, Zurich C",American Finance Association,Corporate Finance Theory,G3,Andres Almazan,University of Texas at Austin,Adolfo De Motta,McGill University,Aydogan Alti,University of Texas-Austin,Denis Gromb,INSEAD,,,,,MARCO PAGANO,Male,,,,,,NA,NA,NA,NA,NA,
Marco Pagano,"Accounting Transparency, Tax Pressure and Access to Finance",University of Naples Federico II,Jan 07 2012,2:30 PM,"Swissotel, Zurich F",American Finance Association,Information Release By Firms and Its Implications,G3,Joel Peress,INSEAD,I.J. Dyck,University of Toronto,Michael Verardo,London School of Economics & Political Science,Ronnie Sadka,Boston College,Joseph Engelberg,University of California-San Diego,,,MARCO PAGANO,Male,,,,,,NA,NA,NA,NA,NA,
Marcus Opp,Optimal Rating Contingent Regulation,University of California-Berkeley,Jan 06 2012,2:30 PM,"Hyatt Regency, Columbus CD",American Economic Association,Credit Rating Agencies: Incentives and Regulation,G2,Laura Veldkamp,New York University,Jonathan Parker,Northwestern University,Patrick Bolton,Columbia University,Zhiguo He,University of Chicago,Samuel Lee,New York University,,,Marcus Opp,Male,,,,,,NA,NA,NA,NA,NA,
Mariacristina De Nardi,Medicaid Insurance in Old Age,Federal Reserve Bank of Chicago,Jan 07 2012,2:30 PM,"Hyatt Regency, Grand Ballroom B",American Economic Association,The Dynamics of Health and Wealth among the Elderly,I1,James Poterba,Massachusetts Institute of Technology and NBER,Amy N. Finkelstein,Massachusetts Institute of Technology,Courtney C. Coile,Wellesley College,Serdar Ozcan,Federal Reserve Board,John Sabelhaus,Federal Reserve Board and University of Maryland,,,MARIACRISTINA DE NARDI,Female,,,,,,NA,NA,NA,NA,NA,
Marianne Bitler,Sex Ratios and Family Formation: The Role of the Vietnam Draft,University of California-Irvine,Jan 06 2012,10:15 AM,"Hyatt Regency, Columbus KL",American Economic Association,"Maternity Leave, Family Formation and Caregiving",Y9,Terra McKinnish,University of Colorado-Boulder,Christine Piette Durrance,University of North Carolina,Shoshana Grossbard,San Diego State University,Andrea Beller,University of Illinois-Urbana-Champaign,Daniel Rees,University of Colorado-Denver,,,MARIANNE BITLER,Female,,,,,,NA,NA,NA,NA,NA,
Marianne Page,"The Best of Times, the Worst of Times: Understanding Pro-cyclical Mortality",University of California-Davis,Jan 06 2012,2:30 PM,"Hyatt Regency, Skyway 260",Health Economics Research Organization,The Effect of Economic Crises on Health and Health Care,I1,Katherine Swartz,Harvard University,Craig Garthwaite,Northwestern University,,,,,,,,,MARIANNE PAGE,Female,,,,,,NA,NA,NA,NA,NA,
Mariassunta Giannetti,"Flight Home, Flight Abroad, and International Credit Cycles",Stockholm School of Economics,Jan 08 2012,10:15 AM,"Hyatt Regency, Gold Coast",American Economic Association,The International Transmission of Financial Shocks: Bank-Level Evidence from the 2007-2009 Crisis,F3,Erik Berglöf,European Bank for Reconstruction and Development (EBRD),Jeromin Zettelmeyer,European Bank for Reconstruction and Development,Nicola Cetorelli,Federal Reserve Bank of New York,Neeltje Van Horen,De Nederlandsche Bank,Mariassunta Giannetti,Stockholm School of Economics,,,MARIASSUNTA GIANNETTI,Female,,,,,,NA,NA,NA,NA,NA,
Marieke Bos,"Choosing the Right Bank; Distance, Consumer Behavior and Pawn Lending",Stockholm University,Jan 06 2012,2:30 PM,"Hyatt Regency, Hong Kong",American Economic Association,Alternative Credit and Consumer Rationality,G2,Marianne Bertrand,Chicago Booth School of Business,Stefano DellaVigna,University of California-Berkeley,Mark Jenkins,University of Pennsylvania,Annamaria Lusardi,Dartmouth College,Anna Paulson,Federal Reserve Bank of Chicago,,,Marieke Bos,Female,,,,,,NA,NA,NA,NA,NA,
Marina Agranov,Ignorance is bliss: an experimental study of the use of ambiguity and vagueness in the coordination games with asymmetric payoffs,Caltech,Jan 08 2012,8:00 AM,"Hyatt Regency, Buckingham",American Economic Association,Communication in Experiments,C9,Dietmar Fehr,WZB Berlin,Julian Jamison,Federal Reserve Bank of Boston,John Duffy,University of Pittsburgh,David Huffman,Swarthmore College,Svetlana Pevnitskaya,Florida State University,,,Marina Agranov,Female,,,,,,NA,NA,NA,NA,NA,
Mario Macis,Field Experiments in Global Health: Motivating Voluntary Blood Donations in Argentina,Johns Hopkins University,Jan 06 2012,10:15 AM,"Hyatt Regency, Columbus EF",American Economic Association,Field Experiments in Health Economics,I1,Jim Rebitzer,Boston University,Joseph Price,Brigham Young University,Margaret McConnell,Harvard University,Jessica Goldberg,University of Maryland,Iwan Barankay,University of Pennsylvania,,,Mario Macis,Male,,,,,,NA,NA,NA,NA,NA,
Mark Duggan,Will Risk Adjustment Decrease Health Care Costs? New Evidence from the Medicare Advantage Program,University of Maryland and NBER,Jan 07 2012,2:30 PM,"Hyatt Regency, Regency D",American Economic Association,What Determines the Performance of US and International Healthcare?,I1,John Van Reenen,London School of Economics and Centre for Economic Performance and CEPR,,,,,,,,,,,MARK DUGGAN,Male,,,,,,NA,NA,NA,NA,NA,
Mark J. Kutzbach,Job Displacement and the Duration of Joblessness: The Role of Spatial Mismatch,U.S. Census Bureau,Jan 06 2012,10:15 AM,"Hyatt Regency, Skyway 272",Society of Government Economists,New Analytical Methods Applied to Fundamental Economic Questions,A1,Steven Payson,Bureau of Economic Analysis,Rachel Soloveichik,Bureau of Economic Analysis,Rebecca Chenevert,U.S. Census Bureau,Wendy Li,Bureau of Economic Analysis,,,,,Mark J. Kutzbach,Male,,,,,,NA,NA,NA,NA,NA,
Mark Rosenzweig,Human Capital Investment and the Gender Division of Labor in a Brawn-Based Economy,Yale University,Jan 07 2012,2:30 PM,"Hyatt Regency, Hong Kong",Association for Economic & Development Studies in Bangladesh,"Human Capital, Firm’s Hiring Policy, and Gender Issues in a Developing Economy",O1,Mahmudul Anam,York University,Tanjim Hossain,University of Toronto,Karna Basu,"Hunter College, CUNY",Yasuyuki Sawada,University of Tokyo,Rajeev Dehejia,Tufts University,,,MARK ROSENZWEIG,Male,,,,,,NA,NA,NA,NA,NA,
Mark Rosenzweig,"Arsenic Contamination, Nutrition and Economic Growth in Bangladesh",Yale University,Jan 08 2012,10:15 AM,"Hyatt Regency, Dusable",Econometric Society,Environment and Development,O4,Seema Jayachandran,Northwestern University,Sriniketh Nagavarapu,Brown University,Pascaline Dupas,University of California-Los Angeles,Paulina Oliva,University of California-Santa Barbara,,,,,MARK ROSENZWEIG,Male,,,,,,NA,NA,NA,NA,NA,
Mark Satterthwaite,Merger Policy in a Dynamic Industry Model,Northwestern University,Jan 07 2012,10:15 AM,"Hyatt Regency, Columbus EF",American Economic Association,Merger Analysis and Policy,L4,Allan Collard-Wexler,New York University,Timothy F. Bresnahan,Stanford University,Ariel Pakes,Harvard University,Matthew Gentzkow,University of Chicago,Liran Einav,Stanford University,,,MARK SATTERTHWAITE,Male,,,,,,NA,NA,NA,NA,NA,
Markus K. Brunnermeier,Banks Non-Interest Income and Systemic Risk,Princeton University,Jan 08 2012,1:00 PM,"Swissotel, Zurich B",American Finance Association,Banking and Financial Institutions 2,G2,Mark Flannery,University of Florida,Vikrant Vig,London Business School,Reint Gropp,"European Business School, Germany",Andreas Lehnert,Government of the United States of America,Sreedhar Bharath,University of Michigan-Ann Arbor,,,Markus K. Brunnermeier,Male,MARKUS BRUNNERMEIER,,,,,NA,NA,NA,NA,NA,
Markus K. Brunnermeier,The I-Theory of Money,Princeton University,Jan 06 2012,10:15 AM,"Hyatt Regency, Skyway 260",American Economic Association,Liquidity Dynamics,G1,Zhiguo He,University of Chicago,Dmitry Livdan,University of California-Berkeley,Arvind Krishnamurthy,Northwestern University,Douglas W. Diamond,University of Chicago,Martin Oehmke,Columbia University,,,Markus K. Brunnermeier,Male,MARKUS BRUNNERMEIER,,,,,NA,NA,NA,NA,NA,
Markus Mobius,Treasure Hunt,Harvard University,Jan 08 2012,10:15 AM,"Hyatt Regency, McCormick",Econometric Society,Network Games,D8,David Miller,University of California-San Diego,,,,,,,,,,,MARKUS MOBIUS,Male,,,,,,NA,NA,NA,NA,NA,
Marta Lachowska,Did Leisure Increase Following the 2008 Tax Rebates? Evidence from Daily Data,Upjohn Institute and Stockholm University,Jan 08 2012,10:15 AM,"Hyatt Regency, Grand Suite 5",American Economic Association,Aspects of the Labor Market during the Great Recession,J6,Till Von Wachter,Columbia University,,,,,,,,,,,Marta Lachowska,Female,,,,,,NA,NA,NA,NA,NA,
Martin Eichenbaum,Understanding Booms and Busts in Housing Prices,Northwestern University,Jan 07 2012,2:30 PM,"Swissotel, Vevey 3",American Real Estate & Urban Economic Association/American Economic Association,Housing and the Macroeconomy,E3,Francois Ortalo-Magne,University of Wisconsin,David Andolfatto,Federal Reserve Bank of St. Louis,Erwan Quintin,University of Wisconsin,Aurel Hizmo,New York University,,,,,MARTIN EICHENBAUM,Male,,,,,,NA,NA,NA,NA,NA,
Martin Feldstein,Alternative Tax Reform Proposals,Harvard University,Jan 07 2012,10:15 AM,"Swissotel, Zurich D","International Banking, Economics & Finance Association/American Economic Association",Federal Government Tax Reform: The Andrew Brimmer Policy Forum,H6,Andrew Brimmer,Brimmer & Company and University of Massachusetts-Amherst,,,,,,,,,,,MARTIN FELDSTEIN,Male,,,,,,NA,NA,NA,NA,NA,
Martin Gaynor,Inefficiency and the Public and Private Sectors,Carnegie Mellon University,Jan 07 2012,8:00 AM,"Hyatt Regency, McCormick",International Health Economics Association,Inefficiency in Health Care Markets,I1,James Burgess,Boston University,Mark Pauly,University of Pennsylvania,Michael Chernew,Harvard University,Stephen T. Parente,University of Minnesota,,,,,MARTIN GAYNOR,Male,,,,,,NA,NA,NA,NA,NA,
Martin Karlsson,Not Just Hot Air? The Effects of Weather on Mortality in Germany,TU Darmstadt,Jan 06 2012,2:30 PM,"Hyatt Regency, Columbus G",American Economic Association,Environmental Economics,Q5,Richard V. Butler,Trinity University,,,,,,,,,,,Martin Karlsson,Male,,,,,,NA,NA,NA,NA,NA,
Martin Karlsson,High-Earner Lemons? Adverse Selection in the German Market for Private Health Insurance,TU Darmstadt,Jan 06 2012,8:00 AM,"Hyatt Regency, Columbian",American Economic Association,Health Insurance,I1,Danny Hughes,University of Oklahoma Health Sciences Center,,,,,,,,,,,Martin Karlsson,Male,,,,,,NA,NA,NA,NA,NA,
Martin Lettau,Conditional Exchange Rate Risk Premia,University of California-Berkeley,Jan 07 2012,10:15 AM,"Hyatt Regency, Grand Ballroom B",American Economic Association,Empirical Evidence on Exchange Rates,F3,Marcel Fratzscher,European Central Bank,,,,,,,,,,,MARTIN LETTAU,Male,,,,,,NA,NA,NA,NA,NA,
Martin Oehmke,Maturity Rationing,Columbia University,Jan 07 2012,10:15 AM,"Hyatt Regency, Acapulco",American Economic Association,Financial Frictions and the Business Cycle,E4,Markus Brunnermeier,Princeton University,Peter Kondor,Central European University,Zhiguo He,University of Chicago,Guido Lorenzoni,Massachusetts Institute of Technology,Simon Gilchrist,Boston University,,,Martin Oehmke,Male,,,,,,NA,NA,NA,NA,NA,
Martin Oehmke,Positioning in the CDS Market: Evidence from the DTCC Data,Columbia University,Jan 08 2012,10:15 AM,"Hyatt Regency, Buckingham",Econometric Society,Bonds and CDS Markets,G1,Pierre Collin-Dufresne,Columbia University,Michael Fleming,Federal Reserve Bank of New York,Rene Stulz,Ohio State University,Torben Andersen,Northwestern University,,,,,Martin Oehmke,Male,,,,,,NA,NA,NA,NA,NA,
Martin Uribe,Optimal Capital Controls in a Currency-Peg Economy,Columbia University,Jan 07 2012,10:15 AM,"Hyatt Regency, Regency B",American Economic Association,Currency Unions and Macroeconomic Policies,F4,Kenneth West,University of Wisconsin,Brent Neiman,University of Chicago,Jordi Gali,Universitat Pompeu Fabra,Andrew Rose,University of California-Berkeley,,,,,MARTIN URIBE,Male,,,,,,NA,NA,NA,NA,NA,
Martin Uribe,Pegs and Pain,Columbia University,Jan 07 2012,2:30 PM,"Hyatt Regency, New Orleans",Chinese Economic Association in North America,Exchange Rates and the Macroeconomy,F4,Ben-Chieh Liu,Chicago State University,Wan-Jiun P. Chiou,Shippensburg University,Masanori Kashiwagi,National Taiwan University,Yong Bao,Purdue University,Sharon G. Harrison,"Barnard College, Columbia University",,,MARTIN URIBE,Male,,,,,,NA,NA,NA,NA,NA,
Martina Bjorkman-Nyqvist,Community Based Monitoring: Experimental Evidence on Design and Long Run Impact,Universita Bocconi,Jan 08 2012,8:00 AM,"Hyatt Regency, Columbus H",American Economic Association,Including Communities in the Development Process,O1,Rema Hanna,Harvard University,Chris Blattman,Yale University,Sandip Sukhtankar,Dartmouth College,Martina Bjorkman-Nyqvist,Universita Bocconi,Rema Hanna,Harvard University,,,Martina Bjorkman-Nyqvist,Female,,,,,,NA,NA,NA,NA,NA,
Massimo Guidolin,Do We Need Non-Linear Models to Predict REIT Returns? Univariate and Multivariate Evidence from Density Forecasts,Bocconi University,Jan 07 2012,8:00 AM,"Swissotel, St. Gallen 2",American Real Estate & Urban Economic Association,Pricing and Commercial Real Estate,L7,James Shilling,DePaul University,Jay Hartzell,University of Texas-Austin,Dean Gatzlaff,Florida State University,David Geltner,Massachusetts Institute of Technology,J. Sa-Aadu,University of Iowa,,,Massimo Guidolin,Male,,,,,,NA,NA,NA,NA,NA,
Massimo Massa,Every Family Has a White Sheep: Between Vertical and Horizontal Governance,INSEAD,Jan 06 2012,2:30 PM,"Swissotel, Zurich F",American Finance Association,International Corporate Finance,G3,Andrew Karolyi,Cornell University,Thomas Hellman,University of British Columbia,David Yermack,New York University,Rene Stulz,Ohio State University,I.J. Dyck,University of Toronto,,,MASSIMO MASSA,Male,,,,,,NA,NA,NA,NA,NA,
Massimo Massa,Loan Trading and the Bond Market: The Information Asymmetry Dimension,INSEAD,Jan 08 2012,1:00 PM,"Swissotel, Zurich B",American Finance Association,Banking and Financial Institutions 2,G2,Mark Flannery,University of Florida,Vikrant Vig,London Business School,Reint Gropp,"European Business School, Germany",Andreas Lehnert,Government of the United States of America,Sreedhar Bharath,University of Michigan-Ann Arbor,,,MASSIMO MASSA,Male,,,,,,NA,NA,NA,NA,NA,
