author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,
Alex Bryson,The Incidence and Labor Market Outcomes of Occupational Regulation in the UK,National Institute of Economic and Social Research,Jan 06 2012,2:30 PM,"Swissotel, Grand Ballroom Salon III",Association for Comparative Economic Studies,Analyzing Occupational Licensing across Institutional Settings,P5,Morris Kleiner,University of Minnesota,Mark Klee,George Mason University,Mindy Marks,University of California-Riverside,Charles Wheelan,University of Chicago,David Harrington,Kenyon College,,,ALEX BRYSON,Male,,,,,,NA,NA,NA,NA,NA,
Alex P. Taylor,What is the Consumption-CAPM Missing? An Information-Theoretic Framework for the Analysis of Asset Pricing Models,University of Manchester,Jan 07 2012,10:15 AM,"Swissotel, Zurich E",American Finance Association,Equity Risk Premium,G1,Wayne Ferson,Boston College,John Heaton,University of Chicago,Paul Schultz,University of Notre Dame,Timothy Simin,Pennsylvania State University,,,,,Alex P. Taylor,Unknown,,,,,,NA,NA,NA,NA,NA,
Alexander Dyck,Sovereign Wealth Fund Portfolios,University of Toronto,Jan 07 2012,10:15 AM,"Hyatt Regency, Gold Coast",American Economic Association,Sovereign Wealth Funds: Threat or Salvation?,G2,Will Goetzmann,Yale University,Josh Rauh,Northwestern University,Patrick Bolton,Columbia University,Udaibir Saran Das,International Monetary Fund,Re-Jin Guo,University of Illinois-Chicago,,,ALEXANDER DYCK,Male,,,,,,NA,NA,NA,NA,NA,
Alexander Strand,What Are the Real Application Costs of SSDI? The Effect of Waiting Time on Labor Force Participation and Earnings,Ssocial Security Administration,Jan 08 2012,8:00 AM,"Hyatt Regency, Columbus CD",American Economic Association,Disability Programs and Employment,J1,John Pepper,University of Virginia,David Autor,Massachusetts Institute of Technology,David Stapleton,Mathematica,Eric French,Federal Reserve Bank of Chicago,Jeffrey Smith,University of Michigan,,,Alexander Strand,Male,,,,,,NA,NA,NA,NA,NA,
Alexey Levkov,Financing Constraints and Unemployment: Evidence from the Great Recession,Federal Reserve Bank of Boston,Jan 08 2012,10:15 AM,"Hyatt Regency, Grand Suite 5",American Economic Association,Aspects of the Labor Market during the Great Recession,J6,Till Von Wachter,Columbia University,,,,,,,,,,,Alexey Levkov,Male,,,,,,NA,NA,NA,NA,NA,
Alfonso Irarrazabal,The Tip of the Iceberg: A Quantitative Framework for Estimating Trade Costs,University of Oslo,Jan 07 2012,10:15 AM,"Hyatt Regency, Field",Econometric Society,Intermediation and Transport Costs in International Trade,F1,Amit Kandelwal,Columbia Business School,Robert Christopher Johnson,Dartmouth College,Stefania Garetto,Boston University,Marc-Andreas Muendler,University of California-San Diego,Amit Khandelwal,Columbia Business School,,,Alfonso Irarrazabal,Male,,,,,,NA,NA,NA,NA,NA,
Ali Shourideh,Optimal Taxation of Capital Income: A Mirleesian Approach to Capital Accumulation,University of Minnesota,Jan 06 2012,2:30 PM,"Hyatt Regency, Addams",Econometric Society,Advances in Optimal Taxation,H2,Mikhail Golosov,Yale University,Matthew C Weinzierl,Harvard Business School,Florian Scheuer,Stanford University,Borys Grochulski,Federal Reserve Bank of Richmond,,,,,Ali Shourideh,Male,,,,,,NA,NA,NA,NA,NA,
Ali Yurukoglu,Vertical Integration in Multichannel Television,Stanford University,Jan 07 2012,2:30 PM,"Hyatt Regency, Addams",Econometric Society,Bilateral Contracting,D8,Pierre Dubois,Toulouse School of Economics,,,,,,,,,,,ALI YURUKOGLU,Male,,,,,,NA,NA,NA,NA,NA,
Alireza Tahbaz-Salehi,Interconnections and Volatility in Networks,Columbia University,Jan 08 2012,10:15 AM,"Hyatt Regency, Regency B",American Economic Association,"Information, Financial Crisis and the Real Economy",G2,Olivier Blanchard,International Monetary Fund,Viral Acharya,New York University,Itay Goldstein,University of Pennsylvania,Gary Gorton,Yale University,Nobuhiro Kiyotaki,Princeton University,,,Alireza Tahbaz-Salehi,Male,,,,,,NA,NA,NA,NA,NA,
Alminas Zaldokas,Block Ownership and the Role of Reputation in the Debt Market,INSEAD,Jan 08 2012,8:00 AM,"Swissotel, Zurich B",American Finance Association,Capital Structure and Firm Organization,G3,Antoinette Schoar,Massachusetts Institute of Technology,Ilya Strebulaev,Stanford University,James Hines,University of Michigan Law School,Jarrad Harford,University of Washington,Yaniv Grinstein,Cornell University,,,Alminas Zaldokas,Male,,,,,,NA,NA,NA,NA,NA,
Alp Simsek,Speculation and Risk Sharing with New Financial Assets,Harvard University,Jan 06 2012,2:30 PM,"Hyatt Regency, Dusable",Econometric Society,Financial Innovation,G1,Joshua Lerner,Harvard University,Snehal Banerjee,Northwestern University,Zhiguo He,University of Chicago,Robert Marquez,Boston University,Adriano A Rampini,Duke University,,,Alp Simsek,Male,,,,,,NA,NA,NA,NA,NA,
Alvin Murphy,Incorporating Dynamic Behavior into the Hedonic Model,Washington University in St. Louis,Jan 08 2012,1:00 PM,"Swissotel, Vevey 1",Association of Environmental & Resource Economists,New Directions in Urban Land Use Models and Land Use Impacts,Q5,Randall Walsh,University of Pittsburgh,Corey Lang,University of Rhode Island,Daniel Kaffine,Colorado School of Mines,Howard Chong,Cornell University,,,,,ALVIN MURPHY,Male,,,,,,NA,NA,NA,NA,NA,
Amanda Starc,Heuristics and Heterogeneity in Health Insurance Exchanges: Evidence from the Massachusetts Connector,Harvard Business School,Jan 06 2012,10:15 AM,"Hyatt Regency, Grand Ballroom B",American Economic Association,The 2006 Massachusetts Health Care Reform,I1,Adriana Lleras-Muney,University of California-Los Angeles,Adriana Lleras-Muney,University of California-Los Angeles,Amy Finkelstein,Massachusetts Institute of Technology,Day Manoli,University of California-Los Angeles,Amitabh Chandra,Harvard University,,,Amanda Starc,Female,,,,,,NA,NA,NA,NA,NA,
Amil Petrin,Identification and Estimation in Discrete Choice Demand Models when Endogenous Variables Interact with the Error,University of Minnesota,Jan 06 2012,10:15 AM,"Hyatt Regency, McCormick",Econometric Society,Endogeneity and Instrumental Variables,C2,Whitney Newey,Massachusetts Institute of Technology,Ariel Pakes,Harvard University,Steven Berry,Yale University,Jack Porter,University of Wisconsin,Guido Imbens,Harvard University,,,AMIL PETRIN,Male,,,,,,NA,NA,NA,NA,NA,
Amir Kermani,The Value of Political Connections in the United States,Massachusetts Institute of Technology,Jan 08 2012,8:00 AM,"Hyatt Regency, Field",Econometric Society,Applications of the Synthetic Control Method,C2,Caroline Hoxby,Harvard University,Caroline Hoxby,Harvard University,Edward Miguel,University of California-Berkeley,Alberto Abadie,Harvard University,Michael Greenstone,Massachusetts Institute of Technology,,,Amir Kermani,Male,,,,,,NA,NA,NA,NA,NA,
Amir Sufi,Resolving Debt Overhang: Political Constraints in the Aftermath of Financial Crises,University of Chicago,Jan 06 2012,2:30 PM,"Hyatt Regency, Grand Ballroom CD North",American Economic Association,The Political Economy of Macroeconomic Crisis Response,E6,Steven Davis,University of Chicago,,,,,,,,,,,AMIR SUFI,Male,,,,,,NA,NA,NA,NA,NA,
Amir Sufi,"Household Balance Sheets, Consumption, and the Economic Slump",University of Chicago,Jan 08 2012,10:15 AM,"Hyatt Regency, Regency A",American Economic Association,Household Finance and the Macro Economy,G1,Antoinette Schoar,Massachusetts Institute of Technology,Ivan Werning,Massachusetts Institute of Technology,Nicholas Souleles,University of Pennsylvania,Annette Vissing Jorgensen,Northwestern University,,,,,AMIR SUFI,Male,,,,,,NA,NA,NA,NA,NA,
Amir Yaron,"The Good, Bad, and Volatility Beta: A Generalized CAPM",University of Pennsylvania,Jan 08 2012,10:15 AM,"Swissotel, Zurich C",American Finance Association,Macro Finance,G1,Amir Yaron,University of Pennsylvania,Stavros Panageas,University of Chicago,Stijn Van Nieuwerburgh,New York University,Lars Lochstoer,Columbia University,Hanno Lustig,University of California-Los Angeles,,,AMIR YARON,Male,,,,,,NA,NA,NA,NA,NA,
Amit Goyal,Investing in a Global World,University of Lausanne,Jan 08 2012,10:15 AM,"Swissotel, Zurich A",American Finance Association,International Financial Markets,G1,John Griffin,University of Texas-Austin,Michael Melvin,BlackRock,Allaudeen Hameed,National University of Singapore,Miguel erreira,Universidade Nova de Lisboa,,,,,Amit Goyal,Male,,,,,,NA,NA,NA,NA,NA,
Amit Seru,Can Government Intervention Improve Market Outcome? Evidence from HAMP Modification Program,University of Chicago,Jan 07 2012,10:15 AM,"Hyatt Regency, Columbus IJ",American Economic Association,Mortgage Markets and Policy Response,G3,John Campbell,Harvard University,Gadi Berlevy,Federal Reserve Bank of Chicago,Victoria Ivashina,Harvard University,Tom Davidoff,University of British Columbia,Francesco Trebbi,University of British Columbia,,,AMIT SERU,Male,,,,,,NA,NA,NA,NA,NA,
Amit Seru,Resource Allocation within Firms and Finanical Market Distortion: Evidence from Diversified Conglomerates,University of Chicago,Jan 06 2012,8:00 AM,"Hyatt Regency, Field",Econometric Society,Credit Supply During the Financial Crisis,G0,Amir Sufi,University of Chicago,Manju Puri,Duke University,Toni Whited,University of Rochester,Philip Strahan,Boston College,,,,,AMIT SERU,Male,,,,,,NA,NA,NA,NA,NA,
Amitabh Chandra,"Expertise, Underuse, and Overuse in Healthcare",Harvard University and NBER,Jan 07 2012,2:30 PM,"Hyatt Regency, Regency D",American Economic Association,What Determines the Performance of US and International Healthcare?,I1,John Van Reenen,London School of Economics and Centre for Economic Performance and CEPR,,,,,,,,,,,AMITABH CHANDRA,Male,,,,,,NA,NA,NA,NA,NA,
Amitabh Chandra,Technology Growth and Expenditure Growth in Health Care,Harvard University,Jan 08 2012,10:15 AM,"Hyatt Regency, Columbian",International Health Economics Association,The Economics of Health Care Reform and Technological Change,I1,Mark Duggan,University of Pennsylvania,Heidi Williams,Massachusetts Institute of Technology,Kosali Simon,Indiana University,Ben Handel,University of California-Berkeley,Jon Kolstad,University of Pennsylvania,,,AMITABH CHANDRA,Male,,,,,,NA,NA,NA,NA,NA,
Amitabh Chandra,Patient Cost-Sharing In Low Income Populations: Dispatch From Massachusetts,Harvard University,Jan 06 2012,2:30 PM,"Hyatt Regency, Regency B",American Economic Association,Innovation in Insurance Coverage for Higher Value Care: Theory and Evidence,I1,Richard Frank,Harvard University,Richard Frank,Harvard University,David Cutler,Harvard University,Wesley Yin,Boston University,Douglas Staiger,Dartmouth College,,,AMITABH CHANDRA,Male,,,,,,NA,NA,NA,NA,NA,
Amitabh Chandra,Inefficiency and Spending Growth,Harvard University,Jan 07 2012,8:00 AM,"Hyatt Regency, McCormick",International Health Economics Association,Inefficiency in Health Care Markets,I1,James Burgess,Boston University,Mark Pauly,University of Pennsylvania,Michael Chernew,Harvard University,Stephen T. Parente,University of Minnesota,,,,,AMITABH CHANDRA,Male,,,,,,NA,NA,NA,NA,NA,
Amitabh Chandra,"Distinguishing Overuse, Underuse, and Expertise in Health Care",Harvard University,Jan 07 2012,10:15 AM,"Hyatt Regency, Columbus KL",American Economic Association,Health Insurance and Health Care Practice,I1,Amy Finkelstein,Massachusetts Institute of Technology,Mark Duggan,University of Maryland,Tal Gross,Columbia University,Matthew Notowidigdo,University of Chicago,,,,,AMITABH CHANDRA,Male,,,,,,NA,NA,NA,NA,NA,
Amy Finkelstein,Selection on Moral Hazard in Health Insurance,Massachusetts Institute of Technology,Jan 06 2012,2:30 PM,"Hyatt Regency, Wright",Econometric Society,Selection and Moral Hazard in Health Insurance,I1,Amy Finkelstein,Massachusetts Institute of Technology,Katherine Ho,Columbia University,Hanming Fang,University of Pennsylvania,Neale Mahoney,Stanford University,,,,,AMY FINKELSTEIN,Female,,,,,,NA,NA,NA,NA,NA,
Ananth Ramanarayanan,Default and the Maturity Structure in Sovereign Bonds,Research Federal Reserve Bank of Dallas,Jan 07 2012,8:00 AM,"Hyatt Regency, Field",Econometric Society,Sovereign Bond Risk,F3,Sergio Rebelo,Northwestern University,Mark Aguiar,University of Rochester,Adrien Verdelhan,Massachusetts Institute of Technology,Philipp Schnabl,New York University,Anna Cieslak,Northwestern University,,,Ananth Ramanarayanan,Male,,,,,,NA,NA,NA,NA,NA,
Andra C. Ghent,"Subprime Mortgages, Mortgage Choice, and Hyperbolic Discounting",Baruch College,Jan 06 2012,8:00 AM,"Swissotel, St. Gallen 2",American Real Estate & Urban Economic Association,Housing Price Bubbles and Alternative Mortgage Credit,G2,Christopher Cunningham,Federal Reserve Bank of Atlanta,Brent Ambrose,Pennsylvania State University,John Cotter,University College Dublin,Tracy Turner,Kansas State University,Andrea Heuson,University of Miami,,,Andra C. Ghent,Female,Andra Ghent,,,,,NA,NA,NA,NA,NA,
Andre Lucas,Systemic Risk Diagnostics: Coincident Indicators and Early Warning Signals,VU University Amsterdam,Jan 06 2012,10:15 AM,"Swissotel, Alpine Salon II","International Banking, Economics & Finance Association",Distortions in Financial Markets,G2,George Kaufman,Loyola University Chicago,W. Scott Frame,Federal Reserve Bank of Atlanta,Reint Gropp,European Business School,TBA TBA,TBA,,,,,Andre Lucas,Male,,,,,,NA,NA,NA,NA,NA,
Andrea Buraschi,The Dynamics of Limits to Arbitrage: An Empirical Investigation,Imperial College Business School,Jan 07 2012,2:30 PM,"Swissotel, Zurich A",American Finance Association,Anomalies and Inefficiency 1,G1,Tobias Moskowitz,University of Chicago,Christopher Malloy,Harvard Business School,Jakub Jurek,Princeton University,Lauren Cohen,Harvard Business School,,,,,Andrea Buraschi,Male,,,,,,NA,NA,NA,NA,NA,
Andrea Buraschi,Incentives and Endogenous Risk Taking: Implications for Reduced-Form Estimates of Risk-Adjusted Performance in Hedge Funds,Imperial College Business School,Jan 06 2012,8:00 AM,"Swissotel, Zurich F",American Finance Association,Hedge Funds,G2,Bing Liang,University of Massachusetts,Philippe Jorion,University of California-Irvine,Mila Germansky,University of Massachusetts-Amherst,Ralph S. Koijen,University of Chicago,,,,,Andrea Buraschi,Male,,,,,,NA,NA,NA,NA,NA,
Andrea Buraschi,"Discount Factors, Disagreement, and Bond Risk Premia",Imperial College Business School,Jan 06 2012,8:00 AM,"Swissotel, Zurich E",American Finance Association,Fixed Income - Term Structure,G1,Kenneth Singleton,Stanford University,Maxim Ulrich,Columbia University,Scott Joslin,Massachusetts Institute of Technology,Marcel Priebsch,Stanford University,Stefano Giglio,University of Chicago,,,Andrea Buraschi,Male,,,,,,NA,NA,NA,NA,NA,
