"","author","year"
"309","Atheendar S. Venkataramani","2013"
"310","Nidhiya Menon","2013"
"311","Monica Deza","2013"
"312","Jean-Charles Rochet","2013"
"313","Zhihong Yu","2013"
"314","Leonard Kostovetsky","2013"
"315","Wenxi Jiang","2013"
"316","Huijun Wang","2013"
"317","W. Kip Viscusi","2013"
"318","Jesus Hernandez","2013"
"319","Belton M. Fleisher","2013"
"320","Yingyao Hu","2013"
"321","Jose Berrospide","2013"
"322","Lorens Helmchen","2013"
"323","Norihiko Yamano","2013"
"324","Kunfu Zhu","2013"
"325","Gayaneh Kyureghian","2013"
"326","Carlena Cochi Ficano","2013"
"327","Naohisa Hirakata","2013"
"328","Yuto Iwasaki","2013"
"329","Jee-Yeon K. Lehmann","2013"
"330","Jan-Emmanuel De Neve","2013"
"331","Ludger Woessmann","2013"
"332","Ozgur Ince","2013"
"333","Mungo Ivor Wilson","2013"
"334","Hong Liu","2013"
"335","K.J. Martijn Cremers","2013"
"336","Vahap Uysal","2013"
"337","Wenrui Zhang","2013"
"338","Jarl Kallberg","2013"
"339","Jose N. Martinez","2013"
"340","Luis Locay","2013"
"341","Shu-Chun Susan Yang","2013"
"342","Simon Wren-Lewis","2013"
"343","Thien Tung Nguyen","2013"
"344","Yu-Ning Hwang","2013"
"345","zhengtong Lu","2013"
"346","Leeat Yariv","2013"
"347","E. Roy Weintraub","2013"
"348","Bernardino Adao","2013"
"349","Borghan Najarabad","2013"
"350","Semoon Chang","2013"
"351","Xiao-Yuan Dong","2013"
"352","J.Edward Taylor","2013"
"353","Deyuan Li","2013"
"354","Hongyi Li","2013"
"355","Ariell Reshef","2013"
"356","Jorg L. Spenkuch","2013"
"357","Ingvild Almas","2013"
"358","Mirabel Muuls","2013"
"359","University of Michigan","2013"
"360","Xiaoxia Lou","2013"
"361","Ningzhong Li","2013"
"362","Ayse Tuna","2013"
"363","Radomir Todorov","2013"
"364","Sébastien Houde","2013"
"365","Lemma W. Senbet","2013"
"366","Wehn-Jyuan Tsai","2013"
"367","Jin-Tan Liu","2013"
"368","Shin-Yi Chou","2013"
"369","Chor-yiu Sin","2013"
"370","Yuet-Yee Linda Wong","2013"
"371","Pai XU","2013"
"372","Tanjim Hossain","2013"
"373","Nezahat Kucuk","2013"
"374","African Center for Economic Transformation","2013"
"375","Xiaoguang Chen","2013"
"376","Emeric Henry","2013"
"377","J. Mark Ramseyer","2013"
"378","Fangwen Lu","2013"
"379","Yuchiro Kawaguchi","2013"
"380","A. Jesus Sanchez-Fuentes","2013"
"381","Nisvan Erkal","2013"
"382","Luis Von Ahn","2013"
"383","Monica Garcia Perez","2013"
"384","J. David Brown","2013"
"385","Zhun Zhao","2013"
"386","Amitrajeet Batabyal","2013"
"387","Rukmani Gounder","2013"
"388","Suehyun Kwon","2013"
"389","Marinella Leone","2013"
"390","Mwanza Nkusu","2013"
"391","A. G. Malliaris","2013"
"392","Cuneyd Kaya","2013"
"393","Nicolas-Guillaume Martineau","2013"
"394","Aparajita Dasgupta","2013"
"395","Athiphat Muthitacharoen","2013"
"396","Parashar Kulkarni","2013"
"397","Mengying Wang","2013"
"398","Zengyuan Sun","2013"
"399","Yildiray Yildirim","2013"
"400","Pingkang Yu","2013"
"401","Mingming Zhou","2013"
"402","Kailing Shen","2013"
"403","Alpaslan Akay","2013"
"404","TengTeng Xu","2013"
"405","Junsang Lee","2013"
"406","Andres Aradillas-Lopez","2013"
"407","Fabian Dunker","2013"
"408","Sai-Ming Li","2013"
"409","Marick Masters","2013"
"410","Ainhoa Vega-Bayo","2013"
"411","Apanard Prabha","2013"
"412","Ramaa Vasudevan","2013"
"413","J. Paul Dunne","2013"
"414","Gurnain Kaur Pasricha","2013"
"415","Zhaohui Chen","2013"
"416","Jinqiang Yang","2013"
"417","Soenke Sievers","2013"
"418","Merih Sevilir","2013"
"419","Olympio Barbanti, Jr","2013"
"420","Cesar Martinelli","2013"
"421","Jingnan (Cecilia) Chen","2013"
"422","Rodgrio Pinto","2013"
"423","Rémi Jedwab","2013"
"424","Zhiliang Li","2013"
"425","Jesus Ferreiro","2013"
"426","H Allen Klaiber","2013"
"427","Shutao Cao","2013"
"428","Suchirtra J. Yegnanarayan","2013"
"429","Mingwei Liu","2013"
"430","Tilman Bruck","2013"
