"author","gender"
"Charles I Jones","Male"
"Charles Betsey","Male"
"Charles Stokes","Male"
"Charles Danso","Male"
"Charles C.Y. Wang","Male"
"Charles Hokayem","Male"
"Charles Trzcinka","Male"
"Charles Nyce","Male"
"Charles Scott Benson, Jr","Male"
"Charles McLure","Male"
"Charles R. Plott","Male"
"Charles Griffiths","Male"
"Charlotte Alexander","Female"
"Chen Yao","?"
"Chiara Osbat","Female"
"Chiara Binelli","Female"
"Chris Minns","Male"
"Chris Harris","Male"
"Chris Slootmaker","Male"
"Christa H.S. Bouwman","Female"
"Christian Vossler","Male"
"Christian Wilde","Male"
"Christian Traeger","Male"
"Christian Dreger","Male"
"Christian E. Weller","Male"
"Christian Jensen","Male"
"Christian Almer","Male"
"Christian Baker","Male"
"Christina Arellano","Female"
"Christina Peters","Female"
"Christina L. Marsh","Female"
"Christine Binzel","Female"
"Christine Ngoc Ngo","Female"
"Christine Pal Chee","Female"
"Christo Pirinsky","Male"
"Christoph Rothe","Male"
"Christopher Ruhm","Male"
"Christopher Jeffords","Male"
"Christopher Schneider","Male"
"Christopher Whaley","Male"
"Christopher Parsons","Male"
"Christopher Michael Herrington","Male"
"Christopher Hrdlicka","Male"
"Christopher Wada","Male"
"Christopher Andrews","Male"
"Christopher Gunn","Male"
"Christopher L. Foote","Male"
"Christopher Wignall","Male"
"Christos Kolympiris","Male"
"Chun Chang","?"
"Chun Wang","?"
"Cindy Alexander","Female"
"Claire LeLarge","Female"
"Claire Finkelstein","Female"
"Clara Vega","Female"
"Claudia Ruiz","Female"
"Claudia Buch","Female"
"Claudia Rei","Female"
"Claus Thustrup Kreiner","Male"
"Clayton Sinyai","Male"
"Columbia State College","?"
"Conny Ernst-Peter Wollbrant","Female"
"Constanza Biavaschi","Female"
"Coral del Rio Otero","Female"
"Corrado Giulietti","Male"
"Costas Xiouros","Male"
"Craig Benedict","Male"
"Craig Earle","Male"
"Craig Merrill","Male"
"Craig W. Holden","Male"
"Craig Eschuk","Male"
"Daan Struyven","Male"
"Dale T. Mortensen","?"
"Dale Belman","?"
"Dan Weltmann","Male"
"Dan Friesner","Male"
"Dan Marom","Male"
"Dan Luo","Male"
"Dania V. Francis","Female"
"Daniel Bradley","Male"
"Daniel L. Hicks","Male"
"Daniel McMillen","Male"
"Daniel G. Arce","Male"
"Daniel MacDonald","Male"
"Daniel Barron","Male"
"Daniel Kreisman","Male"
"Daniel Finn","Male"
"Daniel Broxterman","Male"
"Daniel Molling","Male"
"Daniel Kaufmann","Male"
"Daniel Oto-Peralías","Male"
"Daniel Stein","Male"
"Daniel Brent","Male"
"Daniel Fireside","Male"
"Daniel Bennett","Male"
"Daniel McFadden","Male"
"Daniel Underwood","Male"
"Daniel S. Hamermesh","Male"
"Daniel H. Wood","Male"
"Daniel S. Kim","Male"
"Danila Serra","Female"
"Danny McGowan","Male"
"Dara Lee Luca","?"
"David Marques","Male"
"David Love","Male"
"David George","Male"
"David M. Kemme","Male"
"David Ling","Male"
"David Seidenfeld","Male"
"David Greene","Male"
"David Joulfaian","Male"
"David Skeie","Male"
"David Munro","Male"
"David Brown","Male"
"David L. Fuller","Male"
"David B. Lipsky","Male"
"David Howell","Male"
"David Dreyer Lassen","Male"
"David Oesch","Male"
"David Gill","Male"
"David Feldman","Male"
"David William Jordan","Male"
"David Colander","Male"
"David Zalewski","Male"
"David H. Autor","Male"
"David Kucera","Male"
"David Offenberg","Male"
"David Smith","Male"
"David Munroe","Male"
"David Karp","Male"
"David Dale-Johnson","Male"
"David Zilberman","Male"
"David Hirshleifer","Male"
"David Schap","Male"
"David Bruner","Male"
"David Kristjanson-Gural","Male"
"David Denis","Male"
"David Musto","Male"
"David Dequech","Male"
"David S. Sherwyn","Male"
"David Downs","Male"
"David Lewin","Male"
"David S. Johnson","Male"
"Davide Tomio","Male"
"Dean Gatzlaff","Male"
"Dean Spears","Male"
"Dean Jolliffe","Male"
"Dean Croushore","Male"
"Deborah Goins","Female"
"Deborah M. Figart","Female"
"Debra L. Casey","Female"
"Deepak Rajagopal","Male"
"Delphine Prady","Female"
"Denis Nadolnyak","Male"
"Denis Nekipelov","Male"
"Denis Fischbacher-Smith","Male"
"Denise Parris","Female"
"Denise Stanley","Female"
"Deniz Anginer","?"
"Devin G. Pope","?"
"Dhaval Dave","Male"
"Diego Romero-Ávila","Male"
"Dimitris Bertsimas","Male"
"Dmitry Taubinsky","Male"
"Domenico Massaro","Male"
"Dominic Parker","Male"
"Dominick Salvatore","Male"
"Dominique Plihon","?"
"Don Goldstein","Male"
"Donald J. Lacombe","Male"
"Donald Marron","Male"
"Donna K. Ginther","Female"
"Dora Gicheva","Female"
"Doron Sayag","Male"
"Doron Levit","Male"
"Douglas Webber","Male"
"Douglas McManus","Male"
"Douglas Kruse","Male"
"Douglas Massey","Male"
"Dustin Schuette","Male"
"Ed Gamber","Male"
"Eddy Bekkers","Male"
"Edmond Baranes","Male"
"Edoardo Rainone","Male"
"Eduardo Perez-Richet","Male"
"Edward S. Knotek II","Male"
"Edward Foster","Male"
"Edward Kerby","Male"
"Edward Sayre","Male"
"Edwin L. Lai","Male"
"Eileen Appelbaum","Female"
"El Mouhoub Mouhoud","?"
"Eleanor Choi","Female"
"Elena Loutskina","Female"
"Eli Beracha","Male"
"Elias Grivoyannis","Male"
"Elias Rantapuska","Male"
"Eliezer Fich","Male"
"Elizabeth Breitbach","Female"
"Elizabeth Handwerker","Female"
"Elizabeth Asiedu","Female"
"Elizabeth Ramey","Female"
"Ellen Mutari","Female"
"Ellen R. McGrattan","Female"
"Eman Selim","?"
"Emanuela Galasso","Female"
"Emily Fertig","Female"
"Emily Marshall","Female"
"Emmanuel Kodzi","Male"
"Emre Unlu","Male"
"Emre Ozsoz","Male"
"Erasmo Giambona","Male"
"Erhan Aslanoglu","Male"
"Erhan Artuc","Male"
"Eric Hake","Male"
"Eric W. Bond","Male"
"Eric D. Hilt","Male"
"Eric Toder","Male"
"Eric P. Chiang","Male"
"Eric Kelley","Male"
"Eric Glen Weyl","Male"
"Eric R. Young","Male"
"Eric Giardin","Male"
"Eric Gautier","Male"
"Eric Tymoigne","Male"
"Erica Lindahl","Female"
"Erick W. Rengifo","Male"
"Erik Dean","Male"
"Erik Johnson","Male"
"Erik Scherpf","Male"
"Erik Olsen","Male"
"Erik Oppers","Male"
"Erika McEntarfer","Female"
"Eriko Teramura","Female"
"Erin Baker","Female"
"Erin A. Yetter","Female"
"Ernesto Pasten","Male"
"Ernesto Reuben","Male"
"Ernst Maug","Male"
"Ester Faia","Female"
"Esther Ann Boler","Female"
"Esther Jeffers","Female"
"Eugenia Correa","Female"
"Eun Hye Ham","?"
"Eva Steiner","Female"
"Eva O. Arceo-Gomez","Female"
"Evelyn Wamboye","Female"
"Evren Ors","Male"
"Eyob Fissuh","Male"
"Fabio Maccheroni","Male"
"Fabrizio Spargoli","Male"
"Fahad Khalil","Male"
"Faith Mangir","Female"
"Farid Toubal","Male"
"Faruk Eray Düzenli","Male"
"Faruk Ulgen","Male"
"Federica Teppa","Female"
"Federico Trionfetti","Male"
"Fei Li","?"
"Felipe Serrano","Male"
"Felix Bierbrauer","Male"
"Fernando A. Lozano","Male"
"Fernando Anjos","Male"
"Fidan Ana Kurtulus","?"
"Finn Tarp","?"
"Fiona MacLachlan","Female"
"Firat Demir","Male"
"Florian Nagler","Male"
"Florin Bidian","Male"
"Forhad Shilpi","Male"
"Forrest Williams","Male"
"Francisco de la Chesnaye","Male"
"Francisco Parro","Male"
"Francisco Perez-Gonzalez","Male"
"Franck Malherbet","?"
"Francois Koulischer","Male"
"Frank Tinari","Male"
"Frank Gunter","Male"
"Franz Geiger","Male"
"Fraser Summerfield","Male"
"Fred Kotler","Male"
"Fred Moseley","Male"
"Fred Campano","Male"
"Frederic Boissay","Male"
"Frederic S. Mishkin","Male"
"Frederic Vermeulen","Male"
"Frederick Mugisha","Male"
"Fritz Pil","Male"
"Gabriel Carroll","Male"
"Gabriela Calderon","Female"
"Gabriela Avila","Female"
"Gabriele Camera","?"
"Gabriele Gratton","?"
"Gail Hoyt","Female"
"Galina B. Hale","Female"
"Garret Christensen","Male"
"Gary Benedetto","Male"
"Gary D. Lynne","Male"
"Gary D. Painter","Male"
"Gary A. Hoover","Male"
"Gary Dymski","Male"
"Gautam Gupta","Male"
"Gayle Porter","Female"
"Gbenga Ajilore","Male"
"Geert Ridder","Male"
"Gennaro Zezza","Male"
"Gennaro Bernile","Male"
"Geoff Harcourt","Male"
"Geoffrey Turnbull","Male"
"Geoffrey Schneider","Male"
"Georg Noldeke","Male"
"George Kavetsos","Male"
"George Jiang","Male"
"George Zanjani","Male"
"George Ward","Male"
"George Norman","Male"
"Georgi Kocharkov","?"
"Georgy Chabakauri","Male"
"Gerard Padro i Miquel","Male"
"Gerard Caprio, Jr","Male"
"Gerhard Meisenberg","Male"
"Ghazal Zulfiqar","?"
"Giacomo de Giorgi","Male"
"Gianmarco IP Ottaviano","Male"
"Gianpaolo Parise","Male"
"Gilbert Skillman","Male"
"Gilbert Cette","Male"
"Gillian Hewitson","Female"
"Giordano Palloni","Male"
"Giorgio Fagiolo","Male"
"Giorgio E. Primiceri","Male"
"Giorgio Valente","Male"
"Giovanna d'Adda","Female"
"Giovanni Dosi","Male"
"Giuseppe Venanzoni","Male"
"Glen Atkinson","Male"
"Glenn Blomquist","Male"
"Glenn W. Harrison","Male"
"Gloria Helfand","Female"
"Graham Bird","Male"
"Grant Graziani","?"
"Greg Rooston","Male"
"Greg Nini","Male"
"Gregor Bäurle","Male"
"Gregory Leiserson","Male"
"Gregory Huffman","Male"
"Gregory Brown","Male"
"Gregory Burge","Male"
"Gregory Iyke Ibe","Male"
"Guillermo Baquero","Male"
"Guillermo Vuletin","Male"
"Gunter Strobl","Male"
"Guy Oakes","Male"
"Guy David","Male"
"Hal Martin","Male"
"Han (Steffan) Qi","?"
"Hang Bai","?"
"Hannah Allerdice Bricker","Female"
"Hannes F. Wagner","Male"
"Hans Degryse","Male"
"Hans J. Czap","Male"
"Hans Gronqvist","Male"
"Hao Qi","?"
"Hao Li","?"
"Harris Schlesinger","Male"
"Harry Patrinos","Male"
"Harry X. Wu","Male"
"Harry Tsang","Male"
"Hassan Benchekroun","Male"
"Heather Boushey","Female"
"Heather Montgomery","Female"
"Heidi L. Allen","Female"
"Heike Harmgart","Female"
"Heiner Rindermann","Male"
"Helen Popper","Female"
"Helen Jensen","Female"
"Helena F. Marques","Female"
"Henrik Hasseltoft","Male"
"Henrik Jacobsen Kleven","Male"
"Henry G. Manne","Male"
"Henry Munneke","Male"
"Herbert Dawid","Male"
"Heriberto Gonzalez Lozano","Male"
"Herman van Dijk","Male"
"Herve Queneau","Male"
"Hilary Klein","Female"
"Hiro Lee","?"
"Hiroshi Sato","Male"
"Hisham Foad","Male"
"Hoa Nguyen","?"
"Holly Dentz","Female"
"Holly Monti","Female"
"Horacio Sapriza","Male"
"Howard Wial","Male"
"Howard Stein","Male"
"Hye Yeon Park","?"
"Hyun S. Shin","?"
"Hyung Joon Park","Male"
"Hyunwoo Park","Male"
"Ian Krajbich","Male"
"Ian Crawford","Male"
"Iftikhar Hussain","Male"
"Igor Popov","Male"
"Ilan Cooper","Male"
"Ilona Babenko","Female"
"Ingo Walter","Male"
"Ingrid Lo","Female"
"Iqbal Dhaliwal","Male"
"Ira S. Moscovice","?"
"Ira N. Gang","?"
"Irene R. Foster","Female"
"Irina Zviadadze","Female"
"Iryna Kyzyma","Female"
"Ismael Hossein-zadeh","Male"
"Ivo Vlaev","Male"
"Jack Hadley","Male"
"Jackie Li","Female"
"Jacob Mortenson","Male"
"Jacob Leshno","Male"
"Jacob K. Goeree","Male"
"Jacob LaRiviere","Male"
"Jacqueline Agesa","Female"
"Jacqueline Marie Zalewski","Female"
"Jacques Mazier","Male"
"James R. Spletzer","Male"
"James Peoples","Male"
"James Andreoni","Male"
"James Devine","Male"
"James Siodla","Male"
"James Morley","Male"
"James Roumasset","Male"
"James Alm","Male"
"James Benjamin Bailey","Male"
"James Alleman","Male"
"James Park","Male"
"James Richard Hill","Male"
"James R. Barth","Male"
"James Hosek","Male"
"James D. Rodgers","Male"
"Jamie Wagner","?"
"Jamin D. Speer","?"
"Jan de Roos","?"
"Jan Svejnar","?"
"Jan K. Brueckner","?"
"Jan Strasky","?"
"Jane Waldfogel","Female"
"Jane Karonga","Female"
"Jane Lopus","Female"
"Janet M. Currie","Female"
"Janet Spitz","Female"
"Janice Madden","Female"
"Janice Peterson","Female"
"Jared Janowiak","Male"
"Jared Ashworth","Male"
"Jared Levant","Male"
"Jarrad Harford","Male"
"Jasmina Arifovic","Female"
"Jasmina Hasanhodzik","Female"
"Jason B. Cook","Male"
"Jason J. Wu","Male"
"Jason Cross","Male"
"Jason Sturgess","Male"
"Jason Reifler","Male"
"Jason Snyder","Male"
"Jason Davis","Male"
"Javed Ahmed","Male"
"Jaya Wen","?"
"Jean Mitchell","?"
"Jeff Larrimore","Male"
"Jeffery Fisher","Male"
"Jeffrey Weinstein","Male"
"Jeffrey Groen","Male"
"Jeffrey M. Wooldridge","Male"
"Jeffrey T. Young","Male"
"Jeffrey Brinkman","Male"
"Jeffrey Thompson","Male"
"Jeffrey H. Bergstrand","Male"
"Jeffrey Max","Male"
"Jeffrey Cohen","Male"
"Jeffrey S. McCullough","Male"
"Jen Shang","Female"
"Jennifer Roush","Female"
"Jennifer Ifft","Female"
"Jennifer Marietta-Westberg","Female"
"Jennifer Gnagey","Female"
"Jennifer L. Dlugosz","Female"
"Jenny Schuetz","Female"
"Jens Hilscher","Male"
"Jens Ruhose","Male"
"Jeremy Graveline","Male"
"Jeremy Weber","Male"
"Jeremy Blair Smith","Male"
"Jeremy Thorton","Male"
"Jeremy Bejarano","Male"
"Jeroen Hinloopen","Male"
"Jeronimo Carballo","Male"
"Jesper Bagger","Male"
"Jesse Gregory","?"
"Jesse Cunha","?"
"Jesse Blocher","?"
"Jessica Lewis","Female"
"Jessica Gottlieb","Female"
"Jia He","?"
"Jiang Cheng","?"
"Jie He","?"
"Jill J. McCluskey","Female"
"Jing Liu","?"
"Jinsoo Hahn","Male"
"Jiong Tu","Male"
"Jiri Tresl","Male"
"Joana Monteiro","Female"
"Joanna Tsai","Female"
"Joanne Spetz","Female"
"Joanne Lindley","Female"
"Jody Hoff","?"
"Joel Landry","Male"
"Joel van der Weele","Male"
"Joelle Saad-Lessler","Female"
"Johann Reindl","?"
"Johannes Jasperson","Male"
"Johannes Linn","Male"
"Johannes Rincke","Male"
"John C. Anyanwu","Male"
"John D. Larrivee","Male"
"John P. Bonin","Male"
"John William Hatfield","Male"
"John Duca","Male"
"John McCormack","Male"
"John Tang","Male"
"John Hisnanick","Male"
"John Clack","Male"
"John Deutch","Male"
"John Watkins","Male"
"John Lynham","Male"
"John H. Kagel","Male"
"John McConnell","Male"
"John Chalmers","Male"
"John A. Cole","Male"
"John Kiff","Male"
"John Rand","Male"
"John Harding","Male"
"John Whalley","Male"
"John Goddeeris","Male"
"John Siberholz","Male"
"John McLaren","Male"
"John Giles","Male"
"John McCombie","Male"
"John Muellbauer","Male"
"John Siegfried","Male"
"John Mann","Male"
"John F. Henry","Male"
"John S. Earle","Male"
"John Farre-Mensa","Male"
"John R. Moreau","Male"
"John Duffy","Male"
"John Paul MacDuffie","Male"
"Johnny C. Ducking","Male"
"Jon M. Conrad","Male"
"Jon D. Samuels","Male"
"Jonas Dovern","Male"
"Jonathan Haidt","Male"
"Jonathan Cohn","Male"
"Jonathan Wallen","Male"
"Jonathan Milian","Male"
"Jonathan Lewis Weinstein","Male"
"Jonathan Leonard","Male"
"Jonathan Lipow","Male"
"Jonathan Cogliano","Male"
"Jonathan O. Adongo","Male"
"Jonathan Rodden","Male"
"Jonathan Diskin","Male"
"Jonathan Ullman","Male"
"Jonathan L. Willis","Male"
"Jong Eun Lee","?"
"Joon Y. Hur","Male"
"Jordan Ostwald","?"
"Jordi Mondria","?"
"Jorge Balat","Male"
"Jorge M. Aguero","Male"
"Joris Ghysels","Male"
"Joseph Marchand","Male"
"Joseph Williams","Male"
"Joseph Hayes","Male"
"Joseph Engelberg","Male"
"Joseph Pacelli","Male"
"Joseph Steinberg","Male"
"Joseph Francois","Male"
"Joseph Sassoon","Male"
"Joseph I. Rosenberg","Male"
"Joseph Ooi","Male"
"Joseph Maher","Male"
"Joseph F. Quinn","Male"
"Joseph G. Altonji","Male"
"Joseph Blasi","Male"
"Joshua Pollet","Male"
"Joshua Krieger","Male"
"Joshua Pinkston","Male"
"Joshua Wright","Male"
"Joshua Wilde","Male"
"Joyce Cheng Wong","Female"
"Joyce Chen","Female"
"Juan DelaCruz","Male"
"Juergen Wandel","Male"
"Julian Johnsen","Male"
"Julian di Giovanni","Male"
"Juliana Sun","Female"
"Julie Chytilova","Female"
"Julie Bruch","Female"
"Julie PW Bynum","Female"
"Julie Rozenberg","Female"
"Juliet U. Elu","Female"
"Julius Agbor","Male"
"Jun Zhu","?"
"Jun Qian","?"
"Jun Xiang","?"
"Jun Uno","?"
"Jun Ma","?"
"Junghoon Lee","?"
"Jungmin Lee","?"
"Junjie Zhang","Male"
"Justin M. Rao","Male"
"Justin Mattias Valasek","Male"
"Justin Smith","Male"
"Justin Birru","Male"
"Kabir Malik","Male"
"Kalpana Khanal","Female"
"Kareen Rozen","?"
"Karen Smith","Female"
"Karen N. Eggleston","Female"
"Karen Wilson","Female"
"Karin Thorburn","Female"
"Karin Hederos Eriksson","Female"
"Karl V. Lins","Male"
"Karolin Kirschenmann","Female"
"Katharina Mader","Female"
"Kathleen Short","Female"
"Kathleen Nosal","Female"
"Kathleen McCullough","Female"
"Katie R. Genadek","Female"
"Katja Kaufmann","Female"
"Katrin Assenmacher","Female"
"Ke Wang","?"
"Keisuke Hirano","Male"
"Kelley Pace","?"
"Kelly Trageser","?"
"Ken Itakura","Male"
"Kenneth Judd","Male"
"Kenneth Merkley","Male"
"Kenneth Levin","Male"
"Kerem Cantekin","Male"
"Kevin E. Cahill","Male"
"Kevin Siqueira","Male"
"Kevin McCarron","Male"
"Kevin Lee","Male"
"Kevin J. Lansing","Male"
"Kevin Moore","Male"
"Kfir Eliaz","Male"
"Kim Peijnenburg","?"
"Kim Ruhl","?"
"Kim Zieschang","?"
"Kimberley Scharf","Female"
"Kimberly Cornaggia","Female"
"Kirill Evdokimov","Male"
"Kishore Kulkarni","Male"
"Klaus F. Zimmermann","Male"
"Klaus Schaeck","Male"
"Knut Are Aastveit","Male"
"Kris Inwood","?"
"Krishna Kant Jha","?"
"Krishna Paudel","?"
"Krista Schwarz","Female"
"Kristen Monaco","Female"
"Kristian Miltersen","Male"
"Kurt J. Keiser","Male"
"Kusum Mundra","?"
"Kwabena Gyimah-Brempong","Male"
"Kyle Meng","Male"
"Kyle Hood","Male"
"Kyu Sang Lee","Male"
"Lai Xu","?"
"Lamar Pierce","?"
"Lamont K. Black","Male"
"Lan Shi","?"
"Lance Kent","Male"
"Larry Fauver","Male"
"Larry Chavis","Male"
"Lars Kuehn","Male"
"Laryssa Mykyta","Female"
"Lata Gangadharan","Female"
"Laura Armey","Female"
"Laura Schechter","Female"
"Laura Solanko","Female"
"Lauren H. Cohen","Female"
"Lauren Schmitz","Female"
"Lauren Olsho","Female"
"Lauren Guest","Female"
"Laurens Cherchye","?"
"Laurent Fresard","Male"
"Laurent Weill","Male"
"Lawrence Spizman","Male"
"Lawrence Summers","Male"
"Lawrence Ausubel","Male"
"Leandro S. Carvalho","Male"
"Lee Pinkowitz","?"
"Lena Draeger","Female"
"Lena Lindahl","Female"
"Lena Hipp","Female"
"Leonardo J. Basso","Male"
"Lesley Turner","?"
"Levent Guntay","Male"
"Levent Yildiran","Male"
"Li Wang","?"
"Liana Fox","Female"
"Liang Lu","?"
"Lilia Maliar","Female"
"Lin Tong","?"
"Linda Nostbakken","Female"
"Lionel Fontagne","Male"
"Liora Bowers","Female"
