"","author","year"
"591","Guozhong Zhu","2014"
"592","Suqin Ge","2014"
"593","Afolabi M. Mojirayo","2014"
"594","Karryl Mae Ngina","2014"
"595","Malokele Nanivazo","2015"
"596","Mackensie Bluedorn","2015"
"597","Xiaoxue Du","2015"
"598","Gilat Levy","2015"
"599","Luis Felipe Cespedes","2015"
"600","Lant Pritchett","2015"
"601","Daifeng He","2015"
"602","Fousseni Chabi-Yo","2015"
"603","Ctirad Slavik","2015"
"604","Maria-Teresa Marchica","2015"
"605","Wenyu Wang","2015"
"606","Donghua Chen","2015"
"607","Kustrim Reka","2015"
"608","Florens Flues","2015"
"609","Yen-Cheng Chang","2015"
"610","Na Wang","2015"
"611","Xianhua Peng","2015"
"612","Kosali Simon","2015"
"613","Rodney Garratt","2015"
"614","Ruchira Sen","2015"
"615","Victor Zhorin","2015"
"616","Asuman Ozdaglar","2015"
"617","Dan-Olof Rooth","2015"
"618","Quoc-Anh Do","2015"
"619","Shiyang Huang","2015"
"620","Raimond Maurer","2015"
"621","Tae-Hee Jo","2015"
"622","Xingwang Qian","2015"
"623","Yannay Spitzer","2015"
"624","Jean-Stephane Mesonnier","2015"
"625","Jacobus Cilliers","2015"
"626","Malathy Duraisamy","2015"
"627","Mthuli Ncube","2015"
"628","Thouraya Triki","2015"
"629","Stergios Skaperdas","2015"
"630","Ivan Kandilov","2015"
"631","Satyanarain Rengarajan","2015"
"632","Rajashri Chakrabarti","2015"
"633","Myuang Zhang","2015"
"634","José M. Edwards","2015"
"635","Carsten Herrmann-Pillath","2015"
"636","E. Frank Stephenson","2015"
"637","Hosung Jung","2015"
"638","Linxiang Ye","2015"
"639","Liqiu Zhao","2015"
"640","S. \Vish\ Viswanathan","2015"
"641","Maik Schmeling","2015"
"642","Lubomir Petrasek","2015"
"643","Tingyu Zhou","2015"
"644","Hong Ma","2015"
"645","Chong-En Bai","2015"
"646","Merijn Knibbe","2015"
"647","Paramita Sinha","2015"
"648","Xiaohan Ma","2015"
"649","M. Clement Joubert","2015"
"650","Anqi Li","2015"
"651","Cars H. Hommes","2015"
"652","Shin-Yi Chou","2015"
"653","Shailender Swaminathan","2015"
"654","Jón Steinsson","2015"
"655","Özgür Orhangazi","2015"
"656","Tanadej Vechsuruck","2015"
"657","Rudai Yang","2015"
"658","J. Michael Collins","2015"
"659","Sangsuk Yoon","2015"
"660","Xiaoyu Tian","2015"
"661","Ines Buono","2015"
