,author,year,
283,Andres E. Elberg,2012,Male
284,Marno Verbeek,2012,Male
285,Yuanji Wen,2012,Female
286,Ludger Woessmann,2012,Male
287,Mevlude Akbulut-Yuksel,2012,Female
288,J. Ryan Lamare,2012,Male
289,Yuxiu Zhang,2013,Female
290,Hiau Looi Kee,2013,Female
291,Heiwai Tang,2013,Male
292,Rikhil Bhavnani,2013,Male
293,Guilhem Cassan,2013,Male
294,Chunhua Lan,2013,Female
295,Kiplan Womack,2013,Male
296,Tingyu Zhou,2013,Female
297,Gang-Zhi Fan,2013,Male
298,Hartmut Lehmann,2013,Male
299,Subhrendu K. Pattanayak,2013,Male
300,Félix Muñoz-García,2013,Male
301,V. Bhaskar,2013,Male
302,Zhentao Shi,2013,Male
303,Márcio Garcia,2013,Male
304,Kyuil Chung,2013,Male
305,Hail Park,2013,Male
306,Sile Padraigin O'Dorchai,2013,Female
307,Platon Tinios,2013,Male
308,Binzhen Wu,2013,Female
309,Atheendar S. Venkataramani,2013,Male
310,Nidhiya Menon,2013,Female
311,Monica Deza,2013,Female
312,Jean-Charles Rochet,2013,Male
313,Zhihong Yu,2013,Male
314,Leonard Kostovetsky,2013,Male
315,Wenxi Jiang,2013,Male
316,Huijun Wang,2013,Male
317,W. Kip Viscusi,2013,Male
319,Belton M. Fleisher,2013,Male
320,Yingyao Hu,2013,Male
322,Lorens Helmchen,2013,Male
323,Norihiko Yamano,2013,Male
324,Kunfu Zhu,2013,Male
325,Gayaneh Kyureghian,2013,Female
326,Carlena Cochi Ficano,2013,Female
327,Naohisa Hirakata,2013,Male
328,Yuto Iwasaki,2013,Male
329,Jee-Yeon K. Lehmann,2013,Female
330,Jan-Emmanuel De Neve,2013,Male
332,Ozgur Ince,2013,Male
333,Mungo Ivor Wilson,2013,Female
334,Hong Liu,2013,Male
335,K.J. Martijn Cremers,2013,Male
336,Vahap Uysal,2013,Male
337,Wenrui Zhang,2013,Male
338,Jarl Kallberg,2013,Male
339,Jose N. Martinez,2013,Male
341,Shu-Chun Susan Yang,2013,Female
342,Simon Wren-Lewis,2013,Male
343,Thien Tung Nguyen,2013,Male
344,Yu-Ning Hwang,2013,Female
345,zhengtong Lu,2013,Male
346,Leeat Yariv,2013,Female
347,E. Roy Weintraub,2013,Male
348,Bernardino Adao,2013,Male
349,Borghan Najarabad,2013,Male
351,Xiao-Yuan Dong,2013,Female
352,J.Edward Taylor,2013,Male
353,Deyuan Li,2013,Male
354,Hongyi Li,2013,Male
355,Ariell Reshef,2013,Male
356,Jorg L. Spenkuch,2013,Male
357,Ingvild Almas,2013,Female
358,Mirabel Muuls,2013,Female
360,Xiaoxia Lou,2013,Female
361,Ningzhong Li,2013,Male
362,Ayse Tuna,2013,Female
363,Radomir Todorov,2013,Male
364,Sébastien Houde,2013,Male
365,Lemma W. Senbet,2013,Male
366,Wehn-Jyuan Tsai,2013,Female
369,Chor-yiu Sin,2013,Male
370,Yuet-Yee Linda Wong,2013,Female
371,Pai XU,2013,Male
373,Nezahat Kucuk,2013,Female
376,Emeric Henry,2013,Male
377,J. Mark Ramseyer,2013,Male
378,Fangwen Lu,2013,Male
379,Yuchiro Kawaguchi,2013,Male
380,A. Jesus Sanchez-Fuentes,2013,Male
381,Nisvan Erkal,2013,Female
382,Luis Von Ahn,2013,Male
383,Monica Garcia Perez,2013,Female
385,Zhun Zhao,2013,Male
386,Amitrajeet Batabyal,2013,Male
387,Rukmani Gounder,2013,Female
388,Suehyun Kwon,2013,Female
389,Marinella Leone,2013,Female
390,Mwanza Nkusu,2013,Female
391,A. G. Malliaris,2013,Male
392,Cuneyd Kaya,2013,Male
393,Nicolas-Guillaume Martineau,2013,Male
394,Aparajita Dasgupta,2013,Female
395,Athiphat Muthitacharoen,2013,Male
396,Parashar Kulkarni,2013,Male
397,Mengying Wang,2013,Female
398,Zengyuan Sun,2013,Male
400,Pingkang Yu,2013,Male
401,Mingming Zhou,2013,Male
402,Kailing Shen,2013,Female
403,Alpaslan Akay,2013,Male
404,TengTeng Xu,2013,Female
405,Junsang Lee,2013,Male
406,Andres Aradillas-Lopez,2013,Male
407,Fabian Dunker,2013,Male
408,Sai-Ming Li,2013,Male
409,Marick Masters,2013,Male
410,Ainhoa Vega-Bayo,2013,Female
411,Apanard Prabha,2013,Female
412,Ramaa Vasudevan,2013,Female
413,J. Paul Dunne,2013,Male
415,Zhaohui Chen,2013,Male
416,Jinqiang Yang,2013,Male
417,Soenke Sievers,2013,Male
418,Merih Sevilir,2013,Female
419,"Olympio Barbanti, Jr",2013,Male
420,Cesar Martinelli,2013,Male
