,author,year,Gender,
343,Maik Schmeling,2016,M,
344,Sohnke M. Bartram,2016,M,
345,Péter Harasztosi,2016,M,Peter Harasztosi
346,Deming Luo,2016,M,
347,Yunfa Zhu,2016,M,
348,Binay Adhikari,2016,M,
349,Hanjiang Zhang,2016,F,
350,Been-Lon Chen,2016,M,
351,Arunish Chawla,2016,M,
352,Jose Maria Barrero,2016,M,
353,Kalena Cortes,2016,F,
354,Özgür Orhangazi,2016,M,Ozgur Orhangazi
355,Mahelet G. Fikru,2016,F,
356,Miguel Delgado Helleseter,2016,M,
357,Kailing Shen,2016,F,
358,Dilyana Dimova,2016,F,
359,Berhanu Nega,2016,M,
360,Fuhito Kojima,2016,M,
361,Thorsteinn Thorgeirsson,2016,M,
362,Núria Rodríguez-Planas,2016,F,Nuria Rodriguez-Planas
363,Bingbing Dong,2016,M,
364,Lixin Colin Xu,2016,M,
365,Shaomeng Jia,2016,M,
366,Shu-Heng Chen,2016,M,
367,University of Hull Business School,2016,??,transcription error
368,Benkler Yochai,2016,M,
369,Jadrian Wooten,2016,M,
370,Joao Pereira,2016,M,
371,Tuukka Saarimaa,2016,M,
372,Falk Brauning,2016,M,
373,B. Espen Eckbo,2016,M,
374,Nicolas Duquette,2016,M,
375,Sabyasachi Kar,2016,M,
376,Rochester Institute of Technology,2016,??,transcription error
377,Ozlem Bedre-Defolie,2016,F,
378,Francesc Rodriguez-Tous,2016,M,
379,Chaning Jang,2016,M,
380,Zhihong Yu,2016,M,
381,Yuqin Huang,2016,F,
382,Jose Fillat,2016,M,
383,Jarko Fidrmuc,2016,M,
384,Anek Belbase,2016,M,
385,Arunima Sinha,2016,F,
386,Jarl Kallberg,2016,M,
387,Henriëtte Prast,2016,F,Henriette Prast
388,Sanjukta Chaudhuri,2016,F,
389,Jiti Gao,2016,M,
390,Diana Bonfim,2016,F,
391,Theophile T. Azomahou,2016,M,
392,Shih-Fen Cheng,2016,M,
393,Jean-Edouard Colliard,2016,M,
394,Thummim Cho,2016,M,
395,Hyun-Soo Choi,2016,M,
396,Dewan Mostafizur Rahman,2018,M,
397,Qianqian Huang,2018,F,
398,S.Lakshmi Naaraayanan,2018,M,
399,Simon Straumann,2018,M,
400,Ingomar Krohn,2018,M,
401,Simanti Banerjee,2018,F,
402,Xiliang Zhang,2018,M,
403,Sudhindra Sharma,2018,M,
404,Jean-Edouard Colliard,2018,M,
405,Xiangyu Guo,2018,M,
406,Raimond Maurer,2018,M,
407,F. Gregory Hayden,2018,M,
408,Rojhat B. Avsar,2018,M,
409,María Loreto Biehl,2018,F,Maria Loreto Biehl
410,María Cortelezzi,2018,F,Maria Cortelezzi
411,Yiwu Zeng,2018,M,
412,Akhisa Kato,2018,M,
413,Zhongyan Zhu,2018,M,
414,Jinqi Ye,2018,F,
415,Tuomas Sandholm,2018,M,
416,Ragan Petrie,2018,F,
417,Po-Chun Huang,2018,M,
418,T.J. Rakitan,2018,M,
419,Johanna Bockman,2018,F,
420,Racky Badé,2018,,
421,Oladele Akogun,2018,,
422,Tasso Adamopoulos,2018,,
423,V.V. Chari,2018,M,
424,Nicolas Inostroza,2018,M,
425,Brigham Walker,2018,M,
426,Kamiar Mohaddes,2018,M,
427,R. Vincent Pohl,2018,M,
428,Kosali Simon,2018,F,
429,Rosta Farzan,2018,F,
430,Simon Siegenthaler,2018,M,
431,Lixin Ye,2018,M,
432,Diana Bonfim,2018,F,
433,Thesia I. Garner,2018,F,
434,Zhun Xu,2018,M,
435,Tianshu Li,2018,M,
436,Rajshree Agarwal,2018,F,
437,Jarko Fidrmuc,2018,M,
438,Iikka Korhonen,2018,M,
439,Qingnan Xie,2018,F,
440,Hong Ma,2018,M,
441,Takuo Sugaya,2018,M,
442,Wenlan Luo,2018,M,
443,Haishan Yuan,2018,M,
444,Tumer Kapan,2018,M,
445,Taejin Kim,2018,M,
446,Wenting Ma,2018,F,
447,Battista Severgnini,2018,M,
448,Youngki Shin,2018,M,
449,P. Sai-wing Ho,2018,M,
450,Sushanta K. Mallick,2018,M,
451,Udichibarna Bose,2018,F,
452,Serafeim Tsoukas,2018,M,
453,T. Norman Van Cott,2018,M,
454,Keshar Ghimire,2018,M,
455,Zhangfeng Jin,2018,M,
456,Haizhou Huang,2018,M,
457,Matías Giaccobasso,2018,M,Matias Giaccobasso
458,Reshad Ahsan,2018,M,
459,Reshmaan Hussam,2018,M,
460,Jeongmin Lee,2018,F,
461,Petur O. Jonsson,2018,M,
462,Alois Stutzer,2018,M,
463,Chuanyi Guo,2018,M,
464,Huberto Ennis,2018,M,
465,Hongyan Li,2018,F,
466,Zhaohui Li,2018,??,Cannot tell without institutional affiliation--found both male and female names
467,Chunzhou Mu,2018,F,
468,Alpay Filiztekin,2018,M,
469,Ayhab Saad,2018,M,
470,Imanol Arrieta Ibarra,2018,M,
471,Zhuang Hao,2018,M,
472,Trond Olsen,2018,M,
473,Karligash Kenjegalieva,2018,F,
474,Daeyong Lee,2018,M,
475,Choongryul Yang,2018,M,
476,J. Michael McWilliams,2018,M,
477,Sehoon Kim,2018,M,
478,Shusen Qi,2018,M,
479,Keiichi Kawai,2018,M,
480,Jaeseung Kim,2018,M,
481,Fabricius Somogyi,2019,M,
482,Po-Hsuan Hsu,2019,M,
483,Haiyan Pang,2019,F,
484,Talis Putnins,2019,M,
485,Xiaoyu Zhang,2019,??,Cannot tell without institutional affiliation--found both male and female names
486,Brigham Walker,2019,M,
487,Miaojie Yu,2019,M,
488,Maritta Paloviita,2019,F,
489,Zacharias Sautner,2019,M,
490,Hong Zhang,2019,M,
491,Michalis Drouvelis,2019,M,
492,Litan Wang,2019,F,
493,Kokouvi Tewou,2019,M,
494,Yuhta Ishii,2019,M,
495,Manollis Galenianos,2019,M,
496,Antti Kauhanen,2019,M,
497,Breyon Williams,2019,M,
498,Dezso Szalay,2019,M,
499,Tomas Williams,2019,M,
500,Kangzhen Xie,2019,M,
501,José Tavares,2019,M,Jose Tavares
502,Solomiya Shpak,2019,F,
503,W. Robert Brazelton,2019,M,
504,Jeongmin Lee,2019,F,
505,Gerel Oyun,2019,F,
506,Moamen Gouda,2019,M,
507,Nicolas Wood,2019,M,
508,Haigang Zhou,2019,M,
509,Chahir Zaki,2019,M,
510,Bichaka Fayissa,2019,M,
511,Xinyu Fan,2019,M,
512,Averi Chakrabarti,2019,F,
513,Stephan Maurer,2019,M,
514,Brendan Perry,2019,M,
515,Shaiza Qayyum,2019,F,
516,Jamein Cunningham,2019,M,
517,Hsi-Wei Wang,2019,M,
518,Yasutoshi Noshita,2019,M,
519,Dorothée Brécard,2019,F,Dorothee Brocard
520,Botond Koszegi,2019,M,
521,Miguel Gouveia,2019,M,
522,Gertjan Verdickt,2019,M,
523,Cecere Grazia,2019,M,
524,Hideo Owan,2019,M,
525,Zhihong Yu,2019,M,
526,Khaing Zaw,2019,F,
527,Cortnie Shupe,2019,F,
528,Uttara Balakrishnan,2019,F,
529,Cagatay Bircan,2019,M,
530,Narasimhan Jegadeesh,2019,M,
531,Qifei Zhu,2019,M,
