,author,year,gender
304,Quoc-Anh Do,2012,M
305,Aureo de Paula,2012,M
306,HuiHua Nie,2012,M
307,Ainhoa Urtasum,2012,F
308,R. Glenn Hubbard,2012,M
309,Codrina Rada Von Arnim,2012,F
310,J.M. Ian Salas,2013,M
311,J. Peter Neary,2013,M
312,Vijayendra Rao,2013,M
313,M Dolores Collado,2013,F
314,Veronica Rappoport,2013,F
315,Markku Kaustia,2013,M
316,H. Shawn Mobbs,2013,M
317,Anzelika Zaiceva,2013,F
318,Aloisio Pessoa Araujo,2013,M
319,Shuyang Sheng,2013,F
320,Simon Board,2013,M
321,Edeltraud Hanappi-Egger,2013,F
322,Sanjukta Chaudhuri,2013,M
323,J. Adam Cobb,2013,M
324,Jaeseung Kim,2013,M
325,Leonard Greenhalgh,2013,M
326,Jiawen Yang,2013,M
327,Deepankar Basu,2013,M
328,Xinshen Diao,2013,F
329,Nazaire Houssou,2013,M
330,Futoshi Yamauchi,2013,M
331,Keirjiro Otsuka,2013,M
332,Yaohui Zhao,2013,F
333,Tae-hwan Rhee,2013,M
334,E. Ray Dorsey,2013,M
335,Jose Faias,2013,M
336,Tore Leite,2013,M
337,Avanidhar Subrahmanyam,2013,M
338,Qianqiu Liu,2013,M
339,J. Bradley Karl,2013,M
340,J. David Cummins,2013,M
341,Tzuting Lin,2013,F
342,Erivelthon Santos,2013,
343,Qiming Wang,2013,M
344,Kose John,2013,M
345,Tuan-Hwee Sng,2013,M
346,Syngjoo Choi,2013,M
347,Hilde C. Bjornland,2013,F
348,Sheheryar Banuri,2013,M
349,Anusua Datta,2013,F
350,Kosali Simon,2013,F
351,Zhongyi Wang,2013,F
352,Ariun Ishdorj,2013,F
353,Biplab Ghosh,2013,M
354,Wu-kuang Cun,2013,M
355,Sucharita Sinha Mukherjee,2013,F
356,Myeong-Su Yun,2013,M
357,Sharun Mukand,2013,M
358,Mufaddal Baxamusa,2013,M
359,Kiat Ying Seah,2013,F
360,Neeltje van Horen,2013,F
361,Wenyi Shen,2013,F
362,Victor Aguirregabiria,2013,M
363,Luis Castro,2013,M
364,Matteusz Filipski,2013,M
365,Guiying (Laura) Wu,2013,F
366,Peichu Xie,2013,M
367,Liugang Sheng,2013,M
368,Yongmin Chen,2013,M
369,Thesia I. Garner,2013,F
370,Ozkan Eren,2013,M
371,Madhuparna Kolay,2013,F
372,Pengcheng Wan,2013,
373,Fangming Xu,2013,M
374,Huainan Zhao,2013,M
375,Zackary Hawley,2013,M
376,Xiaohu Wang,2013,M
377,Juanjuan Zhang,2013,F
378,Fuhai Hong,2013,M
379,Ã–zgÃ_r Orhangazi,2013,M
380,Luis Rubalcava,2013,M
381,Gharad Bryan,2013,M
382,Mevlude Akbulut-Yuksel,2013,F
383,Luis Araujo,2013,M
384,Quoc Nguyen,2013,M
385,Sugata Ray,2013,M
386,Jing-Zhi Jay Huang,2013,M
387,Xudong An,2013,M
388,Yongheng Deng,2013,M
389,Ludger Schuknecht,2013,M
390,Ansgar Belke,2013,M
391,Xiumin Martin,2013,F
392,Simon Burke,2013,M
393,Simon Peter Anderson,2013,M
394,Jidong Zhou,2013,M
395,Hyungsik Roger Moon,2013,M
396,AyÅŸegÅ±l Å_ahÑ–n,2013,
397,Rolland Zullo,2013,M
398,Simon Mohun,2013,M
399,Sushanta Mallick,2013,M
400,Misuru Igami,2013,M
401,University of Ottawa,2013,
402,Lucjan Orlowski,2013,M
403,Banque de France,2013,
404,M. Kate Bundorf,2013,F
405,Patricia Yanez-Pagans,2013,F
406,Birte Snilstveit,2013,F
407,Shailender Swaminathan,2013,M
408,Ruben Hernandez-Murillo,2013,M
409,Qiuqiong Huang,2013,F
410,Julia K. Thomas,2013,F
411,Minchung Hsu,2013,M
412,Takatoshi Tabuchi,2013,M
413,J. Ryan Lamare,2013,M
414,Shawkat Hammoudeh,2013,M
415,Mwangi wa Githinji,2013,M
416,Wen-Tai Hsu,2013,M
417,Erdogan Bakir,2013,M
418,Soohyung Lee,2013,F
419,Daiji Kawaguchi,2013,M
420,Mathijs van der Loos,2013,M
421,Selver Derya Uysal,2013,F
422,Maik Schmeling,2013,M
423,Brigham Russell Frandsen,2013,M
424,Renos Vakis,2013,M
425,Subha Mani,2013,F
426,Ngo Van Long,2013,M
427,Seppo Ikaheimo,2013,M
428,Yingcong Lan,2013,F
429,Wen-Chi Liao,2013,M
430,Frantisek Ricka,2013,
431,Jianjun Li,2013,M
432,Hatthachan Phimphanthavong,2013,M
433,African Capacity Building Foundation,2013,
434,Deokwoo Nam,2013,M
435,Taeree Wang,2013,F
436,V. Joseph Hotz,2013,M
437,Swasti Gupta-Mukherjee,2013,F
438,Haitao Li,2013,M
439,Bertille Antoine,2013,F
440,Taekyoon Lim,2013,M
441,Haiqiang Chen,2013,M
442,Yongmiao Hong,2013,M
443,Bhaskaran Swaminathan,2013,M
444,Yeon-Koo Che,2013,M
445,Rajashri Chakrabarti,2013,F
446,Stephan Dieckmann,2013,M
447,Yanchun Zhang,2013,M
448,F. Gregory Hayden,2013,M
449,Nurhaizal Azam bin Arif,2013,
450,Masaharu Kuhara,2013,M
451,Hanzhe Zhang,2014,M
452,Heinrich Ursprung,2014,M
453,Juanna Joensen,2014,F
454,Oscar A. Mitnik,2014,M
455,Zohal Hessami,2014,F
456,Casidhe Horan,2014,F
457,Sermin Gungor,2014,F
458,Zohreh Emami,2014,F
459,PÃ_r Holmberg,2014,M
460,Che-Lin Su,2014,M
461,Ayse Ozgur Pehlivan,2014,F
462,Eiichiro Kazumori,2014,M
463,Ã–zgÃ_r Orhangazi,2014,M
464,Rajen Mookerjee,2014,M
465,Jan-Emmanuel De Neve,2014,M
466,Liangfei Qiu,2014,M
467,Y. Peter Chung,2014,M
468,Kadiri Karamon,2014,
469,Sewin Chan,2014,F
470,Weizheng Xiao,2014,
471,Berhanu Nega,2014,M
472,Dae-Wook Kim,2014,
473,Xingwang Qian,2014,M
474,ShangJin Wei,2014,M
475,J. Daniel Hammond,2014,M
476,Oregon Health Study Group,2014,
477,Kosali Simon,2014,F
478,Hyeon-Kyeong Kim,2014,
479,M.A. Keyser,2014,M
480,Bjorn Gustafsson,2014,M
481,Brendan Livingston,2014,M
482,Coady Wing,2014,M
483,Patricia Andreski,2014,
484,Brandice Canes-Wrone,2014,F
485,Raul Sampognaro,2014,M
486,Agnes Quisumbing,2014,F
487,Jinnat Ara,2014,F
488,Denitsa Stefanova,2014,F
489,Ioanid Rosu,2014,M
490,Yongheng Deng,2014,M
491,Basab Dasgupta,2014,M
492,Santanu Mitra,2014,M
493,Ananta Neelim,2014,M
494,Svenn Jensen,2014,M
495,Gernot Wagner,2014,M
496,Julapa Jagtiani,2014,F
497,Saktinil Roy,2014,M
498,Zhanhui Chen,2014,M
499,Haitao Li,2014,M
500,V. Joseph Hotz,2014,M
501,Shoya Ishimaru,2014,M
502,Sjoerd Van Bekkum,2014,M
503,Yoto Yotov,2014,M
504,Myeong-Su Yun,2014,M
505,Ruedi Epple,2014,M
506,Chaithanya Bandi,2014,M
507,Songman Kang,2014,M
508,Shahe Emran,2014,M
509,Asadul Islam,2014,M
510,Bilesha Weeraratne,2014,F
511,B. Espen Eckbo,2014,M
512,Omrane Guedhami,2014,M
513,Neeltje van Horen,2014,F
514,Jaap Bos,2014,M
515,V. Brian Viard,2014,M
516,Floris Heukelom,2014,M
517,Jean-Edouard Colliard,2014,M
518,Hail Park,2014,M
519,Julia R. Henly,2014,F
520,Dr. Byron Y. Lee,2014,M
521,Rana Hendy,2014,F
522,Mwangi wa Githinji,2014,M
523,Imen Kouki,2014,F
524,Juhani Linnainmaa,2014,M
525,Huasheng Gao,2014,M
526,Bige Kahraman,2014,F
527,W. Scott Frame,2014,M
528,Hong Lee,2014,M
529,Rojhat Avsar,2014,M
530,RenÃ© Reich-Graefe,2014,M
531,Nabamita Dutta,2014,F
532,Nicolas Querou,2014,M
533,Adrian Lopes,2014,M
534,Oscar Valencia,2014,M
535,Jaap Abbring,2014,M
536,Kai-Uwe Kuhn,2014,M
537,Sunghyun Henry Kim,2014,M
538,FranÃ§ois-Xavier Devetter,2014,M
539,Wassim Shahin,2014,M
540,G. Gulsun Akin,2014,F
541,Signe-Mary McKernan,2014,F
542,Thesia Garner,2014,F
543,Jesus Felipe,2014,M
544,Kellin Stanfield,2014,M
545,Yu-Hsi Liu,2014,F
546,Fuhito Kojima,2014,M
547,Pingfan Hong,2014,M
548,Denrick Bayot,2014,M
